Sample Names	MutationType	DBS2	DBS3	DBS4	DBS5	DBS7	DBS9	DBS10
Stomach-AdenoCA::S.1	TA>AT	0.0	0.15304137002349627	0.8469586299765038	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TA>CG	0.0	0.9701736319416059	0.02982636805839418	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TA>CT	0.0	0.13001825320635427	0.8699817467936458	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TA>GC	0.0	0.9907741482150006	0.00922585178499927	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TA>GG	0.0	0.9030757833657999	0.09692421663420024	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TA>GT	0.0	0.14540693540986357	0.8545930645901364	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>AA	0.0	0.05202161131061313	0.947978388689387	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>AG	0.0	0.012285991389013668	0.9877140086109863	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>AT	0.0	0.33533406659406895	0.664665933405931	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>CA	0.0	0.7457460118325233	0.2542539881674766	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>CG	0.0	0.5234979583841859	0.47650204161581416	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>CT	0.0	0.999887350970996	0.00011264902900404337	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>GA	0.0	0.8900750705874165	0.10992492941258346	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>GG	0.0	0.9847270229099336	0.015272977090066277	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TC>GT	0.0	1.0	4.2575139718837105e-17	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>AA	0.0	0.03210211842205691	0.9678978815779432	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>AC	0.0	0.7207661278026072	0.2792338721973928	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>AT	0.0	0.9999999999999981	1.9287693776592766e-15	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>CA	0.0	0.9868281066317666	0.013171893368233448	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>CC	0.0	0.9385740079997347	0.061425992000265356	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>CT	0.0	0.9964424218751138	0.0035575781248862316	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>GA	0.0	0.20153117063026074	0.7984688293697392	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>GC	0.0	0.7574888920057231	0.24251110799427697	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TG>GT	0.0	0.9991729081927455	0.0008270918072544371	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>AA	0.0	0.9985265885569194	0.0014734114430806466	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>AC	0.0	0.9999283107069127	7.168929308728195e-05	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>AG	0.0	0.9999999999999999	8.068825606102768e-17	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>CA	0.0	0.9999999999999973	2.6624799190166642e-15	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>CC	0.0	0.9999999999999998	2.2644130683793404e-16	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>CG	0.0	1.0	6.018089718118639e-17	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>GA	0.0	0.9999999999999999	1.5022447673150643e-16	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>GC	0.0	1.0	2.778588065860948e-17	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.1	TT>GG	0.0	1.0	1.0805620256125893e-17	0.0	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>CA	0.0	0.0	0.47579707685889916	0.5242029231411008	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>CG	0.0	0.0	0.047954899659053654	0.9520451003409464	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>CT	0.0	0.0	1.9324475721680265e-15	0.9999999999999981	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>GA	0.0	0.0	0.7872157289090631	0.2127842710909369	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>GG	0.0	0.0	0.22857328797638135	0.7714267120236187	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>GT	0.0	0.0	6.392624460325909e-06	0.9999936073755398	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>TA	0.0	0.0	0.2870402414512637	0.7129597585487364	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>TG	0.0	0.0	0.021759940585768876	0.9782400594142311	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AC>TT	0.0	0.0	0.010010861830099294	0.9899891381699008	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AT>CA	0.0	0.0	0.7991688533502398	0.20083114664976012	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AT>CC	0.0	0.0	1.5418928691795173e-13	0.9999999999998457	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AT>CG	0.0	0.0	0.2971137007390368	0.7028862992609632	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AT>GA	0.0	0.0	0.12045281104807058	0.8795471889519294	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AT>GC	0.0	0.0	0.9999999999987285	1.2715717414328195e-12	0.0	0.0	0.0
Stomach-AdenoCA::S.2	AT>TA	0.0	0.0	0.7282727096731743	0.27172729032682574	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>AA	0.0	0.0	0.2382600536830744	0.7617399463169257	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>AG	0.0	0.0	0.09489202426744599	0.905107975732554	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>AT	0.0	0.0	0.7519411568357565	0.2480588431642435	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>GA	0.0	0.0	0.9609964305207342	0.039003569479265754	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>GG	0.0	0.0	0.7421443184973302	0.25785568150266985	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>GT	0.0	0.0	0.6018441055626256	0.3981558944373745	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>TA	0.0	0.0	0.059091927762451306	0.9409080722375487	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>TG	0.0	0.0	0.0008089418766639872	0.999191058123336	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CC>TT	0.0	0.0	0.2382600536830744	0.7617399463169257	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CG>AT	0.0	0.0	0.07660830890324107	0.9233916910967591	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CG>GC	0.0	0.0	0.02355282581365065	0.9764471741863495	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CG>GT	0.0	0.0	5.068258968137156e-16	0.9999999999999997	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CG>TA	0.0	0.0	0.2382600536830744	0.7617399463169257	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CG>TC	0.0	0.0	1.1020912118632606e-13	0.9999999999998899	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CG>TT	0.0	0.0	0.07088577624833153	0.9291142237516685	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>AA	0.0	0.0	7.04770774968429e-18	1.0	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>AC	0.0	0.0	1.5714027805516164e-17	1.0	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>AG	0.0	0.0	0.006338254848972477	0.9936617451510276	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>GA	0.0	0.0	0.01923490095914162	0.9807650990408585	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>GC	0.0	0.0	0.006935990107402708	0.9930640098925972	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>GG	0.0	0.0	0.43252918962113435	0.5674708103788657	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>TA	0.0	0.0	9.83302937530801e-16	0.9999999999999991	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>TC	0.0	0.0	1.3857518191364503e-14	0.9999999999999861	0.0	0.0	0.0
Stomach-AdenoCA::S.2	CT>TG	0.0	0.0	0.016264966949364853	0.9837350330506351	0.0	0.0	0.0
Stomach-AdenoCA::S.2	GC>AA	0.0	0.0	0.9991364910272664	0.0008635089727335395	0.0	0.0	0.0
