Samples	SBS1	SBS2	SBS4	SBS5	SBS12	SBS13	SBS18	SBS22a	SBS22b	SBS40a	SBS40b	SBS40c
Kidney-RCC::S.82	188	0	2925	2549	0	0	0	7421	0	0	0	0
Kidney-RCC::S.83	140	0	0	233	0	0	0	0	0	1170	1293	0
Kidney-RCC::S.84	0	0	0	36	0	0	0	0	0	942	1527	0
Kidney-RCC::S.85	171	0	0	373	0	0	0	0	0	0	3172	0
Kidney-RCC::S.86	559	0	0	91	0	0	0	0	2489	1918	0	0
Kidney-RCC::S.87	0	0	0	107	0	0	0	0	0	1611	1804	0
Kidney-RCC::S.88	285	0	1484	1156	0	0	0	0	0	2205	0	0
Kidney-RCC::S.89	185	0	0	101	0	0	0	0	0	1856	2133	0
Kidney-RCC::S.90	0	0	425	198	0	0	0	0	0	1371	0	0
Kidney-RCC::S.91	76	0	2045	3005	0	0	0	0	0	0	0	0
Kidney-RCC::S.92	84	0	0	1003	0	0	1206	0	0	1963	1618	0
Kidney-RCC::S.93	31	0	720	627	0	0	0	0	0	1260	1351	880
Kidney-RCC::S.94	189	0	881	0	0	0	0	0	0	2079	1672	0
Kidney-RCC::S.95	444	0	1106	311	0	0	0	0	0	4031	0	0
Kidney-RCC::S.96	17	0	1094	0	0	0	0	0	0	1190	1066	0
Kidney-RCC::S.97	16	0	1053	52	0	0	0	0	0	1110	0	0
Kidney-RCC::S.98	164	0	1722	223	0	474	0	0	0	1695	0	0
Kidney-RCC::S.99	364	0	0	0	0	0	0	0	0	2042	2485	0
