Mutation type,Breast-AdenoCA::S.1,Breast-AdenoCA::S.2,Breast-AdenoCA::S.3,Breast-AdenoCA::S.4,Breast-AdenoCA::S.5,Breast-AdenoCA::S.6,Breast-AdenoCA::S.7,Breast-AdenoCA::S.8,Breast-AdenoCA::S.9,Breast-AdenoCA::S.10,Breast-AdenoCA::S.11,Breast-AdenoCA::S.12,Breast-AdenoCA::S.13,Breast-AdenoCA::S.14,Breast-AdenoCA::S.15,Breast-AdenoCA::S.16,Breast-AdenoCA::S.17,Breast-AdenoCA::S.18,Breast-AdenoCA::S.19,Breast-AdenoCA::S.20,Breast-AdenoCA::S.21,Breast-AdenoCA::S.22,Breast-AdenoCA::S.23,Breast-AdenoCA::S.24,Breast-AdenoCA::S.25,Breast-AdenoCA::S.26,Breast-AdenoCA::S.27,Breast-AdenoCA::S.28,Breast-AdenoCA::S.29,Breast-AdenoCA::S.30,Breast-AdenoCA::S.31,Breast-AdenoCA::S.32,Breast-AdenoCA::S.33,Breast-AdenoCA::S.34,Breast-AdenoCA::S.35,Breast-AdenoCA::S.36,Breast-AdenoCA::S.37,Breast-AdenoCA::S.38,Breast-AdenoCA::S.39,Breast-AdenoCA::S.40,Breast-AdenoCA::S.41,Breast-AdenoCA::S.42,Breast-AdenoCA::S.43,Breast-AdenoCA::S.44,Breast-AdenoCA::S.45,Breast-AdenoCA::S.46,Breast-AdenoCA::S.47,Breast-AdenoCA::S.48,Breast-AdenoCA::S.49,Breast-AdenoCA::S.50,Breast-AdenoCA::S.51,Breast-AdenoCA::S.52,Breast-AdenoCA::S.53,Breast-AdenoCA::S.54,Breast-AdenoCA::S.55,Breast-AdenoCA::S.56,Breast-AdenoCA::S.57,Breast-AdenoCA::S.58,Breast-AdenoCA::S.59,Breast-AdenoCA::S.60,Breast-AdenoCA::S.61,Breast-AdenoCA::S.62,Breast-AdenoCA::S.63,Breast-AdenoCA::S.64,Breast-AdenoCA::S.65,Breast-AdenoCA::S.66,Breast-AdenoCA::S.67,Breast-AdenoCA::S.68,Breast-AdenoCA::S.69,Breast-AdenoCA::S.70,Breast-AdenoCA::S.71,Breast-AdenoCA::S.72,Breast-AdenoCA::S.73,Breast-AdenoCA::S.74,Breast-AdenoCA::S.75,Breast-AdenoCA::S.76,Breast-AdenoCA::S.77,Breast-AdenoCA::S.78,Breast-AdenoCA::S.79,Breast-AdenoCA::S.80,Breast-AdenoCA::S.81,Breast-AdenoCA::S.82,Breast-AdenoCA::S.83,Breast-AdenoCA::S.84,Breast-AdenoCA::S.85,Breast-AdenoCA::S.86,Breast-AdenoCA::S.87,Breast-AdenoCA::S.88,Breast-AdenoCA::S.89,Breast-AdenoCA::S.90,Breast-AdenoCA::S.91,Breast-AdenoCA::S.92,Breast-AdenoCA::S.93,Breast-AdenoCA::S.94,Breast-AdenoCA::S.95,Breast-AdenoCA::S.96,Breast-AdenoCA::S.97,Breast-AdenoCA::S.98,Breast-AdenoCA::S.99,Breast-AdenoCA::S.100
DEL_C_1_0,12.032213816814629,36.83317293881741,25.70105335219659,31.206929814967182,11.635586645800727,15.053081113392059,119.95238286551815,24.212427070250918,32.3810542392227,43.773136426712,11.633483493417437,16.115104191335874,96.57746787669939,34.69006179286903,57.82388775548311,47.50887201804975,37.38372909181952,27.38255238535243,14.106920320262606,23.475559731236665,3.3240245550053658,19.178905879847342,25.227203899619226,37.15552415065764,54.94050527180119,48.0407910050544,90.48242680305489,21.441209448251758,19.596735041859088,39.32536587205051,29.98393745005019,54.48878052545251,8.042359046263863,7.763298025046915,22.98736831193262,27.611165210135226,44.469793617017515,46.55735652953595,13.467350971075367,36.50902965987069,15.270167173165003,12.108043661138183,22.741419561278644,34.073865760440356,7.828810603680582,9.238551207394837,19.440783458897467,18.832600735328818,6.742009448366767,11.297834800645889,30.842196488326046,0.6022691923208587,11.347280497480703,73.65376537289016,11.328185886722093,10.946794841273084,25.490093918728057,40.83029640198345,18.393130120446084,40.824604273694625,0.16762259563375265,33.038164987856085,59.187839144510534,70.24075131424196,21.410067581095127,20.408881961421297,40.516575543836176,3.8394234467714567,40.44788106995478,11.951964150298558,12.365973340367544,23.04309862339919,16.979055650071086,33.533756915834175,71.47439909356007,11.58419273213043,28.01837823757265,11.430872608807682,32.079535860549434,21.496751831891807,132.83482384803122,62.68087754389489,15.04089028667865,22.69521703757812,18.82191412198639,29.649657958395593,30.775928012697953,4.104862969436072,27.971062382784076,111.32966231860915,6.547096530490866,21.022512634981886,0.004841269883227404,135.84193467679398,54.59895588167208,45.15309868356605,39.49290544360748,45.78166141445146,15.163595932448073,15.081231355291632
DEL_C_1_1,5.215340841460987,12.890094617385646,9.689676257410458,11.979440832507043,2.938123743685755,5.188791066725927,40.222948690507124,4.36841908310827,9.290461673102142,15.833469936998078,3.9030108599634885,9.35282752752803,27.8626596773207,20.749685484557794,19.832870478730204,18.268063582088104,12.061434667717425,8.805453632009687,6.630841421393352,9.517226880152354,2.044997788056346,11.062021328881787,6.237757687296547,14.302469865431041,17.86875773052334,14.952684026582395,26.969378727749163,9.807778521246155,7.090262111474177,16.47155562939763,12.63100716140067,19.165111847802557,2.940040351574261,3.5020444328586,7.956211636660749,11.922985569381485,14.300418474106863,15.398423606578273,7.640080573371612,14.602695489370507,5.155651703257249,4.081915540032492,8.735224177900076,10.837090657424525,2.8757900796878735,3.2686186456609807,7.506391753122057,7.383091641806141,3.5367696008966263,6.532179270408887,9.775863877701376,0.3090440522198745,3.644652091047022,21.138761534624752,4.713754891917652,4.549862468578592,11.124361693592354,12.22019191900226,8.307655231022386,15.166836551208172,0.17080887775590922,11.65245124655427,21.377274901614296,21.362957754599496,8.728908196177494,9.335948385095476,17.424592777664152,1.6608033773667032,13.891136112169091,4.6416004833566085,4.776538533539421,7.2383010183808825,6.110760630914925,12.688070085763473,25.05831374193488,4.227753599065895,9.257396012797079,4.5004677863953475,10.085473302658944,7.306364722357954,40.209954894227515,16.649104506559826,5.128531162153214,9.405731095278632,6.027057489424846,10.292760690340632,11.094206155817208,3.2522557048342944,10.331727316567607,36.1673692295209,1.972616323296905,10.001895010464978,0.023421458661221754,38.805247689700316,15.95913943576958,14.835872186968386,16.004050485519244,11.651097140287359,5.657949024375861,8.737731961454777
DEL_C_1_2,1.1077176612550061,1.0415594051930568,0.7096961848480398,3.6080658311393643,2.598885679962489,0.2917682761179563,3.9610330805416254,6.3758200593626375,1.705643260347388,1.02198067908706,0.2005118692659133,1.4327365335131126,4.11494089763609,2.859101338113259,1.1102118191912758,7.045736187898948,2.0395736096026296,0.9242501104270368,1.0877174277518158,1.2903194410713534,0.4524412573999027,5.016386443945564,3.8241486610115705,1.5794374776251114,5.835802493815717,1.164146825195878,0.8096993024664709,1.6005033127886834,0.827781183407027,1.593409867090818,3.2928498229828107,10.19278464594868,0.2790821973291824,1.0500929741786589,4.375293179599079,5.440885354845845,0.612081116877518,1.4349013180468875,4.620119058685042,3.8559656368686976,1.6806454000392195,0.21744732642348719,3.9497863683008956,0.4516077201776592,1.3353184892950747,1.5671242888637908,2.030244577961728,1.3802871485762904,0.436287757065742,0.8559979850780486,3.028236631853849,0.03876952927621516,2.0257189532934583,2.4463740634064877,0.45837867514607766,3.167713482305838,1.107913831424477,0.34319454938871663,3.8217098185555494,2.531608852757106,0.12006435322891365,0.9569043145118196,6.164775557117377,0.6991662176375565,1.372661726306856,2.5510361314778116,6.176441624523707,0.7717792219976172,0.8145520400358441,0.4078482265051006,1.3499659659209144,4.651864862594467,0.5295580018691497,3.3652440089777365,3.230784683321456,0.5434836031893812,1.3845559632554454,2.2948476868466106,2.5981917174393607,0.42881809331122944,1.6016823666779252,5.563950932940376,0.2797801580049682,2.1555667233200406,1.3384993191880117,4.3184312697345755,0.7161499388286016,2.501828622572857,1.2675929283030691,2.4215343186783356,0.2011035124171469,1.2975734008790158,1.0022330062408677e-16,7.570376370365728,4.776275748934704,0.9520266090943241,3.386393783229051,6.197486668957314,1.0324643340751838,3.9983686847053073
DEL_C_1_3,1.4110276569638007,2.1484594861144837,1.6094684176315002,2.590654425922379,0.8249938140818485,0.7592496616809675,6.1083773523356815,0.899554279147612,1.8023405140452888,2.538715979517323,0.5451636155577926,2.3505929335480165,3.5467459227055445,5.734053170904415,2.8006603346970005,4.248466354829277,2.117347006745472,1.4980982407592323,1.8712603923608797,1.8336521138105608,0.6858158967045953,3.580170332627374,1.5784845390732485,2.7886466168751696,3.4717660598233016,1.9362161552188557,3.1098865469215227,2.1691542064800164,1.459799276308365,3.1138464166453956,2.8496287361495165,4.425477023093812,0.4978136487524031,1.117293265222753,1.89146674657686,3.6214233549944366,1.8319575436435134,2.6379486686556692,2.7679749852189954,3.6842111098812897,0.9311501882879046,0.6976887129960627,2.3841921079181425,1.5377232990524106,0.8792934343205558,0.9513178656576851,1.6490089885357675,1.7613652681920724,0.8605355730005146,1.6779051267688865,2.5794332506542554,0.08988071747505166,1.6065587663425498,2.3970819422957286,0.8449702929959306,1.3991082943853839,2.327014884097352,1.5952836745044676,2.359101521066118,2.711960964034764,0.19689933828293663,1.8337958374423737,4.187321459833351,2.7483637056002146,2.0253374900632037,2.4227441971842962,4.301511748815944,0.4946937254546606,2.2216487501855964,0.9145849367436945,1.18476714633066,1.7970966893412772,1.3436870768108131,3.212010366783362,4.120661824058331,0.866329370412338,1.6445093689263288,1.9656115777462255,1.7613848621607562,1.5886518351282244,4.789230415994142,2.4558753605570853,0.7786130925179799,2.0956524085774855,1.3195290592146782,2.151697927620953,1.7075371241351527,1.870713848321271,1.9784806550074807,4.9344308903650065,0.48814871762777945,2.239361669866012,0.05776050488622812,5.103563677473819,2.7008329626549465,2.1538342394051107,4.170446845299865,1.8603879915856756,1.082457262531119,2.779586455387884
DEL_C_1_4,0.8519585400487772,1.5181260026020036,1.0031326248253096,1.5806080263523987,0.9458952608454378,0.5715216013985943,4.969738087292398,1.9758302187951977,1.7340189798381647,1.6703197195353288,0.44852171995772266,0.7645119308249121,4.23017686884525,1.8738688877150291,2.1917523076813694,2.4783874041646436,1.8240234319964324,1.4895388901722482,1.1936674270390621,0.9263157477862259,0.2824412867139355,1.2168416842269212,1.888253342144496,1.561538094415517,3.2469760089239417,1.890855830595629,3.639966819787468,0.9073229562996041,0.9678220677171121,1.5516564162498323,1.363872833383479,3.657376628390517,0.3441126194439779,0.6642897751392999,1.588472546878611,1.7531603318918119,1.6942550223115402,2.2939718922904557,0.9734988858777474,1.9478279968155432,0.7612417935537132,0.5861239760319644,1.4645562530450276,1.3844509914886605,0.7308261263839501,0.7138553293903491,0.9272402915816005,0.9100646098265858,0.32703310116828627,0.46631574073131765,2.4224448979004913,0.031892386244731355,1.554398349155936,3.0776359435506615,0.41559581150348435,0.7909776409584429,1.2453432288085702,1.7880761248905903,1.1016550706618906,1.8046503064083812,0.09805473819013909,1.4087514443402498,2.898944123104639,3.0863493025795186,1.216651754724707,1.0070210617129123,1.9882147243186852,0.294373591884773,1.8151764158089108,0.6416350217017044,0.8158833283501088,1.7622512431165744,1.1300723937440118,1.968265285296867,2.86303124578824,0.5203787729724637,1.3530094996195334,1.5181078278779065,1.6380819430312927,1.4337442248731858,5.344221534982987,3.480352109270007,0.5937010486013419,0.9996354152843052,1.3863476740951495,1.6640352729145609,1.1472947258494288,0.9595761667711655,1.2818484628504556,4.5167292634507135,0.557087001531304,1.009698294080411,0.02137663081800333,6.438416458133351,2.874684426666789,1.9047238881683373,2.476295842028925,2.7358881265911297,0.7144280681107782,0.9149744822288268
DEL_C_1_5+,1.6313772618326525,0.8109158075095431,0.49501208003799424,1.004972484356404,0.9305540674074259,0.1554881292702909,1.7894396966495645,1.092841618460611,1.5806793458138437,0.6167267090718066,0.12785265075750407,1.2962506934790246,0.9752482049020387,4.053769586371858,0.5338381839043584,1.1238995039137285,1.3224705142336568,1.7061028457754681,2.8706351274352118,0.3980375192910488,0.7472491439172324,1.3230451600411037,2.1331679911493384,1.0566097050414696,3.026722059646784,0.24038592472373482,1.055563186538781,0.741512182022169,1.0432207872384522,1.0418324993437376,0.637309307312611,3.309652486889415,0.2265889700706422,1.423391046633226,1.5217673973160775,1.6977410928841867,0.3096735042529595,2.2353749037271546,0.8683183769904507,1.8816918493149106,0.2864679052893612,0.630001264720868,1.430169811531134,0.5986837329057715,1.410264207016833,1.0111974801214296,0.48549800677153715,0.836861972198951,0.5493184338537916,0.7105416653721094,4.18444486004114,0.062173970688610206,3.9285501531445286,0.37415384382342504,0.158714573951248,0.6021239366348891,1.7229673070593048,1.1090559112610467,0.860353671298062,0.9975171862950152,0.3716413939678365,0.885255694405821,1.4263332807651186,1.9532207076963863,1.7384397165782475,0.8483906265723844,0.820045807056402,0.43899898252570124,1.5179826019489637,0.9381357133892294,1.1087587269500625,1.9306158837974572,2.136189535293734,2.3340722898264104,0.6318972731382615,0.3966982373121162,0.9922213303905254,3.8236962256784772,0.9649518366469195,2.7220426170172343,1.4596073152812437,2.056701376819007,0.24279700111184793,0.47025316714197307,2.208966689786927,0.9565838911471354,0.3017159500555597,2.7501230397188627,1.0829256096660835,1.5851138122411934,1.2174872119658966,1.4088582681416018,0.10204351926971011,2.4861510474391597,1.6086650460533536,1.012057895796042,3.767941151586224,1.2215350806644087,0.5326359486254454,0.8862648689451897
DEL_T_1_0,9.077725842426712,15.073690473178058,11.843690798032965,16.547549891173915,4.161228396927272,5.993203791693785,50.400912377793155,3.4169167346630234,9.713754742116436,18.730414484466532,4.4636579793387705,13.695800003125,29.805837544361328,30.793370474059763,22.95298563576425,30.22334749400548,13.777684352552047,11.542881373056325,10.721289621332147,13.16581647579776,3.6701376296511024,25.329435865375856,6.4426555388567355,18.83049371106217,21.744818094421476,17.356502478215354,28.863788451492518,13.585516814381995,9.381463449822105,21.123439528270545,21.418900034551204,24.498932676762117,3.8048362700094973,6.5895706803081575,10.160501245166977,25.550879008845993,15.891268698445442,18.467340497527154,20.003744554814656,24.81513287038178,6.440094644195759,4.92386818213745,16.376186735391258,11.980717775620562,4.205478210996958,6.224902510430461,11.60082373947888,11.175698198740943,5.052645991470523,9.250977813816476,13.168404824153217,0.42253976766193413,6.084678710129502,21.87228742126328,5.981369148473358,8.447097814004872,15.169161478365737,13.38156567781702,16.26553165172882,19.15821311671505,0.6250666667421131,14.06176846445682,27.873218909427194,23.875946210657755,12.184376488630107,16.323838151269573,31.670507875330394,2.907735336208161,16.73060039468564,6.2166391185101375,8.2572893885996,9.092151625562341,8.377665555125061,22.461321734039657,33.77475892444268,5.676389799700069,13.283389982194207,10.635791296513753,12.859656818631205,9.771670460533594,43.833524600809135,17.349436750676336,5.907324012298602,15.3611953211407,9.036832867513937,13.357932578159145,13.102288155288727,11.246145120867792,13.18880104372112,41.83548695281766,3.1146281821478308,13.911612041034036,0.03971401275379292,41.17229486638801,17.195108351189386,17.277026621695615,24.448758428982398,12.767169049905743,6.993184556076404,18.248494210431435
DEL_T_1_1,4.87203386166425,5.577135159108332,4.256252430135152,7.5702720784345034,2.472739431506486,2.282472675965214,23.775128471959924,0.5378167751169572,3.6616797110655592,6.940964407289021,1.720316624560448,4.0292724825716455,12.96824288761868,8.927220721400932,8.74816296193005,20.31505431640125,4.949770135943901,4.695909972032737,2.9684549354733427,6.326534596820412,1.5922634559939448,20.547891782176944,1.8527091806033864,8.45823689489167,6.856540301839454,8.47587179959775,11.913633806520224,5.28062280565343,4.263327833750039,7.191774355312399,14.399386025865613,6.592069892673312,1.6351630852900043,3.7179425557456263,2.705190801833063,21.63382868515648,6.3137649288809286,6.671880512690573,18.27624563144765,16.876194920822485,2.6770552082028467,1.7887312065979153,12.194640091945317,4.746575704988098,1.018304587114267,4.472548615235604,7.169135158186474,6.743271871097733,1.5350069058548501,2.809372280040262,3.860713334667926,0.1292874056465806,1.1649709177889496,8.940629597565128,2.064440125933283,5.732292662675233,4.873193335963283,5.38613263246416,12.081560853201454,7.306208059607292,0.47880564400921233,5.092013776339085,12.017443853221218,9.448474492139692,3.898984359336615,10.827989358809475,23.105467229968117,1.575308949376891,6.117688702461406,2.038811225189405,4.491353977329083,2.2847459160324273,2.6567165741834033,16.068486563628948,18.782676306703998,2.9375010178614653,8.12640296932343,6.974296691596883,6.415182648492937,3.1905101805795804,17.872352220076834,6.23578759600248,2.2510547379296337,10.046739366423838,2.8780764251089868,5.404162207738569,4.876673116854478,9.605395204802702,5.327133423066512,17.14649433092861,1.396162839270323,4.328892968390396,1.0022330062408677e-16,15.765630635203387,6.0772721596976815,6.817879072266319,10.359683139322623,5.409586046713166,2.345705011084281,13.362601361110567
DEL_T_1_2,6.5411910402226265,9.548951583273528,6.502586103616367,11.943688525645502,6.090086056248622,3.8199171008643367,37.776358400402486,9.265297251578394,9.362378874661783,11.057421865083711,2.9713902713570683,4.065466266383561,27.880873708592475,8.958035110939788,14.683109230256461,28.111922052946447,10.420875458131974,8.440950006405558,4.389675825792172,8.365622725044869,1.828952732697295,23.219746019901187,8.67561924022732,12.0659934346988,16.670921686153473,14.632108896295026,23.61556911190451,6.695416604021746,6.670469608212874,9.861258298226945,17.945413248995624,17.817140969763493,2.4774599638735024,5.053079125015904,7.600648737578862,26.904394445753496,11.374735734395935,12.72512391439956,20.81445355708736,22.02907260429439,5.138020838529696,3.272294067071821,16.724246978773195,8.849955601150889,2.8337312063878075,6.629283394348418,9.823961805136939,9.063821754602557,1.7277011075106405,2.712273473428067,10.083036355259246,0.1580664879738097,4.9333280011078955,19.808782675209812,2.795515716055818,8.311596351026303,6.7251550594572045,10.863225753206192,15.186793475453669,11.901176384675406,0.6513115313637937,8.648598215550544,20.58637835535034,18.69552962730849,5.824174559513062,13.110345709268739,28.773647627398468,2.3089131168232586,10.697368056999068,3.28967685118927,6.140121650047563,8.023486835380213,5.055713169368829,21.504949112609303,27.172834483052274,4.30883926220295,12.194767379263673,10.563984005080366,11.799315602007512,6.410456899563124,34.512663979467916,18.927501841073394,3.85142403576976,12.616264105355352,5.625286028732802,10.727082737785757,7.740368149927264,11.51800874321961,8.450008738415455,30.370393255669555,2.761132750138545,5.48659271250859,0.028354806809464395,38.25561049554148,16.05687146489199,12.18856719044857,14.697294954394227,15.991157575421859,4.1361977405239365,15.265732544805578
DEL_T_1_3,7.799053106918125,12.690413718000643,8.436746252386806,15.255035207468598,9.037855879732218,4.9642033498965565,44.89295668473344,17.681406527582585,14.002477102664422,14.258479206364893,3.901735023312697,5.285937654324281,38.6369333292638,11.853361221274637,19.147261388932588,30.503377605119727,15.170596925516666,10.867439056020805,6.4625099902300756,9.33989460850735,2.214885673248396,20.57181321260103,15.252290972667922,14.267446853975947,26.63155837959679,18.228507135880673,31.912208657528925,7.989470515848329,8.397961529195314,12.60379550548395,17.83548344837067,30.517892594016644,3.0965264993289354,6.067785430613512,13.048018914496598,25.75472376699598,14.962174404093433,17.827513731292246,17.209104926791056,22.596814683647555,7.173057573791877,4.619560810133476,17.980477249044718,11.827715285248475,5.244356876493761,7.731152840777346,10.679648586554615,9.710842216001216,2.284320650021399,3.208857286160691,16.128572053711665,0.20810662519913645,10.15958951223799,27.777717231522253,3.4822386327386754,9.542590678019334,9.290297031805231,15.020657927851298,15.1439350354165,15.839467841344845,0.7719371648587869,11.77869378538876,27.400323706886308,25.96087437747739,6.8558640854185295,12.83962429101024,28.13354704159704,2.874994322991396,14.695905889555283,4.778191305782824,6.035965632283837,14.40944391999983,7.99277832422089,22.60379723327962,30.580131893663506,5.000486796015549,14.00033330333848,13.523901214494952,15.64061127722486,10.118702206113971,45.378416738522525,30.012962158651046,5.042027577064018,12.616074874916908,6.3690529656908454,15.460234177938691,9.940529252609727,11.543199096452614,10.95430054019442,39.91289610158826,4.175456676026268,7.464141543975536,0.06951606219163486,56.631076205984954,24.762756700893764,16.32914489348252,15.601597316069782,24.38731973131519,5.896178143792776,14.078446183695018
