Mutation type,Eso-AdenoCA::S.1,Eso-AdenoCA::S.2,Eso-AdenoCA::S.3,Eso-AdenoCA::S.4,Eso-AdenoCA::S.5,Eso-AdenoCA::S.6,Eso-AdenoCA::S.7,Eso-AdenoCA::S.8,Eso-AdenoCA::S.9,Eso-AdenoCA::S.10,Eso-AdenoCA::S.11,Eso-AdenoCA::S.12,Eso-AdenoCA::S.13,Eso-AdenoCA::S.14,Eso-AdenoCA::S.15,Eso-AdenoCA::S.16,Eso-AdenoCA::S.17,Eso-AdenoCA::S.18,Eso-AdenoCA::S.19,Eso-AdenoCA::S.20,Eso-AdenoCA::S.21,Eso-AdenoCA::S.22,Eso-AdenoCA::S.23,Eso-AdenoCA::S.24,Eso-AdenoCA::S.25,Eso-AdenoCA::S.26,Eso-AdenoCA::S.27,Eso-AdenoCA::S.28,Eso-AdenoCA::S.29,Eso-AdenoCA::S.30,Eso-AdenoCA::S.31,Eso-AdenoCA::S.32,Eso-AdenoCA::S.33,Eso-AdenoCA::S.34,Eso-AdenoCA::S.35,Eso-AdenoCA::S.36,Eso-AdenoCA::S.37,Eso-AdenoCA::S.38,Eso-AdenoCA::S.39,Eso-AdenoCA::S.40,Eso-AdenoCA::S.41,Eso-AdenoCA::S.42,Eso-AdenoCA::S.43,Eso-AdenoCA::S.44,Eso-AdenoCA::S.45,Eso-AdenoCA::S.46,Eso-AdenoCA::S.47,Eso-AdenoCA::S.48,Eso-AdenoCA::S.49,Eso-AdenoCA::S.50,Eso-AdenoCA::S.51,Eso-AdenoCA::S.52,Eso-AdenoCA::S.53,Eso-AdenoCA::S.54,Eso-AdenoCA::S.55,Eso-AdenoCA::S.56,Eso-AdenoCA::S.57,Eso-AdenoCA::S.58,Eso-AdenoCA::S.59,Eso-AdenoCA::S.60,Eso-AdenoCA::S.61,Eso-AdenoCA::S.62,Eso-AdenoCA::S.63,Eso-AdenoCA::S.64,Eso-AdenoCA::S.65,Eso-AdenoCA::S.66,Eso-AdenoCA::S.67,Eso-AdenoCA::S.68,Eso-AdenoCA::S.69,Eso-AdenoCA::S.70,Eso-AdenoCA::S.71,Eso-AdenoCA::S.72,Eso-AdenoCA::S.73,Eso-AdenoCA::S.74,Eso-AdenoCA::S.75,Eso-AdenoCA::S.76,Eso-AdenoCA::S.77,Eso-AdenoCA::S.78,Eso-AdenoCA::S.79,Eso-AdenoCA::S.80,Eso-AdenoCA::S.81,Eso-AdenoCA::S.82,Eso-AdenoCA::S.83,Eso-AdenoCA::S.84,Eso-AdenoCA::S.85,Eso-AdenoCA::S.86,Eso-AdenoCA::S.87,Eso-AdenoCA::S.88,Eso-AdenoCA::S.89,Eso-AdenoCA::S.90,Eso-AdenoCA::S.91,Eso-AdenoCA::S.92,Eso-AdenoCA::S.93,Eso-AdenoCA::S.94,Eso-AdenoCA::S.95,Eso-AdenoCA::S.96,Eso-AdenoCA::S.97,Eso-AdenoCA::S.98,Eso-AdenoCA::S.99,Eso-AdenoCA::S.100
DEL_C_1_0,-3.2736391336132513,-16.551601045466022,-5.839007902367243,3.831139138785744,-1.7383604885652613,-0.9185696702236612,0.5921789559881745,-3.029901775436434,-4.931642821702919,4.599234893837831,-20.77508450857278,-8.050055071158205,-0.11614408611110516,-9.52267823806396,-9.468865022720625,-1.0400890787682222,-3.039525179367387,-1.8772338685338337,-4.895494004218033,0.5524129162568041,3.091890913648406,1.78289029021522,0.005529694122094808,-11.960875165114178,-3.0063905293340927,-5.278379584433349,-13.60234232604213,-11.761659834626965,-7.104846169025674,-1.4268898831490713,3.0307856852707715,-0.39285036088785574,3.100785079363604,1.6991141330784512,2.7443317178530435,-6.565633905422807,11.304099550190486,-4.850268433635705,16.92248840347193,-3.9384620092643683,-0.896402606954366,-4.9377880648886805,-3.3911479572425876,-4.221227312095241,4.143004293805744,0.8145187227069677,10.96963177984048,-0.015988947709622003,7.494685739438518,-3.6654731967268352,-29.563122581835174,7.395874021882051,0.03041796225490323,18.15047521699958,1.1132735972001733,-9.171355490839197,-6.262296536787581,-7.719869002373748,-2.258108481043827,7.062319272271466,-0.3382956181531949,-9.87249338709793,-0.903927674081892,-6.588985613091264,-7.454453622527911,2.2463994444125213,-11.42320285346661,-4.897747455274228,-0.7717399066613799,8.623319981201092,-1.3673274964757667,-1.7168654978345441,3.8675480712253147,3.002972094721109,-3.709208305992611,-4.093429512696648,0.48567788088983477,-4.7575363062966645,-12.913807509515593,8.742552839082428,-6.62992467494065,-0.27568239103948766,-0.9415860952726547,-10.56568854475276,-4.919054860999966,-0.603080621927198,-3.4068287628686376,-3.7801534125207166,9.605533679623292,-12.593086731831434,-2.8638400659700913,-2.528094703061331,0.8483038498571602,-5.731082734641008,0.3048426756493683,15.67647085414967,1.6375967623106753,-7.889146794124425,-0.9958387822627508,-0.7100759142812834
DEL_C_1_1,-0.1608574267821794,-16.38386015896244,5.64026525321778,7.389818729354694,-0.5694218796863844,5.64929583744178,-12.281432655675577,-1.0466969991874078,-1.2192688109674528,-5.916845638594182,-0.11624080541860593,-11.657420359568228,-0.18148091144260836,3.884541370386806,-4.3310190494039675,0.7270868909755848,-0.262833620812428,-0.05063851965970256,-8.026868612171828,-2.14877227887469,-8.94335298588291,2.315556137179895,-0.33130852252229487,9.896310465214835,-1.7378117277173164,-2.9829734018408716,-3.3601468905659004,-5.26471158450867,-11.57264146039215,0.8218878076271654,-3.0128222282315074,-11.763691522603079,-8.062656759592494,-3.3811798216800852,-3.7079187373626183,-13.725046098332761,-4.188635266035116,-0.6033916889555826,-25.162583050562887,-0.43208566874442544,1.823990222732629,-1.1475824506768246,-0.24224754282534988,0.21689736579862906,-0.6321330076527507,8.116625674318474,0.4941872276275836,0.4323818136672719,-6.136025415709252,-0.2559573338143828,23.431297684207323,-1.9921295794532377,2.461524187796694,8.415900220406819,-1.0164957771008667,0.06514557939678589,-4.418179334312402,6.474477937385579,-0.7080353870150153,-2.289791259019289,-0.5352696569743377,-3.8398465307911636,19.33477268324385,-3.380250129052439,12.305166534676722,-1.4972988322984957,-0.3670832217395529,-1.0893400433440026,-0.12790233807722742,-25.41580378990742,-4.171451453628585,-0.903908027777885,-14.807546234758089,-9.632451781896112,1.6692758857393502,-1.0185233581643516,3.2699136014351833,1.467168861837394,21.473421417234082,4.950980345464362,-5.591272820509802,-0.6983795912251154,-2.6174331381401945,5.926416173994497,-2.925651338127725,-2.063900241472438,1.4255462701612391,-6.028037784847076,-17.22573826589074,-8.674712606986535,-3.614326443282806,-0.3558605485432662,-1.7575459703050658,-0.5486604381095163,-27.00286847272968,8.26482434003772,1.331338573612455,-1.172229495797028,-0.9306178608073508,12.642666946579004
DEL_C_1_2,15.147239259202799,-4.899769123744594,4.474036434816819,0.8637817223976985,-0.5473872344074756,0.42724519223524304,-5.06669371771498,-0.4954683940875505,-3.4297351933979865,-14.148812924768016,13.516905448426343,-3.6245026009869754,-0.00263189503912519,0.9315723522913064,-2.8248706509608787,0.8528887556755045,-0.002571602678445621,-0.09692152673244109,-1.360123606644823,1.3443696864327221,-1.0344443472107105,-0.22111032768414457,-0.0036167504030289728,1.5541136821849388,-6.392945595508495,-0.16616915554864287,-9.387125603547029,-2.0830524201761382,4.6763884027357,-0.10448255849526554,-0.14973933320297086,0.7371274830609891,-8.816147576169266,9.118644203211105,-0.27636699430971645,-1.303409022011632,-0.2878314654356915,19.983682875678078,9.316661320602432,-0.11902954499170634,-0.4726222802468809,-1.9156426630382035,-2.2679017696387813,2.115327400837268,-0.12588535745922516,1.8247080951609913,0.19575636188347278,-0.0025157620303856735,-4.8950358794458655,-0.0029764370663287855,10.670083467516484,0.5095115461293531,-0.26351729291747283,-0.32505052469504137,-0.298871317677207,-5.272072607714454,-1.8091541835659724,-5.105830528339469,-0.7375286743873184,12.415576517690177,-0.034702876219948386,15.687984508811343,1.6907896980603807,1.0800532114962342,-1.3475458153442794,0.3529982712527566,-0.10695786055861606,0.9141469743468382,-0.06068119034452429,1.1788136677981518,-1.2754616841664628,-0.47378667152375703,0.4939809791447628,-0.3395672200405533,-0.8047339489545914,-1.7114456019233137,-0.8223388210544682,-0.08424885972024353,1.2473925407846351,0.516648993680588,-8.752507544806644,-0.2705127643223643,-1.7774250844027883,-2.24700341614472,-2.633051261695611,-0.11117034508733187,1.4134244348500915,1.1148231967373796,-1.2818175603512323,-12.133153095976457,-3.218726301460329,-0.8155583061576586,-0.4937426792195018,-0.09104816392037836,-4.013984332853838,0.7644434138964769,-0.7427145410142926,-1.6421421841292616,-0.012754329118876463,0.7192333016481118
DEL_C_1_3,-4.5486560701843715,-9.316378423080625,15.401225132806767,4.192064271857603,0.4480912051608974,0.2997145401960215,-2.006392440973009,0.9184091946802111,-5.456004091849408,-2.6077589953006033,-3.480838928722765,-13.055336329636702,-1.4934736860543119,17.37912208260193,0.26709592524318637,-0.8380984461287326,-1.6472319653773626,-1.537728432096194,-5.810080030716755,0.40905134259329534,1.08431954681547,2.329603633653107,0.2273096514341626,-1.4856487863637025,2.398568544819004,-0.08661111567168378,-6.307016444445747,-1.368547744026043,-3.541071448164919,-0.6884892096189696,-0.45955215848262343,-0.38753893975427944,-2.414213095382838,-0.9556397530247418,2.0783179902610964,-10.485641094993795,-1.7231939987564822,-0.5734911324415073,-1.0578773566584827,-1.5525140861779532,-0.5712969391060332,1.9700237307953192,-1.4260964520256936,-0.5372625594778659,-2.007422142017224,2.7794235286706783,-3.281747843191969,-2.355464174189758,-4.079440544301983,-2.9449741858443748,-3.9065805760608505,4.925477029987361,-2.046205824848131,-6.001794818377941,0.13727673387060468,-2.7552658481241457,2.509383402716618,-4.477324862958305,-0.39614948027052943,-7.773596152825515,0.6494862611344676,0.3214109989851295,-3.055979922242198,0.7592002340934947,5.203741784311196,-0.9091099100227373,4.249658624591051,-0.9037710958684331,0.5199880231905505,-5.60075851588682,13.47455017562816,-1.6266831152026089,0.5952687138977195,-2.2937771099978046,2.8809093646988106,3.726650555368599,6.341806259431339,-0.8674290660674027,4.340987515951876,-1.5613746866280005,-5.968904869317669,0.22880295388441252,-0.29007090427501847,-6.088278909652473,-2.1837246094948846,2.1024562878173914,-0.3118744685677233,-4.1906303110422805,9.131906433860587,-1.9602440012034386,-12.913020650178971,2.127780119452582,-0.027823201847099188,-0.9535727540454308,-1.7367023988792951,-7.654818449076133,1.1784079818985882,1.9041272117345924,-0.5812214687194608,9.220762106606298
DEL_C_1_4,2.8286954979562235,5.483708015189939,-0.9998093465130324,0.5525267978102404,-0.48392232764409027,2.513521157413731,2.8012539423305975,-0.40377418823474587,-2.186489487704251,-1.4076971141638852,-2.812245360996204,1.4614331647575796,1.5873958104120134,0.006057419215302673,-0.18670377371573244,1.7566184597791046,-1.4124716847911287,-1.6909576499138121,-5.102121397248322,-1.0681900364938475,1.3314480324822342,-0.18638042458061888,-1.8277899246989757,-2.309645600777387,-0.9136690622393813,2.896601742581564,-2.937291740712398,7.465551186297132,1.2339322023250174,0.47723178057036364,2.1422084827806067,0.058606503336576576,4.827156474791484,-1.1980321675223715,-0.439561317091266,-2.574094953511298,-2.066901250348006,-0.7090472057608839,-4.044388170551966,-5.4204562010567185,-0.7375771170968053,-1.7612106608031994,-1.1618183905981665,-1.3173532293788845,5.128959074852204,-1.0909859229895797,1.8499157191238318,-3.6217562276525817,1.6384470329972647,0.09436027939852432,4.928368648136814,-0.8970814714582387,-2.931563252604105,-0.2566624282719516,0.5605189753681645,-0.22164534979500417,3.674222832279158,-1.3949778240844388,1.6329111289377383,-2.9552839985901365,0.37722655432365204,-0.594848454991844,4.635716330776946,5.954638516472603,-0.31222703806118535,-0.050803565902223013,-12.510042966833105,-0.21174292253905946,0.41481168099736265,-9.011549374508277,8.267199898217434,-0.18795754580696733,-2.0192534930757944,-2.715090870459192,3.735139031786935,2.4456667894492283,-0.7839549043941654,3.2789350230703,-3.7263641296036507,3.412389662402534,4.530041576234479,-0.4407754658967799,3.981279331203435,-9.085482052298076,1.4340242401599985,-1.332829013082438,-0.45645624459582446,-1.6449569773190111,-0.2096650931277111,-1.0780547646597203,-0.4484098033706658,0.017898270296890395,0.8721148610362985,2.5751816668470378,-0.8422146691739396,-2.092211693559854,1.0503202540966052,-3.212227097614261,-1.402075640227731,-1.0315209067623607
DEL_C_1_5+,0.419020189104808,12.050761681847519,-14.052311735214047,-1.114875966534953,14.779590996395966,-3.2798650999080436,-6.948887701069188,10.499493709232329,-2.5487711469458576,-2.7797893786042405,-2.7477781627156617,1.6314901700434525,-0.07777211187810273,23.593352322528887,5.204309617994926,-5.437666702189618,-10.150735870537222,-8.403038073227933,-5.229821369934445,1.9560264396546043,-1.1747691469487433,8.850457105369417,-3.210855955138264,-1.1647600648573642,-2.6210565855983834,14.684308985373367,-19.394981231904104,17.41880032414421,-3.8631035558089515,2.508233698694921,2.2333635497953646,0.7831675690953874,14.368154040383763,-7.0413903698155735,-1.7756988852540427,-1.1769331481301357,-0.8880591502148931,3.3369720032112484,1.3394224870408977,-10.935825836698744,2.9773274223700357,8.000548292866595,2.653701407901533,-1.6345668677713228,18.23688939707799,-1.092334245583018,-30.96443876476465,5.7820608286856885,-6.8981095046444825,-1.0107597264200354,7.321683070840432,-0.16456305129365134,-3.9974720005388953,-10.697762195411634,-1.6711470738092,-7.3620679744901345,0.2469789019575952,3.8077294657987952,3.3064354859819947,2.4602679016865245,-1.795798040816797,0.17212254405191896,13.066906860964476,-7.885572571617725,12.624521480901517,-1.1960158137868948,-46.40139193535421,0.7999744992059927,0.7903531863898863,4.807677851864698,14.269109565825215,4.461191114793881,6.435323292457391,1.0463932389889532,-0.275336330688857,10.101484688377731,-17.92405255025926,-4.212689203265295,3.5509371855251732,7.943209049322682,-6.68550850125396,0.34943396586923026,7.157640554466589,25.10315444899596,11.982640828506565,2.8850961832299333,0.26740955617858564,-4.261037261057487,3.320869380956762,1.2807349399990287,-2.9734014796359265,2.980291959766884,-2.1006383325071436,-7.69353596594458,-9.254863188554852,-8.450293095492881,-2.1919241539442567,0.8537279072675794,-0.10088850526149784,-1.7542069565693659
DEL_T_1_0,36.18795949360323,-27.02814822265171,-7.134025253367142,-24.136264930262513,-1.46862729451475,-4.5479416464957865,-32.21968588220022,-3.4450564554788823,2.656108584350065,21.21735143155601,84.58897795771475,-40.64978596467843,-2.9665810980955696,42.554944670772855,0.7516504908210635,-28.75432263593163,-4.9519813845168645,-4.027186597110669,8.498914701426784,-1.6371472206797222,7.860406791115267,0.09409799437262034,-2.6957913421901307,-25.43896772535414,23.003778327090288,0.28387118359847996,-7.688458658173474,-5.852644586590802,-8.031099784315714,-2.3889441731356067,1.2767394512044392,2.6576231651301825,-2.054732310051314,3.7982403998919416,-0.5016169805319795,-22.136896104088436,-1.8149881030313963,2.9852223592752836,-19.43285118417728,2.133676176016772,1.893640832222533,11.150499265360558,-5.677516946327557,5.498671537301391,-2.042877499455125,-4.493800540185816,-3.1757165752958656,-1.3275014389961148,-13.003350697712143,-5.964577863408676,216.87809486453818,-26.702735242974626,-3.9399997623100695,7.5496579505877754,-0.9702825977380654,14.459866914051688,-8.202219914169014,-1.1098523211757723,-0.8956153105293732,40.70043675236583,-1.3136835913405804,-29.29616408906017,-9.917551367504771,13.14604988658518,-13.116754138407174,-1.7294421719800148,-18.839220624313107,-2.9533270435903543,-0.26553477925069835,-27.617889837153236,-30.90954864586483,4.624572895414476,-2.7691336158591255,-9.656242082399448,-11.231979218073672,2.7162184543791454,-1.9290149758483466,-7.604195217933777,-6.141895973550561,-14.996244983289586,-12.275353616053309,-1.9769449839647786,-2.7002611786993356,-3.8012924457572126,12.07719159264149,-5.39187657915342,-3.772645210279638,-6.808479916183725,-34.51328008909841,-10.026077023678184,-8.366881417594229,-6.511974949236853,-1.218936558628915,-10.358768013653908,7.123045840915381,2.3202434303891692,-6.106799267815248,1.5146327901612189,-0.7567568813429388,-23.44236820221016
DEL_T_1_1,54.8399310912902,-22.0251595895665,-49.75931066304015,-9.37880775690223,-2.3658817243105417,-2.6311652409076194,-25.85402032548967,-2.2453718080266665,14.521984783534258,-4.680548852032075,18.323600543260326,33.92589171256738,-4.039309266876809e-15,-22.622223634479184,-11.271437169376343,-2.5981048458459384,-4.312683761258437e-15,0.8098098639656274,-9.727356940305164,3.7988943686499717,-0.8454826401756037,-0.07381791840020407,-0.0018910640187061345,-5.992579277351588,7.849578124478441,-4.266151868062165,-11.812327949191072,-9.196474778802273,-31.665865022798464,-0.08148774328150778,0.8219969985487592,-2.1439947292401325,19.162818209291395,11.750646742832647,-3.179446416706389,-43.96730237826708,-0.19541868385644046,-28.043044599249093,21.543289211187368,-0.12399458702244394,-1.8225472841991681,-6.57386641315969,-6.538981019050041,-5.519399614315098,-0.0008116144748603588,16.8651987957144,4.37356402483728,-5.5476693699513894e-15,34.92701992026469,-4.785127838330727e-15,-51.53328517920977,31.90022971112073,7.032322643688229,4.4191181202334615,-1.124107813866598,-9.931412334674874,-7.959587196639687,-5.091562001770573,-3.1483163481269063,-7.178237538343282,-0.1379041248379443,9.21965328023353,0.7198675198639819,-0.7193156377643879,5.177832403899252,2.342237308319263,-0.1150444810832149,0.08779608151578056,-7.199382398463853e-16,0.31437392627037397,3.1511956857031773,-1.8356898356578757,-6.21931342952341,-4.083130398894331,-1.1426527590635647,-6.058985265951338,1.006482285928449,-0.011108840758685368,-4.493236699143383,2.7199684329699867,-30.20102044267543,-1.1093409608245297,0.540877046898534,16.147140169435723,-9.111059481077941,-1.0118718547763947,1.730778846321998,0.6717589095701904,22.611570663031124,1.6690225874744158,-16.22486340540827,-2.6715554640524375,0.20814173285399384,-0.2954272400065671,-30.702155861830803,6.145336240287067,-1.3197828064627632,-6.4067130833228525,-0.01384156075380949,-2.1820968338174787
DEL_T_1_2,-49.02087608903334,14.637582835509733,58.63676196040778,-10.043216132478477,-3.2146635460987714,1.350000841679515,39.20669756171985,-0.5594103291272337,-11.215845053591387,50.72245126929079,-52.75610282386381,-19.511578864136297,-1.151763902648863,-22.05455899921037,-11.64528528318423,29.520619421362703,-5.114358622190999,-2.6200159354388948,-7.789908799549579,-4.818573033156566,4.843882230207239,-5.706450374499773,-0.19017416758429295,-20.81278760032297,15.543591229778237,-4.418147270983697,-31.968850248430115,-8.28625589275875,31.80168046825358,2.376079322356791,-0.4540984274857802,-2.142724059738363,18.239684857793456,-5.698247211394971,-7.12758925619058,98.0296491959021,0.8727506216928536,-12.376671994360876,9.7795746231795,-2.7020031066693377,2.2609005799701505,-4.880395055152123,-9.598325566851749,15.530131900478267,-3.6791222131957095,-12.722874026089464,0.8083047907777683,-2.357481236846535,-2.6490795535263842,-3.018494609636833,-96.60903977535958,7.05990594338094,14.94673070074193,1.8753728273261743,3.6764407946893893,2.5779462398930946,-6.442362139880299,-1.8221938487647122,-3.5342220402564664,-17.946762004699963,1.9482754185907563,6.4962726652236285,8.492378964667086,-7.009742542373834,-22.35632173626651,3.022240351949499,-13.723437609912587,1.21907342007529,-1.041257663907629,-17.141916443963737,7.783926349609871,-2.0496980072026183,-9.473469266529893,-3.1517608267671697,2.1060272129436193,1.4914382818706287,16.381609207760555,-1.4771375621264706,-11.666218536180416,-5.360210747592102,15.95038181128637,0.11187451329531051,-8.588270508989634,5.6216208043259925,-6.7581861973394375,-1.5331944003848594,-1.0313571382826119,-2.028537581028914,-6.608006184539306,62.08010974243203,48.007492995793,1.0187518917598153,0.6398228487028739,5.159645247413371,33.53311052735424,-13.724928663211514,-4.356538872276202,-6.582331863667182,1.831744979003064,8.544045698205124
DEL_T_1_3,-46.69200453723016,11.077974333423313,-24.58786743338412,15.897437684194081,8.7405204110997,6.754672236201724,16.461761055637155,0.02453855349647327,3.6875827264198975,-43.368892848833084,-20.169728554673668,6.690144824665296,-9.607160009452336,-1.8822959080968928,18.816627123288253,8.194562542198007,-5.457607474071789,-14.403216925021198,16.119328059300543,1.185686097235891,-10.567668730449025,-3.0657639209741383,-4.0016284265903455,69.95451270654581,-35.99347532035836,-1.9585772997375734,75.36983761544334,1.5221559556703959,-5.741922489232309,-3.918375543892692,-5.9472654088152055,-2.2920489546565364,-37.461261378002696,-6.254996606157945,4.889560956959485,-62.96723536891545,-16.130132462521306,47.23612995073414,-23.192509986772173,-12.030946050659608,1.8204799460898489,-2.1954385471197355,28.206276574573636,-14.331942656436674,1.2902153557628893,1.040137573395775,-37.56575484933499,-12.000082376795579,-2.715103788103349,-6.0626533347728255,-40.60253705736591,-17.062520461874882,-8.832080436619815,-21.102365065804896,7.562997587381307,5.811191931493916,14.024447049821127,-3.4797722023674353,2.796717016555986,-24.975132101791516,-0.4582418267525008,6.080499735335039,4.256712067928042,-11.779613225754844,36.30714404073218,-7.308836526266999,-37.96073417654151,18.029338761878062,-1.969144254796738,22.904462954969546,-14.646122216639128,-0.003051353137266233,0.3256626016742281,2.4984585199427336,2.4333812401933628,-8.769044655944505,-5.887772490857294,-2.020752452606274,3.3728982646486543,-12.355213205959132,52.24409259319124,4.270150336249621,18.888559167219704,8.922493278697331,9.566649557522755,13.089688396724677,-5.575495723893898,-6.709968121677768,8.9359767422322,-24.243895911339152,-29.037700741191628,2.879009106554598,1.3801218521563285,-4.149357975219608,17.191459641463,-33.01868664811889,5.948402904651218,12.37374104364985,1.2540190652346679,6.938101600490334
