Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS13	SBS17a	SBS17b	SBS38	SBS40
Skin-Melanoma::S.78	118	17347	7552	90052	26409	0	0	0	0	0	0	0
Skin-Melanoma::S.79	0	0	0	82007	18349	0	0	0	0	0	0	0
Skin-Melanoma::S.80	2626	0	0	217663	0	0	0	0	0	0	0	0
Skin-Melanoma::S.81	166	0	6536	0	60103	0	0	0	0	0	0	0
Skin-Melanoma::S.82	0	0	0	115555	14521	0	0	0	0	0	0	0
Skin-Melanoma::S.83	0	0	0	0	90818	0	0	0	0	0	0	0
Skin-Melanoma::S.84	2319	0	0	137823	49229	0	0	0	0	0	0	0
Skin-Melanoma::S.85	0	3362	4759	8439	8782	0	0	0	0	0	0	0
Skin-Melanoma::S.86	0	0	0	235363	29874	0	0	0	0	0	0	0
Skin-Melanoma::S.87	810	27013	15710	97115	0	0	0	0	0	0	0	0
Skin-Melanoma::S.88	0	0	0	288242	0	0	0	0	0	0	0	0
Skin-Melanoma::S.89	0	0	0	17530	50310	0	5295	0	0	0	0	0
Skin-Melanoma::S.90	0	0	6913	0	0	0	1002	0	0	0	0	5113
Skin-Melanoma::S.91	155	0	0	51563	0	0	0	0	0	0	0	0
Skin-Melanoma::S.92	509	0	9436	8425	1404	4377	0	0	0	0	0	0
Skin-Melanoma::S.93	199	0	0	11591	9015	0	4866	0	0	0	0	0
Skin-Melanoma::S.94	608	9982	2137	38953	19119	2823	0	0	0	0	0	0
Skin-Melanoma::S.95	0	0	0	73767	0	15753	0	0	0	0	0	0
Skin-Melanoma::S.96	1095	0	0	73546	90565	0	0	0	0	0	0	0
Skin-Melanoma::S.97	0	0	3248	0	1201	0	2255	0	0	0	0	0
Skin-Melanoma::S.98	0	0	5033	5273	8842	0	0	0	0	0	0	0
Skin-Melanoma::S.99	2815	0	24371	0	80275	0	0	0	0	0	0	0
