Mutation type,Kidney-RCC::S.1,Kidney-RCC::S.2,Kidney-RCC::S.3,Kidney-RCC::S.4,Kidney-RCC::S.5,Kidney-RCC::S.6,Kidney-RCC::S.7,Kidney-RCC::S.8,Kidney-RCC::S.9,Kidney-RCC::S.10,Kidney-RCC::S.11,Kidney-RCC::S.12,Kidney-RCC::S.13,Kidney-RCC::S.14,Kidney-RCC::S.15,Kidney-RCC::S.16,Kidney-RCC::S.17,Kidney-RCC::S.18,Kidney-RCC::S.19,Kidney-RCC::S.20,Kidney-RCC::S.21,Kidney-RCC::S.22,Kidney-RCC::S.23,Kidney-RCC::S.24,Kidney-RCC::S.25,Kidney-RCC::S.26,Kidney-RCC::S.27,Kidney-RCC::S.28,Kidney-RCC::S.29,Kidney-RCC::S.30,Kidney-RCC::S.31,Kidney-RCC::S.32,Kidney-RCC::S.33,Kidney-RCC::S.34,Kidney-RCC::S.35,Kidney-RCC::S.36,Kidney-RCC::S.37,Kidney-RCC::S.38,Kidney-RCC::S.39,Kidney-RCC::S.40,Kidney-RCC::S.41,Kidney-RCC::S.42,Kidney-RCC::S.43,Kidney-RCC::S.44,Kidney-RCC::S.45,Kidney-RCC::S.46,Kidney-RCC::S.47,Kidney-RCC::S.48,Kidney-RCC::S.49,Kidney-RCC::S.50,Kidney-RCC::S.51,Kidney-RCC::S.52,Kidney-RCC::S.53,Kidney-RCC::S.54,Kidney-RCC::S.55,Kidney-RCC::S.56,Kidney-RCC::S.57,Kidney-RCC::S.58,Kidney-RCC::S.59,Kidney-RCC::S.60,Kidney-RCC::S.61,Kidney-RCC::S.62,Kidney-RCC::S.63,Kidney-RCC::S.64,Kidney-RCC::S.65,Kidney-RCC::S.66,Kidney-RCC::S.67,Kidney-RCC::S.68,Kidney-RCC::S.69,Kidney-RCC::S.70,Kidney-RCC::S.71,Kidney-RCC::S.72,Kidney-RCC::S.73,Kidney-RCC::S.74,Kidney-RCC::S.75,Kidney-RCC::S.76,Kidney-RCC::S.77,Kidney-RCC::S.78,Kidney-RCC::S.79,Kidney-RCC::S.80,Kidney-RCC::S.81,Kidney-RCC::S.82,Kidney-RCC::S.83,Kidney-RCC::S.84,Kidney-RCC::S.85,Kidney-RCC::S.86,Kidney-RCC::S.87,Kidney-RCC::S.88,Kidney-RCC::S.89,Kidney-RCC::S.90,Kidney-RCC::S.91,Kidney-RCC::S.92,Kidney-RCC::S.93,Kidney-RCC::S.94,Kidney-RCC::S.95,Kidney-RCC::S.96,Kidney-RCC::S.97
AC>CA,-0.11361422444326065,0.5200962567357139,3.3552578539560174,-0.23816143344888308,-2.1986993062623696,-1.34492539043891,-0.39728134370719487,-0.3571602561661951,-0.0050706704150205425,-0.470381026175982,2.4675413332667464,0.23783712242606658,0.6456769783264181,-0.22026078221904716,0.8564799570189057,0.9249432621559031,5.480580143956346,-0.035495157652102226,0.13182899589408847,-0.19060922822277443,9.29321014252011,0.2464864746391613,0.617430880502251,-1.1605529230257678,1.0266723817540562,-2.5265089548728294,0.6021709799770449,0.7005834513226024,1.2556927230373793,-1.0263018688288565,-3.9833812118140948,-3.0552159032847745,3.206118537886191,0.937743197617654,-2.40735991702679,-1.3896601738389482,-0.2616453866234004,-1.8938263413538199,-0.04625958510484374,3.899665699651801,-1.9826175391122374,-6.3845608621581835,-2.205042683592021,-3.620964569790825,1.2451050386062632,1.0399027431402863,-1.056072307175423,-1.6075951881265949,3.613213355582602,-0.18840726946738237,-0.13168965520842307,-0.01727188800650703,-0.41547276703893565,-1.5853816363754343,-1.1550664937488775,0.1336279249465404,-0.6225148250976309,-1.218208917945648,-0.42199013609236014,10.431232533928371,-2.187894892398152,-0.0030233829440206275,-5.313579325025305,-2.6815095464657723,1.9119780134260376,-3.1465170433042733,-1.6584668075403117,-0.07816714916187228,-1.3518059907483608,-1.1331414673072424,0.18536945799576943,-2.190981660486083,-0.5664959783039031,-3.883950543424061,-3.4563425924997926,-0.20756737133353395,-1.6864439350722482,1.5986847510164437,2.358857916746346,-7.227794402320827,-0.27184104877170095,-3.08867262438042,-0.2819113521139272,-0.19766683488655623,-0.1856236149833621,4.358327594268594,2.2068412986482158,0.7419580653058713,1.286014101841506,-1.1549490055344507,-1.2366410701137367,-5.771125106131143,-1.1386465743812062,-0.19196305406062955,-1.905717014476336,-0.35010681798223897,-2.398574234234278
AC>CG,-0.004334997525880999,0.8793805321266457,-0.1703918599146682,-0.10283302685081486,-0.1772732274021468,-0.10614733045350441,-0.026615569403632567,-0.026156988125717522,-0.00043340969600100005,-0.19209109564274926,-0.13345757862520632,-0.05273608626402655,-0.022220325576658994,-0.012813033250495808,-0.10012493984412824,-0.26396188014178096,-0.11948161171282815,-0.0013109119823072222,-0.07098058952465973,-0.010180274831477348,-0.287950889400073,-0.1281125354402205,-0.139429734532676,-0.12994385925779897,0.8314353292331773,-0.21257050074727069,2.7049542074131327,-0.27901895822908335,-0.20416200076374835,-0.0818070421033332,-0.4193340228472588,0.5632882551197242,-0.06805644458377114,0.7529138471769838,-0.20259483726942631,-0.10303011133683002,-0.003244240565624245,-0.15475413397988932,-0.1721122439689641,-0.09927173233070868,-0.2553385653419387,-0.09007055549633902,-0.18371281042077586,-0.36301613432297225,-0.3161011947984266,-0.0442766454459924,-0.09323448981698321,0.9000811932242555,-0.28653757410830333,-0.010387663347371921,-0.0023135291154068975,-0.16073282742965472,-0.0266734919225236,-0.12975101704119038,0.8129263108919986,-0.10775478572648835,-0.2159909353846423,-0.09471417243381483,-0.190673836942417,-0.4322743052410285,1.5307783863083193,-0.0002562058798421026,-0.5289206143393522,1.5736290106102873,-0.17965084258365593,-0.6247075320830757,-0.14052403457154505,-0.24577593274130713,-0.07389995873200751,-0.17713438080818142,0.7670183211597912,1.827525425143526,-0.0394925065356689,0.6701896024823331,-1.068230416544508,-0.01593280224441335,-0.29186424323029164,-0.11708892690723498,-0.1464680048988615,-1.3062675485396058,-0.004103093812287742,-0.42624275596148364,-0.017461942111061574,-0.30898701033845793,-0.10308869217878036,-0.23306581136296364,-0.2823360549186812,-0.018704240177936125,-0.4652242883135541,-0.10086318073001042,-0.08981622804953897,1.8961378124044803,0.5194675529323631,-0.013825963594659879,-0.17621714046929818,-0.018190369782351293,-0.19262949987696512
AC>CT,-0.01377130121302508,-1.6165924217388439,-1.2089484834524453,-0.4059680811894526,-2.4094088535111386,0.5972993482366526,-0.33889777910871743,-0.3000899565426245,-0.005143640881087574,-1.3765014220022609,-1.67283970507806,0.3239082518074804,-0.04633979370106233,-0.07832264075772788,-1.1918132883704036,-2.2927277653407607,-1.5068465740569859,-0.00407383524736988,2.179195155731244,-0.08864592762746774,-2.8471399599505793,0.2834680855900633,5.8335994824926845,-0.27851485287228017,-2.11369998756663,-2.8019356413651675,-0.7556550446518613,3.2079455409356474,-0.6573856801326067,0.9092858336563536,5.227436753459622,-1.8687369729928403,-0.8873615795863491,-3.2929537150259423,-0.7555191095851526,-0.7831882400012553,-0.0005137203606706636,2.897999893076587,-2.3649384952101467,6.048634723968343,0.6292489415621532,-6.00239304765023,3.5368797607190907,-0.8802593379163595,-0.9467657459235257,-0.5132621242925157,-1.1384330260152873,-0.8904104979135884,-3.8639949193609704,-0.09234200771485354,-0.0034099401809788163,5.8555726200760585,-0.33882150879745493,-1.6288303733546168,-2.2803674949279,4.631168978327257,-0.9519064191420017,-1.1992342508000622,-2.462525858135814,-0.8881597424241892,-4.156550492582641,-0.0010185759753583805,-5.275157894599184,-2.761280610244545,1.7184254630284923,0.24429738752083274,0.10999116280634458,-0.528089577360262,1.08150427929802,-0.42560914835495733,-3.0878449058545243,-0.34204009047210215,-0.07838471383632466,-2.1766895286379215,-3.8745200655789107,-0.2048452141915504,0.041238167839200646,-0.256005241732016,-0.8255831202112021,0.1732515628993747,-0.00378675610618218,3.1633961354529063,-0.19198603258169203,-3.0238924673821646,4.69957041729856,-2.7938344362016494,2.566381035703058,-0.08466235482577927,1.2599933259786211,2.7333292371609597,-1.1930218101007064,0.7847372410010367,4.410361125221898,-0.18292097652942899,1.083757060343667,-0.1827273076691595,2.479350285715615
AC>GA,-0.1032087761290369,-0.5074383487693195,-0.11198198497279965,-1.2739218764373725,-2.269246291983059,4.6094334578717735,-0.4061784142273527,-0.3449067530458376,-0.004824878773016239,-2.5175397577139242,4.478348940420212,-0.7780379875614023,-0.2710991468181347,0.5012925620088431,0.9132890775922993,1.004811957759454,1.488882446432457,-0.03251418841974159,4.164694436520967,-0.1810581591490204,-2.795757135528697,0.18872728453277854,-1.0403646604105632,-0.4391164095908727,3.02193335992546,-0.5402407534331837,-3.337392739194449,1.6318354361021385,1.1052191744527504,-0.061504759848085344,-1.1247685124138602,5.427304031440279,-0.7913577989295655,4.879875660970672,0.5402312832044647,-1.1905300038314968,-0.27742291526442675,-1.9520903906766591,0.8912983346455903,1.0725126111532317,-2.9972300707472845,7.921311116455065,-1.2447393707079724,-0.7670204737881674,-2.6722893368147833,-0.998878749145289,-1.0228827767855284,-1.5257872635064655,-2.4430130553587905,-0.1957124740754887,0.8643832447367126,-2.1894362017006985,-0.45269456836921995,1.1630893702182818,-1.1049985800605069,-1.9419323990669697,3.3055923332363992,-1.23450963526732,-0.4360701082194174,3.4123247417342903,0.321608823163988,-0.0019158865557277736,-6.493530601240137,7.132489328727598,-1.0517747543278277,4.713649577358332,1.2971676158940293,-0.703708475210827,-1.4055786495828593,-2.2043206900308077,5.155246444997752,-1.2565028784699832,0.5771375089155326,-2.8524808751710022,1.8989398010631424,-0.21297744954431452,-1.851342652120063,5.691777716803924,-0.11946206152857952,-2.823822668169639,-0.283983445831183,2.7652069403039965,-0.276980638871005,-2.6768896010737566,2.8131638153184806,1.4907395402698143,-2.121514228204305,-0.19838936412761418,-1.4142484104556137,1.8726189230785593,-0.2733684445681792,-2.8674391254276688,-0.1778217430021254,-0.19752658771084375,12.29355661836751,-0.3482115540554788,0.5626313914560526
AC>GG,-5.78773655409892e-16,0.5962562836202953,-0.2974439726294808,-0.35280880264866066,2.3982699551136104,0.64982037125983,-0.08481988489310552,-0.0698894502594729,-0.0015987755398641213,0.39876252970279213,0.5808290164709481,-0.17124650071531153,-0.007441216732002715,-0.021125362381050946,-0.3057318133332657,-0.8194739696640808,3.622098235242945,-0.0009354032239901942,-0.20755458642166547,-0.03006618370268454,0.9798209697388478,2.570862578980735,-0.2869515921204428,-0.05138109345206341,-0.5377462764758105,2.3004688454268734,-0.9354518184565336,0.04539879737736097,-0.14096130120323416,-0.27314808811527214,-1.4440647667850908,-0.6783246462763546,-0.22382990591205085,0.17712889708245327,-0.6859272618683884,-0.18479421120459516,-4.572462281597966e-16,-0.5243660730244807,0.4086138459679418,0.7651884061521819,-0.8413799067591202,0.08185076299940586,1.3848690185151113,-1.2690015234324437,0.018833359315936438,-0.1349015208996294,-0.2847524482129415,-0.2307283696582182,-0.9725507524142136,-0.019776007143676895,-3.185799149103248e-16,-0.5357893413853315,-0.08682781687575356,-0.4074660696421626,1.426601538846588,0.6575330130020443,-0.7494931828320565,0.6932817530866934,8.349793740895835,2.5755084937416672,-1.2735481334873895,-3.3702792395633056e-17,-1.8198909471345488,0.08414863689393004,-0.5678204469761005,-0.6197920668268965,-0.476012064348389,-0.09826597493559423,-0.23267836283763774,2.3910019119953394,-0.771259488107116,0.4109530989030272,-0.01482453859430433,-0.05889800556008451,-0.8398672612818595,-0.05565044936505761,3.009547802905268,0.6899062439943465,-0.1968165189556001,-0.5274438687454615,-0.004689753132965375,-1.4655166389162293,-0.04989148860427853,-0.746712814709067,-0.33411317083759695,1.3079499928564502,-0.5898510849578784,-0.019263134014159394,-0.37976652170503045,-0.3154410522046712,1.7026547397889948,1.3303415847269149,-0.5990302385498021,-0.045547339576837105,-0.4770982372035041,-0.054468227525787734,1.370983392320934
AC>GT,-0.030602979001777712,0.31176976820642954,3.4753428929201267,0.3958611415766222,0.9689818438221338,0.40088148935491164,-0.15473835803368266,-0.1646689001246894,-0.00346971267881078,7.964654249635954,0.28489046914851013,0.6878056413108864,-0.029236035623140463,-0.04262866964990189,0.4714644473187105,-1.3952651219269514,0.35070223302482506,-0.010728413007273044,0.6356035128170565,-0.08539533153707157,3.212128011020186,-0.7309061147017519,0.49497563789274535,0.9014065303208707,0.0697939468179607,2.8119176812974214,-1.593245244548138,-1.6352124122929617,-0.2436715436501349,-0.4661594745215799,-2.451446140255403,-0.1820488834071763,-0.3946084169754176,-0.3971822756976473,-1.1945765698974264,-0.3625742881079512,-0.001142300117447645,0.09620427088977845,-0.00628869664594256,3.5804658139251972,-0.4304428045988682,-1.281723522241336,4.951581740270856,-1.2001779982532677,-1.6832504323885302,-0.24059979534896414,1.5090122751142496,-0.4108321366058984,0.3293853145385959,-0.0640228400407894,-0.007577946521878351,0.07754999332551793,-0.1500695323979246,0.3006747032378638,-0.9992105349625297,-0.5831114233273003,-1.282026521299163,-0.5279910569555009,-0.13599541729581377,-0.757606805999022,0.8229474491239244,-0.0022634940852586565,-2.0900087391541664,-1.57659652762981,1.028435339878571,0.9309228150604987,0.18852867996913014,0.8208095283513923,-0.40201927497166534,-0.03760952344136892,-0.30928063690651286,1.9954386470337708,-0.028515024365881464,1.1679247301548887,0.5407299945130675,-0.10350888753172865,0.31659704513347786,-0.5319143507460213,0.6595215669789427,-0.9465582432313159,-0.01681557582923382,-2.5088667682094843,-0.09680083844887835,-1.2798610846173342,2.421078736600783,1.8040359727345072,-1.0216475031132983,-0.04982504020243484,-0.6575667274013698,-0.5363756758303713,-0.5145558934574188,-1.1764937108515239,-1.0365497125902268,-0.07920616367917363,-0.8271666760059095,-0.12974377844063897,-1.0729039502755697
AC>TA,-0.18407092879108117,1.6342791387104096,3.4132546623563913,0.9389998917801692,-0.5774534950621049,-1.1133523340164588,-0.563848353553709,1.3359583843922267,-0.009297392620422111,-2.632651198718988,-2.4381740206333546,-1.1074250757211115,-0.18609381935176583,0.3783756380779658,-1.7013758769797342,-0.7368071546965282,6.7684409013417985,-0.05155995698903174,1.7591883300351336,-0.26455219251710926,6.335498657093736,3.42370477762376,-0.6065161080415078,-0.21770394964225873,0.8644741362755233,-4.047075696829654,-5.396467298949567,-1.5114868623669073,-0.869284285601623,-1.6272046280262242,-7.3485569993206,4.304537656817385,1.6722516899325062,-1.811123973012874,-2.124885472206131,1.5621891976825197,-0.08582961114627147,-0.13865338565937213,-0.44080766710060937,0.5961343135714157,8.137534724289221,-7.29431376955444,-1.5933079756212076,7.79368638941774,-5.764460878015977,-0.9194424549701244,7.3389784350458624,-0.5111773448191057,-1.632762109922325,-0.3236494186643837,-0.07734579864678749,0.6050348347470189,-0.5665983492132702,0.19472356109766142,-1.3928049452584848,4.8037103313965375,-4.2845893681208445,-1.7900758119031424,-3.60212623011201,-0.07689410745658076,-4.303815505110234,-0.011964192258886513,-10.534243464839966,20.60604991735349,7.693967053133067,2.128627043389068,-1.7553817528635771,-0.3391867434754253,3.484738519337675,-1.5442161363570333,4.524934042121643,-2.444023852575494,-0.20177554021138322,3.872210609615845,-3.5104774560171026,-0.32833217401563863,-4.900208335228339,2.1293417453465127,3.9054727171828354,-1.4929085362667804,-0.10702234824224474,-6.53485079421681,-0.34503145108511846,-0.18901904344130216,-1.909935956357753,-4.070393302081255,16.68569257955679,-0.21257783059100113,-0.6162777039911456,-1.8151157762644021,-1.8313142313207107,0.5711521489425984,1.9962479758033282,-0.2831826899594336,4.258266886104236,-0.435781325693805,-1.727860806280264
AC>TG,-0.0016274947827391727,-1.0123415386513768,0.3584622969117496,0.1177931126494367,-1.5125417429201637,4.120866216356624,-0.21140627333299786,-0.17720355519199096,-0.003079927722290563,5.5219125888323175,-0.03555199717361823,0.5784106901619988,-0.006818735196554943,-0.0613823749292056,0.2700055199118919,-1.0342509914855165,0.06385174192499143,-0.0005937801161540766,3.4984736905466343,-0.049181656121994835,7.586567801959426,-1.0808709681112973,0.34672048852159854,-0.02320554612294281,-1.3095791669656465,0.2516801453912647,2.6735135593444004,2.6248271348248426,-0.20657491710315884,-0.6842305518305812,-2.625369750292409,-0.4749794336230222,-0.5504411256161844,-2.062596547018272,-1.7227264301110585,-0.43403239235395447,-0.0033607578993337262,-0.31785498028826686,-0.4849293850903287,-0.5542268417219106,-0.10206170615411114,-4.300941862989743,3.458698885655229,-2.0651174626014153,0.5609782168467161,-0.3267464888216078,-0.6998827838119427,0.46986258400821856,-0.41672838726070394,-0.05178111665355281,-0.0017306280770622632,1.6494335920688896,-0.2149091448720545,-1.026532624706419,-1.4022839702145469,3.131993579399655,4.146347407402549,-0.7476414010528055,-0.5363243986234665,5.239264650425233,3.8949728823802565,-5.140282005664898e-05,-2.5693224571929294,-1.159959973653745,1.5872565413177715,-1.1232091740868502,1.8162527363388312,-0.04299400694989108,0.417460373192874,-1.5236484669670556,-0.9298973300507554,0.5277634727468739,-0.012386625787024486,-2.587985429786039,-0.3052101501470075,-0.12737445789157906,-2.491457408069698,0.24206938687916013,-0.40636253552617707,-0.2200509968426401,-0.003974083026242182,-2.661943712582622,-0.11706915891398377,-1.7720428344364778,2.1941220944875477,3.2904349736297083,-1.374689198518454,-0.036650887085448246,-0.6077462340016628,-0.7830134671865658,3.2507518526578725,9.217480826672311,-0.20612863976234785,-0.11480446321075165,7.850567931609039,-0.1087067481422032,-1.5750084591987932
AC>TT,-0.3219722796498969,-0.5418915398394359,-0.6708896938942923,-1.2329156412336357,-3.8588321458700747,5.760407885862607,-0.6274450157163673,-0.9177025414336996,-0.012449182252694261,7.231062208618928,-2.591490728047405,0.7639929556597174,-0.18759870472540635,-0.3385934910731633,-0.8237659231983934,3.9207979317800667,-1.3782720936484245,-0.08922223597447536,-1.331814361878602,0.6108297454952102,-1.0855060464600763,4.289709025268435,3.2662137088469967,-0.11137676541435339,-3.3462506183835914,1.6584539506023281,-5.816781174471986,-5.986307570076972,-0.5406185663126466,5.275167081631797,1.99927610331682,-2.846375694119052,-1.48715700257796,-0.1235104581041977,-4.589697844385699,11.421054341060385,-0.022021019178870473,-3.4178269143997952,-3.7134673929711566,1.4508857961413932,-4.236003472758772,-5.631099529751399,4.13017573906319,13.306563335313115,7.776840094751517,-0.8753303458897232,6.202960799416103,7.585506767369976,-5.133508924751387,-0.4516429796151753,0.9162485555232112,-3.538825032284313,-0.5550795045179577,-1.7306385934159412,-0.6861613201027015,-2.1760435150344466,-4.6102743378375,-0.8739760073116789,0.15106991546528592,-0.07540666665721618,-2.8098177916465668,-0.02360503168368082,-10.350312959977842,-1.5364041959402366,-0.5787445897779868,-1.7083313708754528,2.049686510252041,0.8853288428581914,-1.4947570311989824,-3.807601509567135,12.212659608935288,-0.6758309713005892,-0.06673410417856615,13.379969033230296,-2.105393147098729,-0.37032276230827277,0.7688871514689248,-1.9379124406482013,3.0034047805609996,0.56734523907397,-0.06732205662438304,-0.2556821097012829,-0.3896453222214986,-3.4384236282918605,1.9561496128219749,-1.4475283710971096,-3.5593245542869134,0.7448543974873172,0.56413931298314,0.051762020695212296,-0.9630136668880618,0.23881242278247594,1.9805313560132465,-0.30480350702020015,5.026435971496074,-0.5596682938615091,1.0331397909873794
AT>CA,-0.020224147337179137,-0.7372291629946855,-0.6707554055853369,0.36284083023015967,-1.096386815714451,1.3495840772024144,-0.17645623812793185,-0.1427632215410513,-0.0038835637717380485,0.8231132224719551,0.23241648555771977,-0.3538063171666686,-0.07729349520733096,-0.0428545238999358,-0.5921235583965198,0.4934980019569424,0.2732059883482876,-0.010327238002612343,0.5867900122863375,-0.10444103786369183,1.9479044220523871,2.1756604126011094,-0.5961576812841792,-0.27466793654555427,0.9871675304891441,-1.2682924433879148,-1.6963419813544642,-1.723816663369841,0.5349377496512252,-0.5050389786597321,-2.5722834531595176,-1.512363581702488,0.5873577740405775,-1.5127839240541203,-1.2258972000717572,-0.47321223628177306,-0.05770733108194766,0.05046736050195966,-0.053678479880673535,0.5180420772370569,-1.5123991610048462,-1.0908806544377914,-0.11164027636817075,-1.4720890678963108,1.181456101046363,-0.37255517757483314,1.4744486163672743,0.3802586831573642,-1.762588124064938,-0.05536004502050321,-0.02792044677280719,-0.9776288935783347,-0.1845520966818947,-0.7381470307045136,-0.07457542574044629,0.2380456014401482,-1.3798551060548223,0.3966214950630177,5.686685281608853,-0.13408443618089705,-1.413234700079736,-0.00030550732675178167,2.750999257295997,-1.912332781258455,-1.0346730781291038,3.364382313316335,-0.8606097086064272,0.5051033039356708,0.4535318065461429,-1.0980838433324225,-0.40540358866343307,-1.0951613377777534,-0.12692860879504259,-1.9891065511918988,-2.479140139602583,-0.11784753576959361,-1.8180016074337184,0.3851467325902884,-0.5501955288378821,-1.452120849955684,-0.07848526780261435,4.362737760394944,-0.12169166465575006,0.5459443610847654,0.36910541746006187,1.7234390629718488,-1.1831590235021234,-0.07495112166370443,-1.10202379005204,0.4262686054640695,0.4253365588705911,-1.376552707068866,-1.4326371700289844,-0.08852562661113186,1.0904658268843894,-0.16762536851201998,3.833607229378535
