"Mutation type","ID1","ID2","ID3","ID5","ID6","ID7","ID8","ID14"
"DEL_repeats_4_0",9.97e-05,1.21e-05,0.000177645,0.010791265,0.002315098,0.000130877,0.006691309,0.000193687
"DEL_repeats_4_1",0.000900503,0.002115787,0.000634573,0.002843569,0.002806729,0.003396804,0.001622955,0.000617337
"DEL_repeats_4_2",3.23e-06,0.000543292,0.000116799,0.000164644,0.00047449,0.002777387,0.000272623,0.000524295
"DEL_repeats_4_3",3.31e-18,7.27e-06,4.12e-18,0.003877814,0.000291345,0.000439586,2.88e-05,5.03e-05
"DEL_repeats_4_4",3.31e-18,3.95e-18,4.12e-18,0.004557254,0.000110576,0.00020181,9.73e-05,7.73e-06
"DEL_repeats_4_5+",2.89e-05,0.000210413,2.83e-06,0.001584436,5.68e-05,0.000250764,6.34e-06,9.19e-18
"DEL_repeats_5+_0",8.35e-06,3.85e-05,0.001776785,0.018447949,0.019333291,8.55e-05,0.237978862,0.006086814
"DEL_repeats_5+_1",0.000190676,0.002977512,7.41e-05,0.000410335,0.007501825,0.003476729,0.000572257,0.000314462
"DEL_repeats_5+_2",0.000126355,0.000397525,2.78e-06,0.000470925,0.000370524,0.0011689,0.000516838,2.13e-05
"DEL_repeats_5+_3",1.89e-05,0.000158151,4.12e-18,0.000257167,0.000168175,0.000406617,8.16e-06,2.85e-05
"DEL_repeats_5+_4",3.11e-06,8.47e-05,4.37e-05,9.73e-05,5.32e-05,0.000125882,0.000112898,1.5e-05
"DEL_repeats_5+_5+",3.13e-05,2.12e-05,3.82e-06,0.000585018,1.15e-05,2.08e-05,4.43e-05,9.08e-05
"INS_repeats_2_0",0.000402036,0.000331853,0.00263595,0.006349454,0.001998387,3.04e-05,0.00191671,0.023942256
"INS_repeats_2_1",7.88e-06,0.000271665,0.002242683,0.018387642,0.000208533,0.000397626,0.001661816,0.000123773
"INS_repeats_2_2",0.000221347,0.001035341,0.000955604,0.007207952,0.000790414,7.01e-05,0.000304586,0.001114199
"INS_repeats_2_3",0.000514268,0.000381326,0.000897238,0.001172292,0.000499074,0.003147039,0.000177583,0.000871483
"INS_repeats_2_4",0.0029131,0.001977423,0.000253085,6.88e-05,0.000189469,0.00182828,1.66e-05,0.002973978
"INS_repeats_2_5+",0.018121584,0.013633376,6.67e-06,0.000994122,0.000748642,0.00024477,0.001764384,0.000544275
"INS_repeats_3_0",3.06e-07,5.78e-05,9.6e-05,0.003792478,0.001219185,1e-18,0.000667863,0.006623497
"INS_repeats_3_1",0.000254695,0.00122705,0.000286144,0.006122761,0.000288615,5.51e-06,0.000671723,0.0025232
"INS_repeats_3_2",4.41e-05,0.000210075,9.75e-05,0.001143468,0.000746533,5.47e-05,0.000135768,0.000204501
