Sample Names	MutationType	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID10	ID14
Eso-AdenoCA::S.1	1:Del:C:0	0.0018582851674632719	0.04035586942810936	0.0	0.2958473624767708	0.4428224247507021	0.0	0.0	0.0	0.21911605817695443
Eso-AdenoCA::S.1	1:Del:C:1	0.01781002939686227	0.000366251043078351	0.0	0.7535895498551276	0.15792593382240624	0.0	0.0	0.0	0.07030823588252547
Eso-AdenoCA::S.1	1:Del:C:2	7.956224679146051e-17	5.380648549197858e-05	0.0	0.7329767906701009	0.24118469164114137	0.0	0.0	0.0	0.025784711203265597
Eso-AdenoCA::S.1	1:Del:C:3	0.08646514248979391	0.08065063631686342	0.0	0.7358119363756148	0.06240521883366087	0.0	0.0	0.0	0.034667065984067
Eso-AdenoCA::S.1	1:Del:C:4	0.053800174290305515	0.21155693254768046	0.0	0.2510523334878861	0.23586061096865066	0.0	0.0	0.0	0.24772994870547743
Eso-AdenoCA::S.1	1:Del:C:5	0.15150832803688166	0.4729316677811986	0.0	0.1341385875622659	0.0742311881001863	0.0	0.0	0.0	0.16719022851946755
Eso-AdenoCA::S.1	1:Del:T:0	0.008331338611128628	0.036146134180026886	0.0	0.7390550869302137	0.03398731040555128	0.0	0.0	0.0	0.1824801298730795
Eso-AdenoCA::S.1	1:Del:T:1	2.6730446933585872e-17	2.2959927581043726e-17	0.0	0.9823623984357073	0.0068351368286547224	0.0	0.0	0.0	0.010802464735637897
Eso-AdenoCA::S.1	1:Del:T:2	0.005559339090588851	0.030066577993080858	0.0	0.7768029471195946	0.08644949144405394	0.0	0.0	0.0	0.10112164435268169
Eso-AdenoCA::S.1	1:Del:T:3	0.013225163981183303	0.08389759171297621	0.0	0.5875460016543552	0.16002110747774456	0.0	0.0	0.0	0.1553101351737406
Eso-AdenoCA::S.1	1:Del:T:4	0.030399256380340835	0.24024896156481837	0.0	0.42443087587371053	0.1565683730899896	0.0	0.0	0.0	0.14835253309114063
Eso-AdenoCA::S.1	1:Del:T:5	4.783125465629829e-18	0.8473741457372173	0.0	0.05071474496203296	0.014355799811688729	0.0	0.0	0.0	0.08755530948906116
Eso-AdenoCA::S.1	1:Ins:C:0	4.621893536980017e-18	3.969942633582428e-18	0.0	0.0008681061301615765	0.0036394023258573688	0.0	0.0	0.0	0.9954924915439811
Eso-AdenoCA::S.1	1:Ins:C:1	1.3877842615064015e-16	0.006851170148431308	0.0	0.059746046170042644	0.09286411850271731	0.0	0.0	0.0	0.8405386651788086
Eso-AdenoCA::S.1	1:Ins:C:2	6.6553143780308e-16	0.003791727029709958	0.0	0.7265418284216263	0.06181774143356945	0.0	0.0	0.0	0.20784870311509362
Eso-AdenoCA::S.1	1:Ins:C:3	0.1842627170057172	0.06741995191161639	0.0	0.15054344004962827	0.06315645083963102	0.0	0.0	0.0	0.5346174401934072
Eso-AdenoCA::S.1	1:Ins:C:4	0.2553039110066932	0.2996781830024196	0.0	0.03239057267100832	0.06725147490376569	0.0	0.0	0.0	0.3453758584161132
Eso-AdenoCA::S.1	1:Ins:C:5	0.690407285551366	0.18443531524376952	0.0	0.014124526662173231	0.008801295933228708	0.0	0.0	0.0	0.10223157660946261
Eso-AdenoCA::S.1	1:Ins:T:0	0.0327709167837446	0.013721481852537298	0.0	0.10466390904541678	0.11462798216023701	0.0	0.0	0.0	0.7342157101580643
Eso-AdenoCA::S.1	1:Ins:T:1	0.001853461980257727	1.3075879904772241e-16	0.0	0.7098889627661382	0.059806248849852736	0.0	0.0	0.0	0.22845132640375115
Eso-AdenoCA::S.1	1:Ins:T:2	0.00501711332013698	0.012114963548868358	0.0	0.8864326162032509	0.024004617038518174	0.0	0.0	0.0	0.07243068988922552
Eso-AdenoCA::S.1	1:Ins:T:3	0.1432212170952825	0.026307654139929918	0.0	0.7290769672146711	0.03923078269645763	0.0	0.0	0.0	0.06216337885365886
Eso-AdenoCA::S.1	1:Ins:T:4	0.40339430271959315	0.06081950001078649	0.0	0.3130356731572259	0.04084732673995025	0.0	0.0	0.0	0.1819031973724442
Eso-AdenoCA::S.1	1:Ins:T:5	0.6971305900172226	0.0017643310770016813	0.0	0.0012911818765795231	0.014063170762538095	0.0	0.0	0.0	0.28575072626665815
Eso-AdenoCA::S.1	2:Del:R:0	0.018933205376396815	0.003253897440483466	0.0	0.8876703614408374	0.0614778977049604	0.0	0.0	0.0	0.02866463803732175
Eso-AdenoCA::S.1	2:Del:R:1	0.026888742061766297	0.056617336633921725	0.0	0.6206946804525206	0.06756112067273537	0.0	0.0	0.0	0.22823812017905595
Eso-AdenoCA::S.1	2:Del:R:2	0.03405247893871523	0.09589258313766613	0.0	0.37680090777069486	0.18789385577829656	0.0	0.0	0.0	0.3053601743746273
Eso-AdenoCA::S.1	2:Del:R:3	0.15889720171770824	0.19807913829319704	0.0	0.1690282563344008	0.24450537952449317	0.0	0.0	0.0	0.2294900241302008
Eso-AdenoCA::S.1	2:Del:R:4	0.027621972675857413	0.32113847541457397	0.0	0.5032024967134942	0.14691787156744268	0.0	0.0	0.0	0.0011191836286317074
Eso-AdenoCA::S.1	2:Del:R:5	1.329100326269903e-16	1.349714281470567e-16	0.0	0.9864302868098408	0.010816553544764908	0.0	0.0	0.0	0.002753159645394069
Eso-AdenoCA::S.1	3:Del:R:0	0.005592478590969067	0.0003929587019841536	0.0	0.8581046456612923	0.05733278433728528	0.0	0.0	0.0	0.0785771327084692
