,ID1,ID2,ID4,ID5,ID6,ID8,ID9
Ovary-AdenoCA::S.73,64.0,0.0,0.0,0.0,215.0,434.0,39.0
Ovary-AdenoCA::S.74,0.0,0.0,0.0,123.0,483.0,129.0,0.0
Ovary-AdenoCA::S.75,40.0,14.0,32.0,274.0,178.0,152.0,134.0
Ovary-AdenoCA::S.76,0.0,0.0,0.0,0.0,0.0,474.0,28.0
Ovary-AdenoCA::S.77,122.0,0.0,73.0,0.0,469.0,190.0,56.0
Ovary-AdenoCA::S.78,99.0,110.0,83.0,0.0,164.0,486.0,261.0
Ovary-AdenoCA::S.79,0.0,0.0,0.0,0.0,0.0,265.0,116.0
Ovary-AdenoCA::S.80,26.0,69.0,22.0,99.0,0.0,253.0,208.0
Ovary-AdenoCA::S.81,25.0,0.0,0.0,0.0,0.0,20.0,114.0
Ovary-AdenoCA::S.82,0.0,0.0,102.0,178.0,23.0,74.0,0.0
Ovary-AdenoCA::S.83,34.0,17.0,91.0,0.0,186.0,131.0,30.0
Ovary-AdenoCA::S.84,79.0,0.0,109.0,71.0,234.0,81.0,66.0
Ovary-AdenoCA::S.85,47.0,0.0,0.0,0.0,510.0,0.0,123.0
Ovary-AdenoCA::S.86,77.0,0.0,0.0,0.0,213.0,140.0,152.0
Ovary-AdenoCA::S.87,0.0,0.0,0.0,150.0,526.0,0.0,0.0
Ovary-AdenoCA::S.88,32.0,0.0,0.0,89.0,0.0,0.0,0.0
Ovary-AdenoCA::S.89,194.0,56.0,0.0,0.0,104.0,0.0,0.0
Ovary-AdenoCA::S.90,235.0,94.0,0.0,0.0,0.0,198.0,0.0
Ovary-AdenoCA::S.91,25.0,20.0,75.0,0.0,0.0,0.0,8.0
Ovary-AdenoCA::S.92,22.0,56.0,0.0,0.0,50.0,318.0,0.0
Ovary-AdenoCA::S.93,118.0,0.0,0.0,0.0,0.0,30.0,324.0
Ovary-AdenoCA::S.94,0.0,104.0,76.0,0.0,302.0,179.0,101.0
Ovary-AdenoCA::S.95,114.0,10.0,0.0,96.0,455.0,0.0,56.0
Ovary-AdenoCA::S.96,14.0,155.0,0.0,0.0,130.0,33.0,49.0
Ovary-AdenoCA::S.97,46.0,0.0,0.0,0.0,69.0,1032.0,245.0
Ovary-AdenoCA::S.98,52.0,127.0,0.0,82.0,1505.0,81.0,47.0
Ovary-AdenoCA::S.99,71.0,12.0,0.0,0.0,403.0,286.0,42.0
