Sample,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.38,0.0,0.0,0.0,41043.35579575587,27297.10443420376,10824.548912940965,2475.578937566276,0.0,1319.8699352344559,0.0,0.0,0.0
Skin-Melanoma::S.39,3187.0680006468697,5045.621972400108,5559.337354690117,86833.39972216389,0.0,13263.976275675834,4856.740823131356,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.40,0.0,0.0,0.0,11331.32860824407,69632.18208725982,0.0,1347.3754223773446,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.41,962.2179267968303,0.0,0.0,49270.35394107655,31994.055654419764,0.0,7958.354613465299,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.42,2096.5888274555305,0.0,6419.071717839036,21633.84124063828,51940.60972534533,1578.7907092667203,5412.879624279278,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.43,0.0,0.0,3325.078498102535,0.0,460.7145787866799,6986.96412048592,235.85958751413656,0.0,0.0,0.0,132.36158772304154,3297.640735332237
Skin-Melanoma::S.44,0.0,0.0,0.0,169037.11696905608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.45,0.0,20460.90129290243,27178.861073754626,114768.55657765018,60744.94716839698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.46,0.0,0.0,0.0,0.0,57940.15445485517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.47,0.0,0.0,0.0,116395.85057856677,32139.34779642587,11596.793978240099,2137.284325875613,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.48,0.0,0.0,8807.8932076901,32320.841090919876,14585.59153402185,4343.825795015157,1656.9108271706853,0.0,617.7640034699135,0.0,0.0,6418.6234744284
Skin-Melanoma::S.49,1031.2212624062327,7222.582082794976,6307.789750952913,12143.496071648759,2085.625013651099,0.0,0.0,0.0,0.0,0.0,2648.455335137982,10836.497934988782
Skin-Melanoma::S.50,0.0,362.6781302378283,0.0,19360.60850012734,0.0,6854.11146267303,2646.665823879266,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.51,3286.2679608114145,0.0,0.0,134600.17065937194,73740.146047012,0.0,9204.640366999076,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.52,0.0,0.0,0.0,31212.16826998501,70015.55882081533,0.0,17330.856023222266,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.53,0.0,0.0,0.0,88431.60183294017,74411.09610380618,6453.442837378869,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.54,635.2921678873215,0.0,2463.2942421294724,2834.098118450429,33173.52759163439,0.0,5342.52184763486,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.55,0.0,9495.741786058377,15050.584526793935,121886.5270302487,27820.437679301216,1509.3241701137226,4555.890081721813,0.0,0.0,1099.3045329768265,0.0,0.0
Skin-Melanoma::S.56,822.0489693651621,0.0,0.0,53351.36802215489,0.0,2028.0798710609233,724.6232831031588,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.57,0.0,0.0,0.0,39146.52108715373,28741.793049655527,0.0,4118.211159791663,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.58,5507.677424143381,0.0,0.0,170134.14991813974,53403.46542559253,0.0,4519.401203668155,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.59,0.0,0.0,0.0,289623.9248717191,6339.429193470287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.60,0.0,0.0,0.0,95299.81534575461,7674.546761372013,1793.4644202543611,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.61,0.0,0.0,0.0,104172.07799991577,25602.994064693703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.62,1079.37705997446,14675.546803110577,5297.718922850546,30273.350288192465,15920.766606325058,11296.238244657827,1605.0563684932868,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.63,0.0,0.0,0.0,99953.8229392788,0.0,11301.784762769998,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.64,1266.9225825780816,0.0,0.0,68717.13023325341,32501.185739400255,13697.023628865103,0.0,0.0,0.0,0.0,0.0,5294.946500048334
Skin-Melanoma::S.65,0.0,0.0,0.0,67840.41256150848,5808.090795379168,3146.757990851349,3064.752590751199,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.66,0.0,18772.718689796573,0.0,86088.08820910126,33937.58072739116,7824.221406291711,2819.8695590768953,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.67,1114.6236082418404,239.3967145613123,1862.3892619090498,0.0,0.0,0.0,2165.351578100426,532.4609116502565,0.0,40.25695111842241,0.0,1553.3097263103175
Skin-Melanoma::S.68,150.05423593100204,0.0,6102.00166941379,0.0,14008.159974504026,805.5036296739676,0.0,344.69338748089905,0.0,0.0,0.0,0.0
Skin-Melanoma::S.69,624.3966683570583,9326.401120145289,2609.4942511447884,41226.772715373016,0.0,1970.797632005648,3444.233664590184,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.70,126.53945021315126,381.061423733176,2766.175606963126,9421.816637594886,2981.687891531878,347.2787665759684,5343.123067792494,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.71,186.37403378151444,2126.1403105123272,0.0,6065.436892993521,3738.36832138866,2601.588849653022,7650.392570036411,432.9799034674912,0.0,0.0,0.0,0.0
Skin-Melanoma::S.72,0.0,1692.991441660985,0.0,14740.226340577741,45165.34608756056,3526.0280986915905,5973.836175495864,0.0,873.4513284119679,0.0,0.0,0.0
Skin-Melanoma::S.73,120.38749508611306,438.92447482405095,286.81273229557445,1861.8343962162503,2318.8082626290675,1609.2495604461517,165.94264527133197,0.0,49.0518947090045,0.0,0.0,0.0
Skin-Melanoma::S.74,0.0,0.0,0.0,48879.73123208092,15742.234280024644,1907.6050043728942,2225.0192725274474,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.75,0.0,0.0,1441.5419951587182,0.0,27508.87965520384,0.0,1281.284313724069,0.0,0.0,0.0,495.5703214003244,0.0
Skin-Melanoma::S.76,0.0,0.0,0.0,92328.3377962615,37344.94879604819,7798.558734898057,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.77,0.0,13808.026438662975,0.0,90344.29700035606,18083.177939546687,1424.2915409869602,1987.6187486493463,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.78,1438.8665209022176,1892.8830456164637,0.0,39696.34973216945,54488.79173061567,8463.609729057556,7267.573586965603,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.79,72.53385493244127,108.67635213595393,4523.878557418105,0.0,1061.0041838627928,2722.3233831757275,600.1301975914403,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.80,0.0,40846.32031608898,0.0,147719.38375034826,0.0,33663.12937553993,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.81,1604.854389004838,6541.622809228075,11728.82517635605,7422.537738479885,31416.928938214587,0.0,3709.5410386819935,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.82,0.0,0.0,0.0,154382.11281318156,39762.58757027151,20872.530647369458,5445.091184952646,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.83,720.670041909127,5418.870333629541,3831.109836434008,73065.77775374502,7367.719402055187,4516.7101693982295,0.0,0.0,0.0,10179.787938639225,0.0,0.0
Skin-Melanoma::S.84,544.1422438027489,6576.780388509161,4735.244072495867,12772.915495645291,41184.9702921897,5192.717509691842,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.85,0.0,41530.65940486329,0.0,151457.1321416595,5356.8479784172905,0.0,6855.180638277874,0.0,0.0,0.0,0.0,14585.3504746594
Skin-Melanoma::S.86,975.1814609781203,8602.755132121607,6284.417214664918,46832.44864358698,0.0,1741.7162096019135,0.0,0.0,0.0,0.0,0.0,5498.046168331388
Skin-Melanoma::S.87,1491.675178021744,0.0,7577.855275538566,101856.13887892374,18208.57976737602,0.0,1993.320752494274,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.88,649.3766546515,0.0,10812.492914150636,2686.026888944954,29281.504382860767,4695.694711189236,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.89,0.0,18583.70917046877,8667.746002395525,34334.20872552955,8254.914093175088,6781.660195107382,0.0,0.0,0.0,0.0,0.0,3969.3502319300446
Skin-Melanoma::S.90,1048.7538982406857,7721.332444776383,0.0,43028.59753789158,60738.00235187013,10225.947000812524,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.91,0.0,0.0,0.0,60308.205265474644,34444.17726932995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.92,325.034962442654,0.0,781.3597737016943,0.0,0.0,10111.944536706515,2312.543218441661,101.28264694209916,0.0,0.0,0.0,0.0
Skin-Melanoma::S.93,0.0,3409.8623061776725,7815.474653664909,42860.36367288267,5014.3661701290985,14709.208843579452,0.0,0.0,0.0,0.0,0.0,6298.281010717588
Skin-Melanoma::S.94,0.0,0.0,0.0,152293.0410034057,6092.3865703786705,3893.39735969142,0.0,0.0,0.0,0.0,1793.4222182583926,0.0
Skin-Melanoma::S.95,0.0,3225.5184206029617,2518.336654547265,35083.036741023796,0.0,19081.856574871817,0.0,0.0,1980.8429200671808,0.0,0.0,5414.815058356582
Skin-Melanoma::S.96,3132.5513545920426,0.0,0.0,119207.83489550285,7763.48408519895,0.0,7286.497847041539,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.97,967.9675083462395,5331.902569065628,3838.4476916034137,32414.33981544297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.98,495.6113649806406,0.0,313.4728829952775,60.01529575645734,2790.046462585465,0.0,1268.14853607407,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.99,0.0,0.0,0.0,0.0,0.0,31688.56121362666,0.0,0.0,0.0,0.0,0.0,0.0
