Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS13	SBS18	SBS35	SBS39	SBS40	SBS41
Ovary-AdenoCA::S.79	638	0	3416	1165	0	0	0	0	0	0	0
Ovary-AdenoCA::S.80	202	0	2119	233	0	827	0	0	0	0	0
Ovary-AdenoCA::S.81	510	0	0	1401	0	0	0	0	0	8383	0
Ovary-AdenoCA::S.82	623	0	7618	1190	0	641	0	0	0	4619	0
Ovary-AdenoCA::S.83	277	0	12412	3939	0	0	0	0	0	0	0
Ovary-AdenoCA::S.84	880	0	6527	496	0	0	0	0	0	0	0
Ovary-AdenoCA::S.85	743	358	7483	1924	0	599	0	0	0	0	0
Ovary-AdenoCA::S.86	522	0	6619	1839	0	0	0	0	0	0	0
Ovary-AdenoCA::S.87	508	0	2873	1962	0	0	0	0	0	0	0
Ovary-AdenoCA::S.88	230	0	12892	917	0	0	0	0	0	0	0
Ovary-AdenoCA::S.89	416	707	1271	558	0	0	0	0	0	0	0
Ovary-AdenoCA::S.90	197	0	10961	4808	0	0	0	0	0	0	0
Ovary-AdenoCA::S.91	300	0	2668	129	0	0	562	0	0	0	0
Ovary-AdenoCA::S.92	606	802	8736	1234	0	344	0	0	0	0	0
Ovary-AdenoCA::S.93	331	232	0	1111	0	374	0	0	0	0	0
Ovary-AdenoCA::S.94	516	0	10049	619	0	0	0	0	0	0	0
Ovary-AdenoCA::S.95	318	182	3874	553	0	0	0	0	0	0	0
Ovary-AdenoCA::S.96	1043	0	5399	1022	0	0	0	0	0	0	0
Ovary-AdenoCA::S.97	146	718	8966	2585	0	0	0	0	0	0	0
Ovary-AdenoCA::S.98	282	166	4211	467	0	0	0	0	0	0	0
Ovary-AdenoCA::S.99	873	0	2181	461	0	593	0	0	0	0	0
