Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,cancer.type
Breast-AdenoCA::S.39,deconstruct_0.00,37.8992543288398,0.0989536666549342,1,1,1,2.90104633334507,Breast-AdenoCA
Breast-AdenoCA::S.40,deconstruct_0.00,172.839749486207,0.252689692231296,1,1,1,2.7473103077687,Breast-AdenoCA
Breast-AdenoCA::S.41,deconstruct_0.00,29.5991060578411,0.116074925717024,1,1,1,2.88392507428298,Breast-AdenoCA
Breast-AdenoCA::S.42,deconstruct_0.00,17.9248886562761,0.143399109250209,1,0.8,0.888888888888889,2.65660089074979,Breast-AdenoCA
Breast-AdenoCA::S.43,deconstruct_0.00,180.32188615807,0.441965407250171,1,0.833333333333333,0.909090909090909,2.39136792608316,Breast-AdenoCA
Breast-AdenoCA::S.44,deconstruct_0.00,23.710632789634,0.0755115693937387,1,0.8,0.888888888888889,2.72448843060626,Breast-AdenoCA
Breast-AdenoCA::S.45,deconstruct_0.00,12.1374978845238,0.0396650257664177,1,1,1,2.96033497423358,Breast-AdenoCA
Breast-AdenoCA::S.46,deconstruct_0.00,112.483318172757,0.551388814572337,1,0.833333333333333,0.909090909090909,2.281944518761,Breast-AdenoCA
Breast-AdenoCA::S.47,deconstruct_0.00,60.4303728238876,0.198132369914386,1,0.75,0.857142857142857,2.55186763008561,Breast-AdenoCA
Breast-AdenoCA::S.48,deconstruct_0.00,88.6583839560072,0.241575978081763,1,0.75,0.857142857142857,2.50842402191824,Breast-AdenoCA
Breast-AdenoCA::S.49,deconstruct_0.00,49.082450445043,0.306765315281519,1,0.666666666666667,0.8,2.35990135138515,Breast-AdenoCA
Breast-AdenoCA::S.50,deconstruct_0.00,50.5485235982572,0.128950315301677,0.666666666666667,0.5,0.571428571428571,2.03771635136499,Breast-AdenoCA
Breast-AdenoCA::S.51,deconstruct_0.00,99.2776809292702,0.0870093610247767,1,0.857142857142857,0.923076923076923,2.77013349611808,Breast-AdenoCA
Breast-AdenoCA::S.52,deconstruct_0.00,3.2189029317944,0.0894139703276223,1,1,1,2.91058602967238,Breast-AdenoCA
Breast-AdenoCA::S.53,deconstruct_0.00,120.275374780904,0.179515484747618,1,1,1,2.82048451525238,Breast-AdenoCA
Breast-AdenoCA::S.54,deconstruct_0.00,68.9693041040395,0.165791596403941,0.6,1,0.75,2.43420840359606,Breast-AdenoCA
Breast-AdenoCA::S.55,deconstruct_0.00,22,0.0756013745704467,0.5,1,0.666666666666667,2.42439862542955,Breast-AdenoCA
Breast-AdenoCA::S.56,deconstruct_0.00,96.8778344996702,0.246508484731985,1,0.75,0.857142857142857,2.50349151526801,Breast-AdenoCA
Breast-AdenoCA::S.57,deconstruct_0.00,54.9821289754496,0.151884334186325,1,0.8,0.888888888888889,2.64811566581368,Breast-AdenoCA
Breast-AdenoCA::S.58,deconstruct_0.00,56.7702589499148,0.227081035799659,0.75,1,0.857142857142857,2.52291896420034,Breast-AdenoCA
Breast-AdenoCA::S.59,deconstruct_0.00,116.695077536952,0.279174826643425,1,0.857142857142857,0.923076923076923,2.57796803049943,Breast-AdenoCA
Breast-AdenoCA::S.60,deconstruct_0.00,42.0132222951324,0.0601908628870091,1,1,1,2.93980913711299,Breast-AdenoCA
Breast-AdenoCA::S.61,deconstruct_0.00,15.0215318362832,0.202993673463286,1,0.666666666666667,0.8,2.46367299320338,Breast-AdenoCA
