Mutation type,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15
DEL_C_1_0,61.01300482046503,-59.12915206516428,-38.08258740008017,32.33472778982639,-183.9659991716406,-330.03004859467524,11.927402547313108,119.58598151663709,61.881574264312746,-38.575427112599925,-650.1041906521825,113.41635565488124,431.2243320316474,51.075583127864945,426.831129913788
DEL_C_1_1,2.2713693211400514,1.0997449516310667,12.951374324569247,3.7371359818369134,-0.8231420184948408,4.191617267507182,-4.027960115335333,-0.5673001687085382,-14.038819323606901,2.238202203431995,-16.773363656593347,4.4050426652815045,-3.748642558893202,1.23990341523725,-36.25174997484862
DEL_C_1_2,-0.08814397208144922,-0.05592675070912131,0.8783468843994813,-0.1777152532347149,-0.2565598044126224,-0.3952068008168626,-0.025523027351688484,-0.0690823817722732,-0.19301621029192542,-0.24792720123649303,0.31813871457091225,0.8912040954374498,-0.19881796782793665,-0.10823672776023777,-0.23574643472393314
DEL_C_1_3,48.88711382000905,-11.822594107083475,-48.94258294766638,-41.262254776675604,-13.934191335414141,-186.1418801723944,15.166276994810211,8.102601447425513,-41.65581822150864,-129.07230994337775,-460.6010188474103,196.76447691405036,84.67726848638668,245.6564444200001,-130.44930350129903
DEL_C_1_4,207.11564279730462,-28.858099043857223,-39.207042391325956,-7.39982847595428,102.81832534270785,-268.12962887055284,1.9709324090225024,226.779162734103,-166.6275665041013,-218.47564788306238,-200.4255443757479,127.02128406385333,-23.480712400474204,348.2111955914815,-85.09360297167046
DEL_C_1_5+,-193.81860806521934,-137.94337809016736,49.996098864640544,785.8283674299903,56.29893156027424,-1358.2716918398692,-58.34317425869111,-81.12605222359366,-532.6200157655373,-362.13220810439566,-1267.9349353257103,237.2790389684028,1089.483767193276,284.5974443780119,-415.0266720521222
DEL_T_1_0,-126.41894542977025,-91.6765152748689,-89.17612241895984,239.22805474114267,454.796433873684,-338.65965602150743,35.55212321474302,221.08161510732165,-158.5819210933845,-243.25852844079486,-1187.2876361667306,415.4701704953487,-9.116820220010595,199.3874085220673,175.46941082741455
DEL_T_1_1,-1.3806371051193316e-13,-1.2025440652069848e-13,-2.451607537313713e-13,-2.2571551455856074e-13,-3.2585570013821815e-13,-5.019507598799381e-13,-1.0450533915562235e-13,-1.1374292222022073e-13,-3.635406628196445e-13,-3.148914613775394e-13,-1.019769861713328e-12,-1.7593103879216745e-13,-3.2242098100637013e-13,-1.5882799317636539e-13,-5.372394309362963e-13
DEL_T_1_2,365.1854308652622,-17.46076438401684,41.111903999300694,384.91678240022304,-475.4701047734584,-465.1608511222465,7.8587475545818535,301.3438697762962,-140.1967190948693,16.061279270070145,-699.2162121842391,234.16774289678602,-74.60509552258299,493.07068920543554,-265.66236322983445
DEL_T_1_3,532.3927802524732,-248.0199012625842,312.6068622508981,-10.277323596262022,137.73257028306102,-426.3530695760146,198.93677131912477,420.49092818624797,-511.94838788150764,-995.1007073085914,-3575.0630207694085,1247.9522906867048,-139.06446620482006,374.9607546718818,-180.8022635643988
