Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10
DEL_C_1_0,388.98360340534174,481.5876904226073,195.16527014896582,516.7959591963582,645.3491840543352,329.5302533023668,415.2092157701077,291.9979072796945,527.825984373849,118.37359473374313
DEL_C_1_1,14.10178079010178,19.71761023917319,97.97888404754104,15.610334896935814,217.74718530647854,15.623337006724821,171.7778795902667,9.796874016395943,30.087938796183476,18.968803577264733
DEL_C_1_2,0.24912580775876544,0.30813312841977686,109.24166153708407,0.33140046737453666,201.14018572615484,41.21910737516281,149.45718587064226,0.18711622967513508,0.33658695684152745,27.0841994570564
DEL_C_1_3,228.43613047007372,288.1551724878892,229.3473005158283,296.1130572965414,351.70913582108926,403.9834152676807,252.55013345982434,169.61618204669296,335.84854310725154,237.09104419253592
DEL_C_1_4,320.2169997683589,398.1398372784184,410.1542027386321,423.0960551843221,403.62930166229535,822.5550087368529,256.1229273564964,239.78675036322386,442.70825060479996,469.71779819700726
DEL_C_1_5+,1224.4912586902053,1524.436150358948,1050.9404318917677,1615.1657553632192,1466.9250387228294,2250.229114508118,933.2335348237326,916.2417076879292,1702.4556390243404,1217.2689186202178
DEL_T_1_0,654.2150618742953,813.029580320156,543.0200345299402,864.932990358609,1549.1580533337553,568.3450865438555,1059.6939899725555,490.0274795072822,902.6037183414487,225.03415030396758
DEL_T_1_1,3.691816642411761e-13,4.663631884181261e-13,366.3824694407673,4.776319059924279e-13,801.1534721988794,37.03819444730035,595.4679133818636,2.738878751892132e-13,5.4601298428849e-13,24.395264176856475
DEL_T_1_2,578.5794721579256,718.3754295084087,554.152818445998,765.8455332316868,1558.5514687723003,491.46374986026626,1073.7093060916936,433.60374113412826,795.062493494935,188.0898890208923
DEL_T_1_3,1657.4996660576999,2056.845365103665,884.6840807239757,2195.5494377121427,2675.4697875828224,1541.316942249266,1739.7348611746731,1242.5744403644937,2272.155407911616,620.512959500456
