Mutation type,Skin-Melanoma::MSI-H.S.1
DEL_C_1_0,79.12867701614486
DEL_C_1_1,13.370297621558057
DEL_C_1_2,0.04927747849912271
DEL_C_1_3,71.27907344576784
DEL_C_1_4,72.99659463209315
DEL_C_1_5+,288.30576933771255
DEL_T_1_0,147.34608567395404
DEL_T_1_1,1.1830187278251296e-13
DEL_T_1_2,127.2535801240073
DEL_T_1_3,359.2608224686515
DEL_T_1_4,818.8423222910158
DEL_T_1_5+,12908.753967959676
INS_C_1_0,1.1830187278251296e-13
INS_C_1_1,3.597192551037491
INS_C_1_2,0.41513502787000917
INS_C_1_3,21.053918288559224
INS_C_1_4,76.19214763916005
INS_C_1_5+,551.8466690112541
INS_T_1_0,59.49264707743619
INS_T_1_1,0.6783393600778463
INS_T_1_2,13.498490178723783
INS_T_1_3,88.58175138382478
INS_T_1_4,335.5004286599816
INS_T_1_5+,15045.58870112261
DEL_repeats_2_0,14.143221192670453
DEL_repeats_2_1,77.08325542028794
DEL_repeats_2_2,37.26364528073026
DEL_repeats_2_3,18.892694520422012
DEL_repeats_2_4,14.893119255368045
DEL_repeats_2_5+,1.297101636247407e-13
DEL_repeats_3_0,2.35334505554804
DEL_repeats_3_1,163.62366080836648
DEL_repeats_3_2,49.233416718612645
DEL_repeats_3_3,12.628000884421596
DEL_repeats_3_4,1.1861876975035262e-13
DEL_repeats_3_5+,1.1830187278251296e-13
DEL_repeats_4_0,1.8698972114426227
DEL_repeats_4_1,48.68180882954344
DEL_repeats_4_2,8.662747514835715
DEL_repeats_4_3,0.11519204780977181
DEL_repeats_4_4,1.1830187278251296e-13
DEL_repeats_4_5+,3.8204138838635546
DEL_repeats_5+_0,0.7505758853407107
DEL_repeats_5+_1,50.38773083628039
DEL_repeats_5+_2,8.425561318377639
DEL_repeats_5+_3,2.8240079953473525
DEL_repeats_5+_4,1.394406931998026
DEL_repeats_5+_5+,0.8627599663178463
INS_repeats_2_0,12.025327792734412
INS_repeats_2_1,4.437128806828781
INS_repeats_2_2,20.13058749004823
INS_repeats_2_3,14.698336182199576
INS_repeats_2_4,80.3659723525522
INS_repeats_2_5+,521.0456664647418
INS_repeats_3_0,0.920982903165394
INS_repeats_3_1,23.729509142831013
INS_repeats_3_2,4.070908406327911
INS_repeats_3_3,2.8538198789590528
INS_repeats_3_4,3.7432967462169184
INS_repeats_3_5+,50.56435319859855
INS_repeats_4_0,0.2661934529853694
INS_repeats_4_1,31.602488935507736
INS_repeats_4_2,1.46414143539144
INS_repeats_4_3,4.7777062267835255
INS_repeats_4_4,9.331944227572347
INS_repeats_4_5+,51.61084871122812
INS_repeats_5+_0,1.1830187278251296e-13
INS_repeats_5+_1,26.44052677942709
INS_repeats_5+_2,4.377015952236221
INS_repeats_5+_3,5.538747490941985
INS_repeats_5+_4,4.441841523961054
INS_repeats_5+_5+,3.849198884777793
DEL_MH_2_1,22.943522843245532
DEL_MH_3_1,1.3872119222188095
DEL_MH_3_2,71.55309960349287
DEL_MH_4_1,3.7398138330123167
DEL_MH_4_2,11.17313311341349
DEL_MH_4_3,13.694120123175871
DEL_MH_5+_1,9.916179095221018
DEL_MH_5+_2,1.8650694205964093
DEL_MH_5+_3,0.8984029430445578
DEL_MH_5+_4,7.986752316240806
DEL_MH_5+_5+,48.705204243946156
