Sample Names	MutationType	ID1	ID2	ID5	ID14
ColoRect-AdenoCA::MSI-H.S.1	5:Del:R:5	0.2912460038082766	0.7087539961917235	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Ins:R:0	0.25216332958457766	0.7478366704154223	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Ins:R:1	0.008008596525035215	0.9919914034749647	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Ins:R:2	0.05616213411951987	0.94383786588048	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Ins:R:3	0.2729181254963012	0.7270818745036989	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Ins:R:4	0.29079340621431793	0.7092065937856821	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Ins:R:5	0.2700489348187365	0.7299510651812635	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Ins:R:0	0.0014713300497400292	0.99852866995026	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Ins:R:1	0.054616296680363045	0.945383703319637	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Ins:R:2	0.05520252211583897	0.944797477884161	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Ins:R:3	0.93888833741016	0.06111166258984002	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Ins:R:4	0.14856356145038344	0.8514364385496165	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Ins:R:5	0.1571005994702586	0.8428994005297414	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	4:Ins:R:0	5.483712656696557e-14	0.9999999999999449	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	4:Ins:R:1	0.14684259741377953	0.8531574025862205	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	4:Ins:R:2	0.6326819095638483	0.36731809043615177	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	4:Ins:R:3	0.24631699825873254	0.7536830017412675	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	4:Ins:R:4	0.2629447386496257	0.7370552613503742	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	4:Ins:R:5	0.11272968007687167	0.8872703199231283	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	5:Ins:R:0	0.18912212068224077	0.8108778793177593	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	5:Ins:R:1	0.7475282498396972	0.25247175016030265	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	5:Ins:R:2	0.9276715082519514	0.0723284917480486	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	5:Ins:R:3	0.4031320985821263	0.5968679014178736	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	5:Ins:R:4	0.9713464021087925	0.028653597891207583	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	5:Ins:R:5	0.22387313490756355	0.7761268650924364	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	2:Del:M:1	0.6550599729213252	0.34494002707867477	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Del:M:1	0.9766077009384984	0.023392299061501694	0.0	0.0
ColoRect-AdenoCA::MSI-H.S.1	3:Del:M:2	0.12271356193786369	0.8772864380621362	0.0	0.0
