Mutation type,Kidney-RCC::MSI-H.S.1
DEL_C_1_0,-42.86163204796503
DEL_C_1_1,-9.449615579715417
DEL_C_1_2,-5.218862922019822
DEL_C_1_3,-9.858059030699437
DEL_C_1_4,-17.88392320342009
DEL_C_1_5+,8.11355774264328
DEL_T_1_0,-69.82810294993314
DEL_T_1_1,-22.323023578321028
DEL_T_1_2,-42.39680086616053
DEL_T_1_3,58.87284398859123
DEL_T_1_4,226.64923197371962
DEL_T_1_5+,-13.596385626481606
INS_C_1_0,-0.12863978413475993
INS_C_1_1,-1.4330500210285115
INS_C_1_2,-0.8588105381873234
INS_C_1_3,0.7201455634097194
INS_C_1_4,13.598315299985565
INS_C_1_5+,70.12189474689549
INS_T_1_0,-14.985625831880363
INS_T_1_1,-3.28136450493305
INS_T_1_2,-12.546962044922651
INS_T_1_3,-6.221479136315395
INS_T_1_4,29.549831336963365
INS_T_1_5+,-2.6691112305506977
DEL_repeats_2_0,-6.049335998327271
DEL_repeats_2_1,3.596094310059435
DEL_repeats_2_2,5.6053599237728875
DEL_repeats_2_3,0.28805356606065047
DEL_repeats_2_4,4.175345170367857
DEL_repeats_2_5+,-3.962644731516345
DEL_repeats_3_0,-3.935506715139708
DEL_repeats_3_1,-25.444149209852014
DEL_repeats_3_2,-1.9826897994664314
DEL_repeats_3_3,-3.3310627909369073
DEL_repeats_3_4,-1.0852415792568724
DEL_repeats_3_5+,-1.5504892950523532
DEL_repeats_4_0,-1.5874404243642863
DEL_repeats_4_1,-9.385819025864674
DEL_repeats_4_2,-0.3179597822286304
DEL_repeats_4_3,-0.7918303705290594
DEL_repeats_4_4,-0.8436949253967142
DEL_repeats_4_5+,2.5821933928529366
DEL_repeats_5+_0,-2.119291506824572
DEL_repeats_5+_1,7.528753251373061
DEL_repeats_5+_2,2.6224622829860644
DEL_repeats_5+_3,0.3639562947233843
DEL_repeats_5+_4,-0.8432982426996951
DEL_repeats_5+_5+,-0.4259638156706725
INS_repeats_2_0,-0.9003914775854724
INS_repeats_2_1,-6.165070885371012
INS_repeats_2_2,5.878354690536913
INS_repeats_2_3,-3.751510052641767
INS_repeats_2_4,1.5433262624226387
INS_repeats_2_5+,-36.11753433210535
INS_repeats_3_0,0.7110940559862371
INS_repeats_3_1,4.12209102879093
INS_repeats_3_2,-0.40343145141713643
INS_repeats_3_3,-0.6331319772112722
INS_repeats_3_4,0.31439923491345767
INS_repeats_3_5+,11.599181428271418
INS_repeats_4_0,-0.642061027492828
INS_repeats_4_1,-6.944298602416351
INS_repeats_4_2,-0.4675451008252591
INS_repeats_4_3,-0.8596853357218273
INS_repeats_4_4,-2.5433491658000253
INS_repeats_4_5+,-5.768824144220449
INS_repeats_5+_0,-1.0067077255518646
INS_repeats_5+_1,1.4802811548143682
INS_repeats_5+_2,1.9524400467903607
INS_repeats_5+_3,-1.8249051020126474
INS_repeats_5+_4,-0.9880182808135762
INS_repeats_5+_5+,-1.657307377952197
DEL_MH_2_1,-3.534320534163628
DEL_MH_3_1,-2.9282497426772105
DEL_MH_3_2,29.61061168910311
DEL_MH_4_1,1.5191931088644068
DEL_MH_4_2,0.755359100977139
DEL_MH_4_3,-0.09068617784473254
DEL_MH_5+_1,-6.564350206451671
DEL_MH_5+_2,-6.042424329020033
DEL_MH_5+_3,-4.85557074551154
DEL_MH_5+_4,-1.711275133978707
DEL_MH_5+_5+,4.331333497724394
