Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.27,0.0,0.0,0.0,65868.55534287133,0.0,0.0,4071.8242346657134,0.0,0.0,8385.155991643222,0.0,0.0
Lung-AdenoCA::S.28,0.0,5401.490167143318,0.0,54442.19414420392,6282.573992199254,0.0,0.0,1261.0808691404793,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.29,822.2099798113932,88.34088444366941,0.0,0.0,2669.8302110657946,0.0,0.0,1121.2596495047003,0.0,0.0,0.0,4403.22973949755
Lung-AdenoCA::S.30,0.0,0.0,0.0,22051.345500701595,11858.04471879969,0.0,2284.562951314623,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.31,559.2796225693718,0.0,0.0,29363.87780669459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.32,573.8903656878713,2425.384002177848,0.0,0.0,18053.528116045563,0.0,5699.137517793272,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.33,338.0883550362237,3325.768137819455,0.0,0.0,10697.098116766914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.34,415.31681910355377,0.0,0.0,0.0,16363.418275682678,0.0,0.0,0.0,0.0,0.0,0.0,14739.719326558356
Lung-AdenoCA::S.35,151.97237570980926,0.0,0.0,3734.212872415925,0.0,0.0,0.0,0.0,0.0,1256.1501769859954,0.0,0.0
Lung-AdenoCA::S.36,1032.2407583302133,0.0,0.0,0.0,4157.640286218868,0.0,6326.6075521843795,0.0,0.0,0.0,0.0,3498.987943290979
Lung-AdenoCA::S.37,0.0,0.0,0.0,0.0,18147.698802326835,0.0,1037.8778251199003,0.0,0.0,0.0,585.363598610336,28853.395541668047
Lung-AdenoCA::S.38,549.9255301564851,3263.5970836493652,0.0,31356.99526164738,0.0,0.0,0.0,0.0,0.0,2261.8238501367455,0.0,5396.643257541035
