"tool_name","cancer_type","cpu_seconds"
"fitms_0.200","Eso-AdenoCA",10.3800000000001
"fitms_0.200","Kidney-RCC",11.8219999999999
"fitms_0.200","Liver-HCC",25.2029999999999
"fitms_0.200","Lung-AdenoCA",16.8130000000001
"fitms_0.200","Ovary-AdenoCA",13.542
"fitms_0.200","Skin-Melanoma",16.3780000000001
"fitms_0.200","Stomach-AdenoCA",15.068
"mp","Breast-AdenoCA",2.69699999999976
"mp","ColoRect-AdenoCA",2.15099999999978
"mp","Eso-AdenoCA",2.07299999999979
"mp","Kidney-RCC",2.44000000000035
"mp","Liver-HCC",3.7810000000003
"mp","Lung-AdenoCA",2.45900000000009
"mp","Ovary-AdenoCA",2.36399999999958
"mp","Skin-Melanoma",2.42500000000018
"mp","Stomach-AdenoCA",2.35600000000005
"musical","Breast-AdenoCA",48.2010000000001
"musical","ColoRect-AdenoCA",93.8499999999999
"musical","Eso-AdenoCA",48.2249999999999
"musical","Kidney-RCC",95
"musical","Liver-HCC",98.7839999999999
"musical","Lung-AdenoCA",48.9320000000002
"musical","Ovary-AdenoCA",96.4720000000002
"musical","Skin-Melanoma",94.5729999999997
"musical","Stomach-AdenoCA",94.8670000000002
"mutsig","Breast-AdenoCA",11.806
"mutsig","ColoRect-AdenoCA",2.86899999999999
"mutsig","Eso-AdenoCA",6.03199999999999
"mutsig","Kidney-RCC",8.495
"mutsig","Liver-HCC",5.126
"mutsig","Lung-AdenoCA",1.09399999999999
"mutsig","Ovary-AdenoCA",1.475
"mutsig","Skin-Melanoma",1.129
"mutsig","Stomach-AdenoCA",0.975999999999999
"pasa","Breast-AdenoCA",8859.933
"pasa","ColoRect-AdenoCA",7136.527
"pasa","Eso-AdenoCA",9618.196
"pasa","Kidney-RCC",6950.027
"pasa","Liver-HCC",7937.024
"pasa","Lung-AdenoCA",7151.338
"pasa","Ovary-AdenoCA",6925.725
"pasa","Skin-Melanoma",8788.073
"pasa","Stomach-AdenoCA",8655.98900000001
"QP_null","Breast-AdenoCA",0.0240000000000151
"QP_null","ColoRect-AdenoCA",0.0190000000000055
"QP_null","Eso-AdenoCA",0.00999999999999091
"QP_null","Kidney-RCC",0.0120000000000005
"QP_null","Liver-HCC",0.01400000000001
"QP_null","Lung-AdenoCA",0.0109999999999957
"QP_null","Ovary-AdenoCA",0.0109999999999957
"QP_null","Skin-Melanoma",0.0120000000000005
"QP_null","Stomach-AdenoCA",0.0120000000000005
"sigest","Breast-AdenoCA",0.0339999999999918
"sigest","ColoRect-AdenoCA",0.0109999999999957
"sigest","Eso-AdenoCA",0.00799999999999557
"sigest","Kidney-RCC",0.00800000000000978
"sigest","Liver-HCC",0.00999999999999091
"sigest","Lung-AdenoCA",0.00900000000000034
"sigest","Ovary-AdenoCA",0.00900000000000034
"sigest","Skin-Melanoma",0.00900000000000034
"sigest","Stomach-AdenoCA",0.00900000000000034
"yapsa_0.00","Breast-AdenoCA",0.04099999999994
"yapsa_0.00","ColoRect-AdenoCA",0.0299999999999727
"yapsa_0.00","Eso-AdenoCA",0.0249999999998636
"yapsa_0.00","Kidney-RCC",0.0249999999998636
"yapsa_0.00","Liver-HCC",0.0270000000000437
"yapsa_0.00","Lung-AdenoCA",0.0260000000000673
"yapsa_0.00","Ovary-AdenoCA",0.0249999999998849
"yapsa_0.00","Skin-Melanoma",0.0260000000000673
"yapsa_0.00","Stomach-AdenoCA",0.0260000000000886
"yapsa_0.01","Breast-AdenoCA",0.239999999999831
"yapsa_0.01","ColoRect-AdenoCA",0.0250000000000909
"yapsa_0.01","Eso-AdenoCA",0.0249999999998636
"yapsa_0.01","Kidney-RCC",0.0260000000000673
"yapsa_0.01","Liver-HCC",0.02800000000002
"yapsa_0.01","Lung-AdenoCA",0.0260000000000673
"yapsa_0.01","Ovary-AdenoCA",0.0260000000000673
"yapsa_0.01","Skin-Melanoma",0.0260000000000673
"yapsa_0.01","Stomach-AdenoCA",0.0259999999998399
"yapsa_0.03","Breast-AdenoCA",0.251999999999967
"yapsa_0.03","ColoRect-AdenoCA",0.0260000000000673
"yapsa_0.03","Eso-AdenoCA",0.0259999999998612
"yapsa_0.03","Kidney-RCC",0.0259999999998399
"yapsa_0.03","Liver-HCC",0.02800000000002
"yapsa_0.03","Lung-AdenoCA",0.0260000000000673
"yapsa_0.03","Ovary-AdenoCA",0.0260000000000673
"yapsa_0.03","Skin-Melanoma",0.0260000000000673
"yapsa_0.03","Stomach-AdenoCA",0.0259999999998399
"yapsa_0.06","Breast-AdenoCA",0.258999999999851
"yapsa_0.06","ColoRect-AdenoCA",0.0339999999999705
"yapsa_0.06","Eso-AdenoCA",0.0249999999998636
"yapsa_0.06","Kidney-RCC",0.0270000000000437
"yapsa_0.06","Liver-HCC",0.02800000000002
"yapsa_0.06","Lung-AdenoCA",0.0259999999998399
"yapsa_0.06","Ovary-AdenoCA",0.0259999999998399
"yapsa_0.06","Skin-Melanoma",0.0260000000000673
"yapsa_0.06","Stomach-AdenoCA",0.0260000000000673
"yapsa_0.10","Breast-AdenoCA",0.275999999999875
"yapsa_0.10","ColoRect-AdenoCA",0.0299999999999727
"yapsa_0.10","Eso-AdenoCA",0.027000000000065
"yapsa_0.10","Kidney-RCC",0.0260000000000673
"yapsa_0.10","Liver-HCC",0.0279999999997926
"yapsa_0.10","Lung-AdenoCA",0.0260000000000673
"yapsa_0.10","Ovary-AdenoCA",0.0260000000000673
"yapsa_0.10","Skin-Melanoma",0.0260000000000673
"yapsa_0.10","Stomach-AdenoCA",0.0269999999998163
"msa","Breast-AdenoCA",155520
"msa","ColoRect-AdenoCA",124560
"msa","Eso-AdenoCA",95400
"msa","Kidney-RCC",85680
"msa","Liver-HCC",286560
"msa","Lung-AdenoCA",144000
"msa","Ovary-AdenoCA",133560
"msa","Skin-Melanoma",151920
"msa","Stomach-AdenoCA",167040
"msa_opt","Breast-AdenoCA",169920
"msa_opt","ColoRect-AdenoCA",138240
"msa_opt","Eso-AdenoCA",110880
"msa_opt","Kidney-RCC",96840
"msa_opt","Liver-HCC",316800
"msa_opt","Lung-AdenoCA",155880
"msa_opt","Ovary-AdenoCA",150840
"msa_opt","Skin-Melanoma",162360
"msa_opt","Stomach-AdenoCA",181800
