Mutation type,Lung-AdenoCA::S.1,Lung-AdenoCA::S.2,Lung-AdenoCA::S.3,Lung-AdenoCA::S.4,Lung-AdenoCA::S.5,Lung-AdenoCA::S.6,Lung-AdenoCA::S.7,Lung-AdenoCA::S.8,Lung-AdenoCA::S.9,Lung-AdenoCA::S.10,Lung-AdenoCA::S.11,Lung-AdenoCA::S.12,Lung-AdenoCA::S.13,Lung-AdenoCA::S.14,Lung-AdenoCA::S.15,Lung-AdenoCA::S.16,Lung-AdenoCA::S.17,Lung-AdenoCA::S.18,Lung-AdenoCA::S.19,Lung-AdenoCA::S.20,Lung-AdenoCA::S.21,Lung-AdenoCA::S.22,Lung-AdenoCA::S.23,Lung-AdenoCA::S.24,Lung-AdenoCA::S.25,Lung-AdenoCA::S.26,Lung-AdenoCA::S.27,Lung-AdenoCA::S.28,Lung-AdenoCA::S.29,Lung-AdenoCA::S.30,Lung-AdenoCA::S.31,Lung-AdenoCA::S.32,Lung-AdenoCA::S.33,Lung-AdenoCA::S.34,Lung-AdenoCA::S.35,Lung-AdenoCA::S.36,Lung-AdenoCA::S.37,Lung-AdenoCA::S.38,Lung-AdenoCA::S.39,Lung-AdenoCA::S.40,Lung-AdenoCA::S.41,Lung-AdenoCA::S.42,Lung-AdenoCA::S.43,Lung-AdenoCA::S.44,Lung-AdenoCA::S.45,Lung-AdenoCA::S.46,Lung-AdenoCA::S.47,Lung-AdenoCA::S.48,Lung-AdenoCA::S.49,Lung-AdenoCA::S.50,Lung-AdenoCA::S.51,Lung-AdenoCA::S.52,Lung-AdenoCA::S.53,Lung-AdenoCA::S.54,Lung-AdenoCA::S.55,Lung-AdenoCA::S.56,Lung-AdenoCA::S.57,Lung-AdenoCA::S.58,Lung-AdenoCA::S.59,Lung-AdenoCA::S.60,Lung-AdenoCA::S.61,Lung-AdenoCA::S.62,Lung-AdenoCA::S.63,Lung-AdenoCA::S.64,Lung-AdenoCA::S.65,Lung-AdenoCA::S.66,Lung-AdenoCA::S.67,Lung-AdenoCA::S.68,Lung-AdenoCA::S.69,Lung-AdenoCA::S.70,Lung-AdenoCA::S.71,Lung-AdenoCA::S.72,Lung-AdenoCA::S.73,Lung-AdenoCA::S.74,Lung-AdenoCA::S.75,Lung-AdenoCA::S.76,Lung-AdenoCA::S.77,Lung-AdenoCA::S.78,Lung-AdenoCA::S.79,Lung-AdenoCA::S.80,Lung-AdenoCA::S.81,Lung-AdenoCA::S.82,Lung-AdenoCA::S.83,Lung-AdenoCA::S.84,Lung-AdenoCA::S.85,Lung-AdenoCA::S.86,Lung-AdenoCA::S.87,Lung-AdenoCA::S.88,Lung-AdenoCA::S.89,Lung-AdenoCA::S.90,Lung-AdenoCA::S.91,Lung-AdenoCA::S.92,Lung-AdenoCA::S.93,Lung-AdenoCA::S.94,Lung-AdenoCA::S.95,Lung-AdenoCA::S.96,Lung-AdenoCA::S.97,Lung-AdenoCA::S.98,Lung-AdenoCA::S.99,Lung-AdenoCA::S.100
CT>GC,0.019409466636865894,0.04288695073918174,0.2096626365826954,0.7598928884928058,0.6739983901838619,0.07798435429131695,3.4427015526209566,0.5255644312345236,0.05323788086981594,0.8667266220941398,0.24715156253561205,0.11600667064435762,0.21547890099367514,0.9493030579481821,0.3684245113314659,0.07694486252380037,5.2722003889475975,0.21802800476798637,0.10344112285318043,0.05451103385349474,0.09200307517206296,0.34465675176167887,0.29693754632388125,0.07127924190446609,0.05842360308537318,0.44801515217597054,0.34783483075069077,1.1629670479836576,2.6707737586267215,0.009533690436873526,0.6097464949505426,0.3506636049636642,0.1851202541550694,0.041118577250358994,0.6254380463322915,0.22242973872803823,0.9165001242269252,0.011992980258015193,0.2768422452313456,0.16921708787910023,0.003866228269054111,0.012471147955607702,0.3095447562965671,0.05370749850643012,0.7254408010409437,0.014831558852056741,0.33049710960172096,1.070618190039263,0.6830881556901126,0.07313045462656184,0.022102457216690578,0.2321332940589661,0.13260287785359648,2.961388572157573,0.012656415819689792,0.14676030778615173,0.09511033428761477,0.15084785516167776,0.7440020231693626,1.030225503156812,0.06665297806866213,0.06308417458535164,0.21674961297656362,0.2529742581730542,0.16295523731434602,0.40171650563831274,0.23516484447371158,0.03637860148005838,0.05775181296194232,0.04258401426435597,0.5080712536750549,0.7162162607413463,0.021627663528904707,0.3889202755900533,0.4315808750115066,0.09025823027150982,0.6778210435805322,0.14644734969222895,0.0756036366599344,0.3600556645527554,1.6758514291352165,1.1168539336007646,0.981416727290349,0.15363658443568287,2.466464181471746,0.24403370476215924,0.2901986767709604,1.1057572209769617,0.051087875442205395,0.12988229361887368,0.702747383037523,0.2058740907096966,0.1319772709544491,1.7320384585217967,0.7473835788694414,1.5183874930809496,4.511534601443819,0.6519813783454379,0.21725318089312218,0.5570631754065566
CT>GG,0.04112163310144497,0.08180269517036946,0.14047590626679535,1.5549008403576805,0.6627733572476442,0.06781088452279149,13.097654359633825,1.46067650495247,0.07567942208344833,0.5807148555828167,0.16559383349522458,0.31049285381632513,0.4240283482288072,2.6187861746502628,0.24684783118128775,0.05155376976928158,0.6562214006695241,0.2059169945605241,0.06930650932801803,0.03930509378315087,0.02061980256769099,0.22798783185818194,0.9051345324326856,0.18676194226685414,0.0391443545905819,1.3139329876091181,0.23305255470060007,4.023231265665871,9.984686329012762,0.006387660796484634,2.199557504746489,0.23217269032154564,0.2120586338336744,0.14644411999712081,0.41904927746918386,0.1490299828228268,1.158287410691806,0.03669644357368182,0.34030372065092174,0.11158528820939663,0.0025904087098297304,0.008355784510800516,1.0236796516003415,0.05212095831836587,0.342837879821014,0.02101264156913027,1.1676463631893488,0.20080711645154964,2.534234797779362,0.07959213976322155,0.04379349986485483,0.31826318840117207,0.2300173346584158,0.7512243790490472,0.011814716036866034,0.3397183914103051,0.06372480391431495,0.10106945857222865,0.4984882388800008,0.6406260688769909,0.0446581119659016,0.04226698061423416,0.145224246017962,0.9425492151003737,0.6074261398735338,0.2659634276976071,0.17442587407008367,0.02437399955911632,0.038694248992616614,0.06696927307226175,0.33540244202704705,0.47987152098496494,0.01050421081652508,0.21011573474721493,0.28916317915684253,0.12493285557664657,0.4466397246901812,0.09812107919510966,0.05065513603174045,0.24124062641267072,3.8030927712302387,0.8140261150897793,0.3980824068583743,0.20147335735411348,1.3705557310861571,0.16350483994122048,0.19443579829611904,2.891068879327248,0.034229349200988184,0.15551046327864787,0.566030196438534,0.5929788252989581,0.4818571769912622,2.8744516109113754,2.1940388776292483,5.7491280390289266,0.935757241403651,0.43683355549154146,0.40111962107806254,0.3732374813584383
CT>TA,0.2637594087666016,0.6555595988636693,5.288518969429275,4.150615413818467,4.238607043209736,0.6228923031300683,0.1699829853549253,4.35348862258362,0.4322389412231775,21.862265289439442,6.234137603617017,1.1790056409720602,3.1891616188644942,8.020662541298444,9.293119884098521,1.9408530374783606,5.256194793855058,1.078493138476484,2.6091932704105845,0.49256408261925433,0.4988815743420216,4.2195299061845075,2.0896792295529014,0.681524905750534,1.473673794317362,3.15865834509292,8.773766898269924,3.2800144335441717,1.5469635554017818,0.24047729030721102,0.9955357272610804,4.615238584863771,1.3288868982549864,0.08226754651618816,15.776015346093896,5.610555661234665,5.864556200255967,0.16210848546710885,1.0599393909866142,1.5373940808378315,0.09752153208743894,0.3145715593811912,1.3744219779616973,1.321245976084918,2.771332277246117,0.3511387109875055,0.7369082203726385,2.6700600557416507,0.5521920517897523,0.6743294198462841,0.32471958269822787,1.3067652915889185,0.7589226107664878,8.572582581191346,0.3123279399579495,1.7631577341446427,2.3990579116390123,3.804978113997906,18.76666666486862,1.9264567554466179,1.6812511023920158,1.591231796962702,5.467280477467866,0.1721877079013886,0.10869847660303955,5.270184017605974,1.565611656860467,0.9176118699275938,1.4567285966934729,0.3214286108320327,5.179379500370054,18.06580010096532,0.18550227251837115,0.6484080427678416,10.886172574868874,0.5048949383353716,5.655778184501272,3.69398000279616,1.9070220290595254,9.082024547023519,7.471918137266487,7.461300901504185,13.232114162822297,0.49337636391008005,4.557017041632949,6.155492928306049,7.319955677468419,2.362075201562081,1.2886377982630153,0.7625626545376251,5.754907976010594,1.9385804104326927,0.3148334714844824,4.516741559955163,5.25226343315479,0.2960903107147522,21.116366816318475,16.44554291262346,3.4274562749103037,14.051331311700364
CT>TC,0.0029908920487894046,0.0074367074452897424,0.0600698752855784,0.198723048629481,0.20193350866102075,0.03640068401708606,1.5959940932645702e-14,0.049250948161476515,0.005735250710910656,0.24832350171915543,0.07081072612713389,0.013353814378875783,0.03617419572583357,0.09074828983491208,0.10555631088375779,0.022045264578401034,0.2733744511704772,0.06590505878875258,0.029636636505522188,0.02519087125322448,0.008714156695074003,0.1480744731300338,0.023617514845124983,0.0077162595806187385,0.01673878859998157,0.03569637507793931,0.0996572171548223,0.03667575647893523,0.016104936917551434,0.002731471877338641,0.010987381544796511,0.1471031998104699,0.0737188770634129,0.0009131666336243141,0.17919256408481804,0.06372774321154286,0.3533557779893126,0.001838884985527595,0.06520998882855406,0.0785911141023632,0.0011077026108848736,0.0035730748910327375,0.015469059741480938,0.015007430523324585,0.16060292553616212,0.003988424490653754,0.008200905749992566,0.07093266533295761,0.0059005536773264,0.028631221165088608,0.0036831556427746534,0.08777065751342827,0.04092605205097614,0.4505799788126584,0.0035475906411470207,0.019983714887402335,0.02724980479186742,0.04321901123801314,0.21316200860792908,0.056456137787932854,0.019096564582300905,0.018074076342835095,0.06210034573596593,0.0018174845693040955,0.0011455090551898775,0.16870712177726227,0.11198309710142829,0.010422734778063101,0.016546315827577703,0.004271550102397748,0.22975697755429753,0.20520118492007408,0.002695655411124283,0.039372036815795014,0.12365106992898388,0.03426315521267177,0.3203466040871798,0.041958234310603686,0.021660993581501482,0.10315857521432689,0.3883188445092471,0.5341239274419378,0.16957389755692662,0.027965780259968993,0.2977709703747149,0.06991743712408537,0.08314403846960992,0.03811834234341217,0.014637049101536148,0.052369675937522904,0.31488238604002444,0.021950056282432705,0.0035100321047469175,0.08690181760506771,0.05935509773067655,0.0025165284575737056,0.3948944184894417,0.1867974223928195,0.03888518765242998,0.15960266463434333
CT>TG,0.0865098526355409,0.18147911261517757,0.610214509401674,2.3074373388343408,0.9078011754536655,0.03362243752442448,21.54092845104023,2.7131765670616703,0.15412832097163295,2.522572305237326,0.7193244916627805,0.5600282850779505,0.9257183065460709,4.879796071055895,1.0722844379809606,0.22394486829521904,1.1309597600796655,0.24660985396324264,0.30106114786415655,0.031007733067125683,0.06504389057323413,0.3542791636818965,1.5602227738120866,0.35586393772275615,0.17003950191267217,2.3862750490392286,1.0123590166511602,6.848278021089205,16.52287621901531,0.02774741521687211,3.6868368403339793,0.4071746118154177,0.25468075224148096,0.2466121110787393,1.8203117962473456,0.6473726368538614,1.3990670535200702,0.04633501314583169,0.4696334903871078,0.09646009228687971,0.011252498894838649,0.03629676491455009,1.7462742241570215,0.15301769000083,0.34233710564768005,0.04090455979874574,1.9721251125532753,0.40880608823739695,4.2051507118179625,0.10652411006276348,0.09527392344890845,0.3715117387043582,0.3282029637467907,0.8654471884037774,0.03615486392942272,0.6848587525917865,0.27681472923505257,0.4390364989780698,2.165387390724135,1.138527196663901,0.19399076046764804,0.18360390421984749,0.6308408636906979,1.5616269005402135,1.0062282842780375,0.4639918460130694,0.09506447570576207,0.10587842839664555,0.16808428429606756,0.13217638611835333,0.37132128250017993,2.084518068155658,0.022987046896303362,0.2798379437317389,1.2560984456017663,0.14160551181283446,0.31351760035625403,0.42622900819227133,0.22004128539720944,1.0479272524825594,5.699275781095864,0.4232953171320234,1.5740997510401753,0.2664395320391023,1.9117059127099885,0.7102500944186092,0.8446113530817929,4.903713685646448,0.14868916730923246,0.16925053980780272,0.5380738230616424,0.9995500624946789,0.7730551916189513,4.994032211289307,3.983074729750335,9.471132110399406,2.817073458301919,1.8975650760223493,0.9051544287460401,1.6213095372020456
GC>AA,0.3957538233542296,0.9840226115253955,7.948425561632039,14.907439794188846,2.592545326648123,6.354107785829731,1.5959940932645702e-14,6.516868787228283,0.627929695181374,32.8580816796265,9.369651308761116,9.44182117949223,4.786557331969732,12.007782988877896,13.967175320929417,2.917021945773412,2.6543043941972204,0.30320826713323434,3.921509709174379,1.51446319092477,0.6749815553104469,3.887274710481703,20.156465716472773,1.0210128554320657,2.214870840772171,4.72333226560242,13.186609235805697,4.852923681020355,2.130999800736628,0.3614274340924072,1.453846606320666,4.615973836036608,0.5579076975491478,0.12082989981619206,23.710699415553822,8.432433407254953,1.7708738915530946,5.87615956788613,0.2840484216032687,0.8124354011474619,0.14657083446879843,0.4727880599467231,9.73091744735656,8.016396504273638,7.969818311291215,4.666905288406795,1.0851410724905317,14.248942120209616,0.7807592650001498,1.5960385823951104,0.48735390775028664,2.3639707209766385,0.3448562147504472,4.223756103955598,1.7157200994486248,2.6442383885808862,3.605684944865567,5.718724935577803,28.205524814779512,2.03490233891311,2.5268509605472547,2.3915556628560113,8.217096724228467,0.24048894291591255,0.15157337038008312,5.2531661754975785,0.0437433668815692,1.3791327373033067,2.1894029086877445,0.4665422749908112,3.595136369447696,27.15215131947306,1.7356369461580667,6.77984124648235,16.36146771196385,1.7919358491026243,2.223499302370675,5.551899359368506,2.8661753375554073,13.64990774888375,27.313176471743837,0.19806174848891134,19.414095877622263,7.2908713566455505,0.796389215523583,9.251451610293282,11.001591022577427,3.208199801789103,1.9367693818642655,0.07289791470380488,2.531130613236391,28.017031506911362,9.605106824576684,5.85285201429055,7.853846437549081,0.33298619355549547,27.930789431535345,24.716971692307173,5.145274865913248,21.11857055226422
GC>AG,0.04366045848830285,0.09757195138164125,0.5085118304481169,1.4452106419182646,0.6346070568977431,0.26292280596865986,7.039266550254867,1.140058558073512,0.08472206071495306,2.1021425099047955,0.5994367690474294,0.5158966446596863,0.4886535827132822,2.0616122530137595,0.8935699068404235,0.18662062789677722,3.015902295807775,0.17641211133703544,0.2508841612555623,0.08497496628110517,0.08377652476563684,0.3770846583631967,1.2176176942930192,0.15599690749581507,0.14169951227623462,0.9634838547324975,0.8436320813359618,2.426642064853065,5.482310453719949,0.023122834158713402,1.2613433529124223,0.41669673513709443,0.1694150191369873,0.08528819736900659,1.5169257191272842,0.5394769207821101,0.8415290954957346,0.21848939634314057,0.2604589526252652,0.13034509809502567,0.009377077604628515,0.03024728858732086,0.9147461935807952,0.33480513857171823,0.712264680607401,0.1763624157926266,0.6866617356745114,1.1207970888707264,1.4045455260357362,0.11504551103746422,0.05008662255661564,0.28377994763667685,0.15622070719933362,1.818769284161633,0.07296825235712465,0.32663252854966807,0.2306788227574883,0.3658635615658774,1.8044885670877837,0.8635770866526703,0.16165888417197846,0.15300317507002764,0.5257004502094976,0.5196695377150327,0.3347154388718585,0.4756215268610088,0.13637145865495498,0.08823197842630714,0.14007016509778272,0.0688225555713832,0.44913649460781024,1.737097499499572,0.07544021823804066,0.4954292553783163,1.0467481679881474,0.13960012001747685,0.47058501156061117,0.35519065804983413,0.18336764381627876,0.8732722626652611,3.153441012852422,0.6402646862675156,1.4988037080210495,0.3912481572239803,1.7250062571217586,0.5918747752210757,0.7038424333666049,1.8664956163889261,0.12390757589550142,0.10622721768160576,0.5487024000263192,1.3039770677120996,0.5853115189799423,2.2879547133160116,1.6070361464157774,3.1079795096317033,3.852074793105751,1.581303419265923,0.49588359503555485,1.351090588281806
GC>AT,0.08366415866734217,0.20238292647988992,1.49111263703031,2.787545683686595,2.2197044672662676,0.5284684092201718,3.6157976878999727,1.593999867828331,0.14144973433639993,6.164126523065167,1.757732441818653,0.6188008296796677,0.9916564725860046,2.9170098737137033,2.6202210064328044,0.5472289137151308,2.1563865684165475,0.6571445970798087,0.7356693018316866,0.2944773216167784,0.15027980504307611,1.8042984280270433,1.2873984217667798,0.23811728914845998,0.4155064263301988,1.2257751197822495,2.473787987146118,1.9973951300637838,3.1457928426290174,0.06780324105268092,0.8728658935896139,1.8823256381352529,0.7642280794959639,0.06250600299790618,4.448091418509811,1.581911778248153,3.596564925237938,0.20888110297917278,0.682140746785339,0.80861212706211,0.02749646729428863,0.08869432636151531,0.8670797055470016,0.5424159169643649,1.7422910882434781,0.21560765865774612,0.5206221525602996,1.1974223441637126,0.8422722482654328,0.3591228276960068,0.10113888651102457,0.93048782936193,0.45938328627369523,4.313350177799524,0.1231710314216153,0.5769380711805403,0.6764210527921253,1.072824165367099,5.291313878361855,0.7903264709775606,0.4740334258588122,0.4486522322433099,1.5415149415680782,0.3041464141048038,0.19538421498841468,2.153916587775141,1.0260343810005774,0.2587232196853986,0.41072868071559177,0.10812097731081163,2.509300254262276,5.0937026007339705,0.09560785245565535,0.5610685174089385,3.0693866447512317,0.38640121780999304,3.1663533604732734,1.0415279390972931,0.5376901667675619,2.560702088839761,5.504763251428383,4.887670731267374,3.7916711472162454,0.5067657617797635,2.812491938730488,1.735558356811261,2.0638818686799247,1.4659332765556214,0.36333501243964744,0.5063833498825367,3.1878614606225186,1.382263641630987,0.4682621379242796,2.1139840809459356,2.0407470679494604,1.6479733487526211,6.443163737642224,4.636866578637509,1.0508768687497485,3.961811956635035
GC>CA,0.12612717569754367,0.2875209074737693,1.6585292566348198,2.660705355567998,1.2611860338633127,0.2901707696038564,16.7134520475338,3.076764910000512,0.22948832032011468,6.856211882465882,1.9550841483701669,0.9758564746939344,1.431908570783309,5.576495711060238,2.9144097435005527,0.6086697550096526,5.440196900950681,0.2982759049605398,0.8182675339174676,0.11457497566548643,0.21053625850761815,0.8867943246464145,2.293163136050142,0.42833989345951756,0.4621579532454912,2.5557175597765824,2.7515357656446437,6.037075090471324,13.137702068089535,0.07541593853331988,3.077351124507052,1.03471563379352,0.2997224211409541,0.209359668718055,4.947506694381826,1.7595229900706986,1.4421815102943347,0.2761807513405537,0.49036639291432893,0.21571225671261451,0.03058366908653136,0.09865259774141388,1.9383194912419224,0.6331489305977305,1.0273922270666993,0.26029108094285214,1.691946536552418,1.965454448335874,3.3791533829049736,0.20351032721653223,0.14658424331545922,0.4168411243819445,0.31650702195560154,3.161000699732444,0.14316549799836403,0.9256189505541484,0.7523671103034595,1.1932769002815429,5.885403057664922,1.8624801081406974,0.527256148117328,0.49902524782567703,1.7145905457700195,1.247510752102379,0.803324103740815,1.1783758136332034,0.11070212629425599,0.28777170722232226,0.45684377999942044,0.1843798669308822,0.8793173099417382,5.665604715643246,0.1219998012233993,0.7329380647760232,3.4140060407392454,0.19050823089612995,0.6574699906359672,1.158466849315768,0.5980600327852559,2.8482082616675655,5.928947919368189,0.5030791134167125,4.491792186122416,0.5486893863074227,3.0994122301202904,1.9304204389959971,2.2956069021459298,4.511280641767906,0.4041289256934131,0.1563072955935244,0.8754455621781828,2.1178467825680647,1.0000164104128062,5.449357804313013,4.2614060886286484,7.398230024580929,9.373678433368758,5.157476832265747,1.4694360914358877,4.4066295705542196
GC>CG,0.0052106947412502635,0.012956138752340673,0.10465298584909363,0.2757395919854153,0.28040976909156073,0.04981003920440189,1.7382875425435798e-14,0.08580438625007131,0.009614873003026467,0.4326261006513411,0.12336556192461608,0.023287839320968784,0.06302223161610039,0.15810053619675898,0.18389888536779678,0.03840698438268305,0.37977368938590084,0.08991235974345395,0.05163257766196444,0.03478630349725384,0.013805379582642356,0.21144354639467824,0.04119715854091581,0.013443170988109075,0.029162108264030394,0.06218977845609641,0.17362155801191698,0.06389604449064185,0.02805781978603872,0.004758736161300914,0.019142078785073444,0.21229098189106244,0.10118659598089556,0.001590907494517245,0.3121870452415189,0.11102567762635983,0.4823402426965361,0.0032205562085051006,0.08893222597064898,0.10851905137169086,0.0019298256424009907,0.0062249664117210975,0.026973020933836855,0.026163823228611993,0.22003858047776037,0.006960982584693962,0.01428751548631426,0.10527425791372319,0.010279870859715082,0.040138014656824414,0.006416747721396439,0.11902279121152438,0.056279199053166765,0.6220723549545658,0.006184301507663324,0.03481537828039602,0.047474269285831525,0.07529562114122602,0.3713681868716264,0.08270942854153854,0.03326979610822736,0.03148842987853302,0.10819044608687815,0.0031663988980837323,0.001995691557088134,0.2433478973403749,0.15132692595453182,0.018158358246156813,0.02882678460585803,0.007157788197595676,0.32086414322235757,0.3574989393529416,0.004434919195027564,0.053895908316714,0.2154233483919016,0.04643824889605027,0.4391128567090816,0.07309911133800487,0.03773751225527211,0.17972158025621013,0.5353889776511667,0.721750192786403,0.2867241722570191,0.03837713893295381,0.4053744433140392,0.12180928498961748,0.14485250452127355,0.06112480404580457,0.02550048398158251,0.07092445246247604,0.43264656133177165,0.038316341187042115,0.006142515885973264,0.13514518302165507,0.10340770932766143,0.0043842644221746205,0.6179613541174835,0.32543613432499024,0.06774528786321761,0.27805776729264503
