MutationType	DBS2	DBS4	DBS6	DBS7	DBS9	DBS11
GC>CG	0.00006690	0.00000098	0.00000000	0.00264885	0.00249917	0.00403973
GC>TA	0.00073616	0.01770794	0.00082918	0.00000624	0.01399534	0.00024298
TA>AT	0.00275058	0.03041364	0.00857184	0.05577585	0.01549485	0.00222985
TA>CG	0.00001890	0.00038918	0.00025906	0.00304868	0.00134955	0.00058396
TA>CT	0.00028006	0.00872391	0.02610560	0.02908740	0.01419528	0.00337977
TA>GC	0.00008220	0.00007020	0.00026406	0.00150935	0.00057881	0.00101993
TA>GG	0.00007890	0.00222100	0.00021805	0.00430813	0.00324892	0.00037497
TA>GT	0.00130028	0.00806362	0.00006250	0.02628862	0.00777741	0.00266982
TC>AA	0.00145031	0.37917005	0.04580983	0.01959152	0.00368877	0.00021698
TC>AG	0.00020004	0.00187084	0.00828178	0.00000400	0.04668447	0.04739677
TC>AT	0.00000000	0.00841377	0.00059413	0.00228901	0.05178277	0.08459423
TC>CA	0.00068214	0.08463796	0.01180253	0.00270883	0.04878377	0.00028198
TC>CG	0.00000389	0.00040018	0.00086219	0.00162929	0.00778741	0.00323978
TC>CT	0.00335071	0.00000828	0.00939202	0.00918602	0.05138290	0.02009863
TC>GA	0.00088519	0.03641633	0.00734158	0.00000000	0.01729425	0.00023498
TC>GG	0.00000987	0.00001040	0.00151032	0.00070569	0.00372876	0.00732950
TC>GT	0.00008570	0.00000000	0.00000000	0.00000000	0.00000000	0.01519896
TG>AA	0.00296063	0.00763342	0.02550547	0.02259022	0.01579474	0.00782947
TG>AC	0.00022005	0.00011805	0.01010217	0.00261887	0.00726758	0.00086594
TG>AT	0.00429091	0.00000000	0.22104743	0.00128944	0.00074575	0.01049928
TG>CA	0.00014403	0.00080436	0.01140245	0.02388965	0.02279242	0.05609617
TG>CC	0.00005940	0.00012005	0.00789169	0.00104955	0.01179607	0.00312979
TG>CT	0.00307065	0.00008210	0.27505902	0.00000000	0.00096768	0.00557962
TG>GA	0.00147031	0.00785352	0.00744160	0.00824643	0.00617794	0.00730950
