,Breast-AdenoCA::S.1,Breast-AdenoCA::S.2,Breast-AdenoCA::S.3,Breast-AdenoCA::S.4,Breast-AdenoCA::S.5,Breast-AdenoCA::S.6,Breast-AdenoCA::S.7,Breast-AdenoCA::S.8,Breast-AdenoCA::S.9,Breast-AdenoCA::S.10,Breast-AdenoCA::S.11,Breast-AdenoCA::S.12,Breast-AdenoCA::S.13,Breast-AdenoCA::S.14,Breast-AdenoCA::S.15,Breast-AdenoCA::S.16,Breast-AdenoCA::S.17,Breast-AdenoCA::S.18,Breast-AdenoCA::S.19,Breast-AdenoCA::S.20,Breast-AdenoCA::S.21,Breast-AdenoCA::S.22,Breast-AdenoCA::S.23,Breast-AdenoCA::S.24,Breast-AdenoCA::S.25,Breast-AdenoCA::S.26,Breast-AdenoCA::S.27,Breast-AdenoCA::S.28,Breast-AdenoCA::S.29,Breast-AdenoCA::S.30,Breast-AdenoCA::S.31,Breast-AdenoCA::S.32,Breast-AdenoCA::S.33,Breast-AdenoCA::S.34,Breast-AdenoCA::S.35,Breast-AdenoCA::S.36,Breast-AdenoCA::S.37,Breast-AdenoCA::S.38,Breast-AdenoCA::S.39,Breast-AdenoCA::S.40,Breast-AdenoCA::S.41,Breast-AdenoCA::S.42,Breast-AdenoCA::S.43,Breast-AdenoCA::S.44,Breast-AdenoCA::S.45,Breast-AdenoCA::S.46,Breast-AdenoCA::S.47,Breast-AdenoCA::S.48,Breast-AdenoCA::S.49,Breast-AdenoCA::S.50,Breast-AdenoCA::S.51,Breast-AdenoCA::S.52,Breast-AdenoCA::S.53,Breast-AdenoCA::S.54,Breast-AdenoCA::S.55,Breast-AdenoCA::S.56,Breast-AdenoCA::S.57,Breast-AdenoCA::S.58,Breast-AdenoCA::S.59,Breast-AdenoCA::S.60,Breast-AdenoCA::S.61,Breast-AdenoCA::S.62,Breast-AdenoCA::S.63,Breast-AdenoCA::S.64,Breast-AdenoCA::S.65,Breast-AdenoCA::S.66,Breast-AdenoCA::S.67,Breast-AdenoCA::S.68,Breast-AdenoCA::S.69,Breast-AdenoCA::S.70,Breast-AdenoCA::S.71,Breast-AdenoCA::S.72,Breast-AdenoCA::S.73,Breast-AdenoCA::S.74,Breast-AdenoCA::S.75,Breast-AdenoCA::S.76,Breast-AdenoCA::S.77,Breast-AdenoCA::S.78,Breast-AdenoCA::S.79,Breast-AdenoCA::S.80,Breast-AdenoCA::S.81,Breast-AdenoCA::S.82,Breast-AdenoCA::S.83,Breast-AdenoCA::S.84,Breast-AdenoCA::S.85,Breast-AdenoCA::S.86,Breast-AdenoCA::S.87,Breast-AdenoCA::S.88,Breast-AdenoCA::S.89,Breast-AdenoCA::S.90,Breast-AdenoCA::S.91,Breast-AdenoCA::S.92,Breast-AdenoCA::S.93,Breast-AdenoCA::S.94,Breast-AdenoCA::S.95,Breast-AdenoCA::S.96,Breast-AdenoCA::S.97,Breast-AdenoCA::S.98,Breast-AdenoCA::S.99,Breast-AdenoCA::S.100
DBS2,28.36893528054744,0.0,116.77438570038467,29.037602865860244,21.157710130425098,14.355493028920993,34.130286333041724,4.808019121783652,10.810021772842335,52.09239273800798,14.219089053181017,0.0,57.4454589538623,12.364705376681766,21.85419508073322,17.655085579379,58.852981229239845,143.59218576221346,23.808635655033765,42.599276242547596,5.617413103944119,9.035323184570956,29.062280375125795,18.49643025947845,26.896399790759478,1.6577785689765432,13.523544556180003,8.106390453295454,45.73821925457664,16.82246759532576,5.410092569678891,27.4209971444439,14.238891015492861,87.85778994314937,0.0,53.73418245514859,39.25031685278303,123.9485684595679,223.19958383103847,2.688206562544265,11.474513267773343,11.85083219051547,33.30732691248604,3.868050936002635,22.59714817513475,4.200960327614595,13.313979426761021,4.383126550059879,51.372050020290644,10.61892706993834,4.786683426932296,31.150099119445166,21.735514411514913,0.30566061611286904,45.407633274106544,15.955597027534987,0.0,2.9697193712281336,35.418596625552475,8.049198389504344,35.7294102594973,1.9984112639804914,62.18139622192297,24.263666387196665,9.97938350264502,14.49954461319898,21.502715604094462,3.0590257364958937,22.868072541462645,4.519135667864481,28.073184225978807,33.8533277181553,4.600343304809264,30.14393730976496,22.17897546354079,1.8759736877830344,21.45939611033339,2.9724962731205196,60.269261393080455,47.19655947638019,85.70499585433224,7.701512304545007,25.386735624077083,56.376249042344405,51.79990411159616,0.0,28.92391377524613,13.002460727392458,34.73973054942721,54.74699646178266,29.2162466868533,3.667358542881746,18.867172395312096,9.74439143624096,34.483604814284035,0.0,0.9269763869666319,8.57407046434073,3.5463357636014985,0.0
DBS4,67.51660155842389,36.81104799843585,27.09086046128413,44.83805932155454,31.94064490572037,60.548947911021635,46.74000093679832,10.811750243053815,47.00758560480661,13.998086580410803,62.001816754587395,13.829944554316189,15.277244350604668,11.024415356915473,107.92659964750335,4.230373233102365,26.958488175853535,4.306754005610032,23.945311520913073,12.184965592182916,34.476423063087815,0.0,38.10264840531105,9.708337822998805,21.008891749427523,67.93441847172288,34.470487361210864,37.31740009367787,8.914082410202601,6.84756031421045,43.40557580836941,2.445646956279348,18.054247995603355,57.598810557286384,32.57453546009004,54.11084500715328,34.908900362946746,13.324071695942003,8.127280666179114,41.099558753105654,0.0,53.14036301179096,11.146473592321511,11.30543971782655,40.371758108703396,10.974973365030115,38.28268579381145,59.11837184684248,55.34378244371808,26.737249069697747,10.594006997600966,41.200911124447366,22.1407690872779,22.02608399077837,19.784874715424124,6.649899561977646,7.898055450050144,5.409408460081434,16.681145518172993,74.16584269796734,49.14563244508545,0.0,37.99082387129647,6.975112436165136,2.900077861463634,34.50559326509042,0.0,5.824556674931792,98.00046969630966,24.878383728397974,9.10175577534458,41.1163491672067,35.31310681634006,19.435496386603102,8.394986655137483,19.415669257973693,12.390731204698078,59.46997859254168,55.15215592244154,15.866819157828196,52.029725702919414,95.27593213104869,40.476479409365716,97.71094887315508,0.0,15.7676098108871,27.120303934330924,34.72721877813011,16.219913715756096,0.0,21.256433254337264,12.51940243532271,14.246066683415236,31.213581483491737,12.829630162871,17.401460850877452,49.41933229985676,35.57459117329004,27.2618426686207,11.188265791776493
DBS6,3.7569127370757425,45.68706705304247,27.912442641497247,23.28329526824968,36.61259606438821,17.029692085677972,19.153610561716647,21.525684842779395,15.635569970049824,26.761710857915574,6.311116621990372,27.057404937186707,43.71231217953368,9.499949473876368,35.87752851869902,57.9527602607577,28.228142354892363,52.742980639458374,2.49140915088489,0.0,49.70032717335274,22.112431612099613,52.50198900399931,38.78913797633874,3.5756361634924194,14.890460194900097,8.781725665296845,14.88806173618464,4.528724979352412,7.473561506972676,5.759728373083925,0.0,17.56259643944075,12.655915982590994,21.176670983560797,41.40247705271182,25.395498118627362,30.34951051537576,0.0,22.59556705544421,0.0,121.75566216579486,6.156675224603609,17.20124265619193,31.855405571635604,44.484373119449195,6.714670611684757,20.34156465081727,3.4632300579904536,9.123856531699873,84.27161398475965,10.522706619660227,8.605777822798128,15.532440315536638,8.09746595554246,40.81137579423685,48.129404405006206,8.479237292528587,43.81248701175927,20.95251051061257,5.296548103239959,52.239519776278485,0.0,82.09154266702781,21.14996006531541,9.415080799104771,19.55694420964094,15.320256300909858,37.929945859437474,23.369224919936663,30.827558912403813,10.323377983939755,7.253590447623524,13.022160374940595,44.41229150827953,49.716557745621714,5.689793429174099,51.15323653727095,10.388343810254009,4.965319440641128,0.0,18.93079028343034,15.4723170079949,39.86115645292046,15.904582098328113,9.097908455392643,42.47968992621663,16.856361963696305,24.148206756227705,71.5896006346373,21.097077173019063,19.558031867457856,15.733114428159244,45.5862863070212,62.01996493879695,17.21192506093761,43.215278463172,54.85635688344556,32.059709511196445,47.26075657112226
DBS9,40.20928990289789,0.0,49.42084432714585,28.907470459554744,52.77861145779201,21.793580576125134,4.4720141594923914,53.89094456593663,47.87289960760857,62.38019033618301,38.49931322507744,46.528320447550016,51.22139947736542,31.38576404501246,24.551157118402482,17.201135005855605,27.38899073121663,0.0,3.524347421647717,50.21005221759243,48.70390944252202,140.1807048828755,56.654890739479626,46.25676100483678,67.8034192726172,36.783177880399414,16.480282759840687,40.27577014890653,131.9211754037024,39.049419128536385,0.0,17.661847815118147,16.188615649191384,43.08018571430002,53.36898822190949,93.08775324073605,52.81063578218101,0.0,0.0,0.0,29.25914818421807,33.63474326523972,29.779674751203896,15.790934895805531,5.749836708831064,32.346071724628324,15.72558527727441,9.294233531412665,41.716868613962696,63.04562195238114,0.0,37.431336757734016,62.91349540162754,28.86865775399629,24.22736277649066,83.4264717342423,29.547016537117532,21.215067236949498,31.810264450457954,53.701288365111466,66.28641630006541,49.318364416071915,20.312641306307132,55.74456401729711,12.403580501057874,38.9521399568899,9.052000668711354,22.929312777075356,18.02520682329499,38.68275243068393,0.0,34.083948351377636,36.21788138345264,26.3974615323304,24.310970483408973,42.15679214379902,72.62861205792673,5.436834773274098,43.482967825720536,59.119243355307276,0.0,23.64342275405651,47.33251945994831,24.128783645003878,9.172744829011982,0.941472332808365,25.304790838464207,30.13205683032927,23.697919727327445,62.52264731422711,65.47876336921438,39.27744214961468,56.31105400082659,23.99642055695028,23.62606470396898,76.12862527442854,0.0,0.0,22.82217021527848,49.92018938091198
DBS11,3.1713057232410327,12.510929937375066,6.635125380244766,0.0,0.0,9.536939884545136,0.0,0.0,2.6265747043023167,14.367229582507763,17.227380234625112,39.86201609913695,0.0,58.90074757422363,10.000030900843973,0.0,0.0,17.18445282721187,0.0,0.0,15.221002571101225,0.0,6.823051841006858,0.0,0.0,0.0,8.709568301293903,4.890938466846897,0.0,0.0,135.14104639114387,58.06161323157094,0.0,2.972995367177008,14.121844028062444,54.252596819367554,10.432460142282142,0.0,0.0,0.0,11.0054995046102,0.09360322298805812,0.0,38.2743877753059,83.99370293539502,11.564686118923355,0.0,32.89981108025894,17.3062242938544,0.0,15.73839092886115,0.0,10.159843937523958,218.6639247924433,0.0,0.0,0.0,16.957119043402564,0.0,0.0,0.0,0.0,0.0,8.481990677597835,25.562695348184736,39.22924760199888,0.0,22.67909550712288,20.085745831581978,2.638080350031056,5.155939771271502,0.0,21.35883505080873,0.0,19.16545851526898,37.54147508262325,0.0,5.037846754382856,0.0,5.061332661722558,16.28098866945423,0.0,0.0,0.0,0.0,85.75125486747325,3.741877461009885,0.0,0.0,0.0,24.886721147298292,32.72246042017342,26.067219700530913,26.899438065047434,0.0,16.21988997377437,38.73521710043185,0.0,22.62286978472281,0.0
