Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Kidney-RCC::S.60	222	0.918	175.659	79.126%	44.677	61.566%	0.68507	0.915
Kidney-RCC::S.61	246	0.794	174.978	71.129%	41.379	61.156%	0.8725	0.747
Kidney-RCC::S.62	8	0.964	4.041	50.512%	1.643	26.653%	0.65968	0.963
Kidney-RCC::S.63	199	0.785	162.655	81.736%	48.481	64.481%	1.96856	0.768
Kidney-RCC::S.64	333	0.865	207.944	62.446%	48.125	51.287%	1.12745	0.838
Kidney-RCC::S.65	125	0.76	91.454	73.163%	23.813	66.173%	0.49626	0.71
Kidney-RCC::S.66	148	0.788	112.902	76.285%	22.448	61.646%	1.72661	0.722
Kidney-RCC::S.67	87	0.579	78.504	90.234%	22.172	83.269%	1.10734	0.491
Kidney-RCC::S.68	119	0.909	75.887	63.771%	19.228	42.191%	0.42952	0.9
Kidney-RCC::S.69	174	0.952	106.602	61.266%	29.713	40.806%	3.49416	0.951
Kidney-RCC::S.70	99	0.8	76.33	77.101%	15.361	60.862%	2.34791	0.745
Kidney-RCC::S.71	149	0.818	91.216	61.219%	20.516	58.379%	0.58467	0.759
Kidney-RCC::S.72	140	0.737	108.35	77.393%	27.269	68.301%	1.71373	0.679
Kidney-RCC::S.73	79	0.781	69.314	87.739%	29.343	63.121%	3.67075	0.771
Kidney-RCC::S.74	259	0.821	194.437	75.072%	41.679	59.621%	0.53964	0.783
Kidney-RCC::S.75	196	0.903	131.218	66.948%	25.465	45.531%	0.41499	0.889
Kidney-RCC::S.76	39	0.665	42.171	108.131%	21.417	117.014%	0.98188	0.655
Kidney-RCC::S.77	202	0.849	145.593	72.076%	29.042	52.865%	2.04327	0.814
Kidney-RCC::S.78	124	0.837	84.535	68.173%	18.49	59.185%	0.45524	0.799
Kidney-RCC::S.79	173	0.654	167.321	96.717%	69.527	90.879%	2.91323	0.634
