Mutation type,Stomach-AdenoCA::S.1,Stomach-AdenoCA::S.2,Stomach-AdenoCA::S.3,Stomach-AdenoCA::S.4,Stomach-AdenoCA::S.5,Stomach-AdenoCA::S.6,Stomach-AdenoCA::S.7,Stomach-AdenoCA::S.8,Stomach-AdenoCA::S.9,Stomach-AdenoCA::S.10,Stomach-AdenoCA::S.11,Stomach-AdenoCA::S.12,Stomach-AdenoCA::S.13,Stomach-AdenoCA::S.14,Stomach-AdenoCA::S.15,Stomach-AdenoCA::S.16,Stomach-AdenoCA::S.17,Stomach-AdenoCA::S.18,Stomach-AdenoCA::S.19,Stomach-AdenoCA::S.20,Stomach-AdenoCA::S.21,Stomach-AdenoCA::S.22,Stomach-AdenoCA::S.23,Stomach-AdenoCA::S.24,Stomach-AdenoCA::S.25,Stomach-AdenoCA::S.26,Stomach-AdenoCA::S.27,Stomach-AdenoCA::S.28,Stomach-AdenoCA::S.29,Stomach-AdenoCA::S.30,Stomach-AdenoCA::S.31,Stomach-AdenoCA::S.32,Stomach-AdenoCA::S.33,Stomach-AdenoCA::S.34,Stomach-AdenoCA::S.35,Stomach-AdenoCA::S.36,Stomach-AdenoCA::S.37,Stomach-AdenoCA::S.38,Stomach-AdenoCA::S.39,Stomach-AdenoCA::S.40,Stomach-AdenoCA::S.41,Stomach-AdenoCA::S.42,Stomach-AdenoCA::S.43,Stomach-AdenoCA::S.44,Stomach-AdenoCA::S.45,Stomach-AdenoCA::S.46,Stomach-AdenoCA::S.47,Stomach-AdenoCA::S.48,Stomach-AdenoCA::S.49,Stomach-AdenoCA::S.50,Stomach-AdenoCA::S.51,Stomach-AdenoCA::S.52,Stomach-AdenoCA::S.53,Stomach-AdenoCA::S.54,Stomach-AdenoCA::S.55,Stomach-AdenoCA::S.56,Stomach-AdenoCA::S.57,Stomach-AdenoCA::S.58,Stomach-AdenoCA::S.59,Stomach-AdenoCA::S.60,Stomach-AdenoCA::S.61,Stomach-AdenoCA::S.62,Stomach-AdenoCA::S.63,Stomach-AdenoCA::S.64,Stomach-AdenoCA::S.65,Stomach-AdenoCA::S.66,Stomach-AdenoCA::S.67,Stomach-AdenoCA::S.68,Stomach-AdenoCA::S.69,Stomach-AdenoCA::S.70,Stomach-AdenoCA::S.71,Stomach-AdenoCA::S.72,Stomach-AdenoCA::S.73,Stomach-AdenoCA::S.74,Stomach-AdenoCA::S.75,Stomach-AdenoCA::S.76,Stomach-AdenoCA::S.77,Stomach-AdenoCA::S.78,Stomach-AdenoCA::S.79,Stomach-AdenoCA::S.80,Stomach-AdenoCA::S.81,Stomach-AdenoCA::S.82,Stomach-AdenoCA::S.83,Stomach-AdenoCA::S.84,Stomach-AdenoCA::S.85,Stomach-AdenoCA::S.86,Stomach-AdenoCA::S.87,Stomach-AdenoCA::S.88,Stomach-AdenoCA::S.89,Stomach-AdenoCA::S.90
DEL_C_1_0,-3.679643502643442,0.5018646573983858,-5.656515694155878,-10.850241519753771,0.660662519456908,-5.441114119306988,-5.548550156057319,0.6800087192101165,-7.468620717149427,5.118277502088816,0.606549580138888,0.1579183333124412,2.7529661230805456,-0.15691856919642655,-2.73514632096584,4.487242805076972,-4.729910712519347,-10.000967033159736,0.31614225319923506,10.37129641239568,-1.2979350242408498,-1.8806960788912477,-14.143757380889479,7.69516858715007,-1.6719428710858075,-0.4583961935459625,3.7096697296299848,-1.546577905032179,0.19241937691343125,-1.8366861867406659,-1.158787663134259,-0.6821437797935879,1.817646704603236,-2.2167655630312098,-0.9267179106307051,-4.927177725173036,-0.8494130131767832,0.3357948161507025,-11.961896240888448,-8.22541673701176,-1.9743300752854118,-9.89949492944549,-2.20944337312788,-3.252485849244403,2.501961008574443,-0.5777323147991673,-0.7141432207997055,13.333462188164717,0.3930205435585191,0.516019781713279,3.6156392808399715,-1.9987894404150701,-3.9238039123200537,-1.4272482754297826,-16.890771308841344,-0.8494505895651683,-0.7850658311534431,0.3451766632464661,1.1274443035265982,6.978210585605333,-4.603168830057015,3.388842065122045,0.2822861531897285,-9.826566757917824,-2.198383637887412,-5.201245564027706,-4.579102029416873,-3.077818132951709,-0.49413718278374474,5.818550205343348,7.828985932755643,-2.472535784851367,0.8145128961543691,0.7767719729926972,-6.776615008032426,-2.635365664234296,1.6846130962576311,0.9067855781491057,-0.5946090688915269,7.979566478770323,-4.071906276309025,4.98181754539327,-5.134923013223,-0.0477885358134813,14.162475567776966,-4.646774332551223,-5.0231137133936965,2.890487744352555,-7.282861237210211,-11.56839631130389
DEL_C_1_1,5.899431847747298,-1.2101947736975447,-3.9302593664926917,-6.776360081185382,-0.6059495936827508,-4.023174621409197,-8.73380182658288,-0.5530912092839491,2.1641250456323853,-2.371751132898728,-0.511469283590324,-0.26282802797316607,-9.484357670372077,-0.9996244250527306,2.8877534185869536,-2.304959049771238,-5.00642294269144,-0.2166958246564441,0.46299742282799716,-3.9214272847662963,-0.2820276550765278,-6.788740032009153,-6.893293806593189,-2.3676185558172733,-9.339238736243487,-0.6033256089036053,-2.0851984412161,-3.0468537752297795,-0.32105037649443346,-5.6605324563370285,-0.10143634185284456,-0.3604299578731984,-0.7482556025146492,6.586560601543381,0.3253272254990325,-6.5875802536146715,-1.1054220086735809,-2.2588531988296072,0.022440325908725356,-3.566561406305805,-8.698514314588731,-3.281429099990735,-0.008172289604908567,4.95383670120745,-0.41082089598685245,1.5226259158888542,-0.334126813173303,-6.548399990666642,0.48582991714816826,-0.4119565848769349,-8.821840846959368,-4.299094086193032,-3.358801904204949,1.030917402000929,5.551165707683779,-0.22246205006263042,-0.8699374784748065,-3.119984961505475,3.5067624742587142,-2.6040208815899186,-13.685065521535673,-2.976498840509077,-2.1994873898317326,5.743352332676014,2.7876384973529253,-4.775157783211572,-3.2158406366074264,-7.561784828500041,-0.1281828128481387,2.772857715636481,-12.825300331736205,0.10106965566783344,-1.7133133141558288,0.6458050655262477,-2.3504538049459853,-0.6514763472440139,-1.1289008834633183,1.3812146900824507,2.8974229219688885,-1.7311109226327979,-1.8127169538189243,-9.997365178166266,-1.88180327073988,-0.15430595215262066,-12.58646939992951,-0.9876701781937842,-6.0640814686012625,14.427203200945222,0.4320026079721764,1.4390193873507435
DEL_C_1_2,-0.18279041383809336,10.029437366086599,-7.723279058114832,-9.76746467630794,1.3817523615730467,-7.792540493335508,4.090127239157786,-0.14828119014571947,2.6658361022454766,-0.8372687038907554,-0.49662934691329597,-0.001798906603451569,9.886253047215291,-0.44541918258391794,0.11094837358298282,-1.2283088948386354,-7.97257818213493,1.571889352010464,0.9143027625458693,-2.273946422753633,-0.18497710905947662,-5.537991576202561,-0.2448777768067225,-2.9541402028084978,-2.7863281536934856,-0.23364504658205584,-0.5330165770272117,3.32130945095665,-8.125946803365515,3.124983463670514,0.04480168971098941,3.8683497743053934,-0.8463684208051881,-2.1032741769160133,-0.24364159460525378,1.9959371880328867,-1.8777392703958293,0.35733038793592087,8.50368302431174,-7.954876712475356,-2.2307394544028067,-6.7407550605214155,-0.2609534176903568,0.04471107014018472,-2.1512587129720533,3.3469237240495655,-0.004163834494099131,-5.754943994569992,-0.2856255286559941,0.7278059929550535,-4.236184640087993,-5.225471882203895,6.536450128681089,-0.001437017156709974,-4.08399952825863,-0.039312626159674596,-0.0003905595508169176,-6.312586001707171,-4.373373423197453,-4.3453844832289485,24.852386438830116,-3.8841004743582204,0.504812110002125,1.5592053835595738,-1.9138837191020839,-6.4286998543873235,-1.6482388975043056,-3.8298173989127804,-0.00030176379499816,-4.277705860202184,-5.7887533724984,0.28402543702642524,0.13878199143387437,-1.972507857291241,1.177545243506461,-1.5480881103858244,-0.9707202716111993,-0.6140137092982672,-3.49353057906311,-3.249695281593194,1.6827895686880332,4.518619529867744,-4.915474274698772,3.5713134549652388,3.795117259664412,3.7470992820855247,-0.7385366546585015,-18.19083385438553,0.5676719196222857,-6.716274762582023
DEL_C_1_3,-5.2491860614343935,-4.697569991262169,-6.926036222980024,5.873700219103273,-3.5829725097626124,1.8260940500690541,-0.6117404789259098,-1.313754000348677,-3.714176028932896,-1.5560163909013909,-1.8206620905933475,-1.046558930317726,-4.419912050328103,-0.8155027577901341,-1.0709678237901201,-0.4425798381621888,-3.5984684449124327,-0.8053688012586053,-2.5700067655761516,0.1344216349810572,1.1479224557770396,3.693458880425702,-0.22273865952168137,-0.3052424936905478,-0.9743987172158146,-1.0802787083591543,0.8711595488712485,0.7763451529271945,-10.510968114645332,-2.4854433151975197,1.1936530531213636,-5.5853654122803125,-2.054902135051437,-3.562322850087421,1.827089634571279,0.348749651821727,2.237935550192403,-5.054966261439298,0.5595091270187655,0.5050301549757421,-2.802168131772186,-6.882346970385013,1.3742102963462823,-6.646758833760387,-3.2498635729782954,-1.6337185642881398,1.83397523074176,7.548167975003073,-0.7256905020103074,-1.31527925836694,-4.835830693221407,-2.2587199436874226,-8.179341798730048,2.4930377843858262,4.75599031460078,-1.13942267999946,-2.4489876891928586,-4.6822742280939345,-1.433894870041394,6.442534255684979,-5.297022577901744,-4.029875547101481,-0.4705795651034319,-0.031020142458492828,-1.0219375800597321,-1.0600236759521433,-1.311277052432077,-1.0169496444803414,0.4493061088731526,2.1521806616387735,-2.4058863061192746,-0.07404429403660728,-4.080423594528743,-1.3690715423728417,-1.3066493347562886,-2.284208835753666,-2.3275456891947917,-4.148388692093798,0.049288113140510514,2.6679174324945105,0.1788161114351956,0.014100039166597966,3.0246684321984185,-5.186572573525332,-10.996511592327186,8.972833011879398,-3.921928584127956,-8.380605866347892,1.548825484336989,-0.7214012715312332
DEL_C_1_4,-1.8334718271083061,-1.017388193707733,-0.23847023089767916,-0.199175530884506,-4.081891352372146,-0.893138783714619,0.47208629189733564,-0.8795361846548635,-2.160177454490631,2.7716777720024917,-1.056813085949032,0.540808184093295,-15.194216733581257,1.018916914099746,-1.3826354216766448,-1.0379558047971034,-1.9998625467268845,0.2068010375052305,3.52537354405888,3.3706211161737505,3.997967435228467,-2.523379546025196,1.1660099099755714,-2.1442261226925856,0.10302716120122102,-0.48232286520836737,-0.7613575880852694,-0.3316189190664147,-7.958717450532458,-0.49546515378185685,-0.412995075346745,-5.961169784305969,-2.8559348379896212,-2.3896475343059067,-0.23540348688060808,-1.6157958468198976,1.5827212699614768,-0.7161830822470971,2.700869757171917,0.870939696837195,-2.1728476771146266,3.9729514007585665,-1.9160211915933276,1.9661721575831344,-11.289921968682915,-0.4848986190576472,-0.8686251667115942,1.360337244382741,-0.5339943390801862,-1.1424299424648265,-3.566486347057605,3.2880924663495623,-4.085762730253897,-2.657323475280389,-3.291073864240471,-2.9365063543249947,-1.2758200648803424,0.21074189228714735,-3.68417535134925,-3.553338186779378,0.25841873526683834,-2.397453315803771,-0.74345544999855,-6.277639331930306,-0.6958312594382319,-1.3266622612215913,-9.703026005903439,2.6947575047832215,-0.48927756133540906,-4.646030847873849,-0.7270341792507267,-0.8531137918076865,7.94872773283017,-1.9270755128555548,-0.17223128265767507,4.146796055138076,-3.2850477358986154,-2.4992959510826456,-0.5516998016263908,-4.235745695288499,-1.3814710741126532,-1.277716805860591,-2.145848412734124,-0.9134241849704123,-7.427676598979549,-3.5829184825117055,-1.6204982154340586,-5.854599467107786,0.337953827380054,2.4541093288017515
DEL_C_1_5+,-4.9274121042507595,-3.738775456385847,0.5834006244986121,-2.7953136074785716,-6.969523526379952,-4.49034678946021,-5.068423300548703,0.9244463335923676,-2.8904745096939752,4.52447278956336,-6.336613692534675,-2.5433543204515647,-24.241092818481007,-2.8251825710679306,-2.4656244251267943,-2.656049797530979,3.729655864725707,-2.376844537053559,-6.458114657518896,-0.44557533582372866,-1.7793469066077394,-4.2393583586668235,-0.5682338253734418,4.606654273988866,-1.4992375378412763,-1.0670659527086999,0.32164443886656136,0.30805644845548663,-8.684714542320904,-9.241184597562007,0.736139418287465,-2.308633922630481,-4.333620336518143,-2.679448985390513,2.047167837954487,-0.7029267362280196,-2.5014129881517864,0.8898212056136754,-14.65754759715546,-5.25245795294361,-1.3120856930873517,4.709522995085565,3.7069189898122783,-0.9703676968956128,-4.839570949677281,0.9197260669525145,0.4913454719361998,-4.875499703761253,0.07487788472002355,-3.1054263722660123,-3.0482691060751534,-1.93085771620055,-4.678379716322802,1.0691012352135552,-7.709382350984027,5.488507538154122,-1.6135175190265123,1.02160121278866,-10.441426964770429,4.043515620953379,-8.243102958245826,-4.006380283678958,-1.4251245464415474,3.821236092375951,-5.590949564792405,-1.33294846816836,-16.948442830168098,-3.677650303186578,-1.9672661071120578,-7.741710228151803,-1.3813232662887511,-3.5314209853474434,2.124619400180828,-1.2460239469166918,-1.0234144471804303,-5.893352743474701,-5.474779966045531,-5.478330248725634,-0.29336729641229464,-2.123158124057692,-5.418146462401485,0.543806409609517,0.37306344389475043,4.985641678154803,-13.138042996197228,-19.01393181705377,2.815328115872628,-11.661941164313827,-10.808050406943593,1.331336808327853
DEL_T_1_0,-10.340380778797872,-18.25670922699352,-8.465960837660106,-4.773727593745619,-5.6229586667602405,-22.499113197185807,-16.480580815834813,-0.39943439394159475,7.725719620648228,8.642231485984489,-1.3444117914812819,-4.997002957635106,-26.93918537744438,-1.1435145920196113,8.133552208308357,19.834464515197563,-11.808754392101484,-15.053240206618963,1.3529307034407978,-3.106975111856052,4.497738144925996,-9.557575400450144,3.700376079536648,9.66626427636929,-4.701313895438403,-0.7387128959163207,-18.708691920381334,-4.229217436007644,-21.0709992326476,18.285706005459055,2.2279567774224076,7.953055626317301,-1.4408876285498087,-6.3768114477466895,-0.6980292720845545,-15.801888821544399,0.38774745437045777,-12.779954723822158,-20.099597729873274,6.5946527535060895,2.295689429702854,-23.7925714791649,0.00033793446571239727,8.582477947571384,0.9219659679033807,5.026374267919163,-1.6205562689640656,-9.986327449213107,0.047142242360891706,-4.572667003609466,-23.89927522300887,4.495734197699612,-10.842693258815025,-3.2789431987890874,-28.256556254031494,-0.9625582932072616,-2.463227669315453,32.86764531588044,4.053833469164701,5.436521454720104,-5.325389358211538,17.399589381473092,2.578012245347523,5.9369860540191475,-5.1494142543017,-1.361355040420868,-1.560068731249963,52.48107870108,0.019168909835960424,-12.95909965997015,10.788398979329564,4.0461799051868645,5.746851077205658,-9.721628208469518,-5.474316421630345,-4.183735421871294,-2.414227013557676,-3.54485726624587,4.956186596434512,3.2468314634948214,2.91194181828822,25.867604025323082,-19.86336455809917,-15.384057310576338,27.496528383487558,12.730021583576065,1.2715802272399586,2.697786518908913,-18.567597694023938,26.948034620956754
DEL_T_1_1,-4.946196490165519,-3.2384425394381537,-39.88745582876806,3.06017359212111,-1.6488438831059895,2.8426374202008304,-12.852317595669291,-0.5047955248790666,-2.8569276749631953,3.5257421915875327,-1.508551282216761,-3.3547573537698375e-15,-43.57333203936264,-1.1247010624384168,2.517237353437551,3.9484419008725737,-26.416723775842833,-10.709232424978495,-1.2778394469792238,-0.42374206293403893,-0.5328439789303928,-0.14209930017553063,-1.889596320485209,0.5397164409762265,3.5869164016109423,-0.9001171661413161,-20.38549063100701,1.4388291540698717,10.127506250995921,13.106087225731088,-2.307171950521462,3.330475403213317,-2.5488520771630228,21.61835346016291,-0.27118734366081765,22.607006640711013,2.718282213973163,-0.9814921742831686,-5.822530255177767,-7.177228577552526,5.199893628217744,3.305825542200701,-0.5450093001473086,9.989785134038438,-5.736335834702691,11.492659122514794,-0.0033847411646609885,2.513919547877329,-0.02313464641856453,3.058884734081726,8.017464045304223,15.521816735554388,28.989369551029114,-5.928277270468567e-15,8.374002017541784,-0.03387256882243242,-4.206741607202626e-15,-22.144479009163334,-9.593141395803169,-1.3279151323513254,3.010109241699517,-6.160672341305279,0.925366997229256,7.016501375080146,-5.9650010439408305,3.421723947733831,-12.96018773831874,-17.54609691323288,-9.226031334423534e-16,-15.219769019138052,-3.0301194142332726,-0.8398796635662444,2.49151591178013,-2.211636763276637,-1.022888057335064,-0.2548908422388509,-3.25263432064658,-8.638237415560486,1.565207536619046,15.304457791148382,4.100832645644484,-9.76321501084842,20.601533418455894,-1.6072257102697236,-18.709853255660242,25.062537307802813,-4.735924657076218,-34.80660081785321,4.439737701028218,24.35508996078729
DEL_T_1_2,1.0682538880129613,-9.639831084550075,32.47919519457835,11.879827185722554,-0.13166007798188062,7.454390035471732,26.05508845437275,0.7802155610211126,-7.378965269581899,-1.364414525358633,0.7957672522534005,-1.372763721504361,23.616310123678716,0.1648535704208962,0.042596966894336674,-16.98452539156589,19.792606407064056,11.222019914979427,-2.7914621557370562,0.9619537274327339,-0.3188881344233345,-23.088063576905817,-1.8450356461092663,2.2379434214987093,-15.84296441097127,1.3499149795344463,31.156325628782497,-2.9406804696134614,-13.039121735544285,-18.178291310707785,1.9085534553129424,-4.584984923500198,-2.5116973249534817,-16.05081044776104,1.798178119516661,-0.32637571690254674,-1.3091034265521078,3.67225412795694,22.927435091510404,10.679749343386078,14.351130401397192,17.082094263106114,-0.6330557863724073,10.956589983784866,-0.6642723892543376,-6.059405106467452,0.6574631981959358,-9.153591121098863,1.2312753041298043,-3.0220258783749836,21.69371750583118,-34.205812089198005,-39.58894860469614,1.5878872856147233,4.0286545623532675,2.65510832187422,-1.9334620561760922,-3.3394027204959684,-0.8704306985260288,-1.5924123980714118,-12.955812725117113,2.895405244182953,-4.087100718714609,0.15644390811846876,-5.915999452403,20.07132375883507,-18.764882053237216,-19.60728090463509,-0.8353311472245566,20.502436833943207,-5.36201664058218,-6.378621988207856,0.6478980575572297,-11.594059580904908,-2.9262209068566705,8.041539102722123,1.5001841352889524,5.405017776901158,-2.9864045945045046,-13.802265449426027,-2.272492914781953,2.4257674483497667,-5.3944417866641885,2.334855114518689,-22.6744782393031,-1.9313087742231012,30.52699157749275,-3.0498327850962994,8.8913007889552,-36.69429201938331
DEL_T_1_3,14.553867215570008,40.42235296512619,50.99754531270659,7.032480820010058,-1.6371877193228528,19.432278137516988,1.9172409783270012,0.6985546023738243,-0.02415605377396801,-4.677939851952374,-3.5507816085624198,-4.446458288921498,30.751402091857635,-0.9222210483974376,-7.9966951501900745,-7.513946346199255,42.58533036238883,9.196495392318633,-8.672939192956406,1.348527645603788,-1.4301281696347283,36.46815749264111,-5.100259655232607,-9.993042020955128,40.62727435441526,1.4786851744982128,14.512631692302698,0.7551496487128979,28.305462534914398,-9.616994839983526,-0.2382187178909012,-14.08118351111385,3.4496064411794327,9.390822831722666,0.44824581548578735,-3.759180826370706,-0.7695647581804632,17.66055234126636,-16.12619399615022,-4.304161914756875,-15.42865290139622,19.249832330980347,-2.301092758679042,-16.879599912627576,-1.190715411239239,-7.111172116720262,0.29690261244617,4.462654800792436,-1.076649032264939,3.641039530581783,-10.239049897779019,29.968422808578467,22.666754666057862,-1.1957111729679326,20.67340482325345,-9.510765381415833,-2.1148970389337345,8.95450949672638,-5.221655478963029,-4.976548004240701,23.827306637908322,1.618150924413797,-6.788632711582265,-10.753409694509372,12.501188721878997,-21.945736264086477,34.369005202392714,-4.434466647778741,-2.3374687543005397,2.821914294516745,-5.630478124562952,12.603511153058966,-4.82881946736342,18.573603477321086,-17.71048387368218,0.07409682662342476,1.566810564940237,10.375779632723823,-4.352364137067632,-13.743988961571333,-10.290781162320428,-24.941973731688897,18.920315830227565,20.683631355934153,-6.519217942891345,-7.142968166533784,-24.929053777061007,35.2733415226522,14.402004689250745,1.4313358879684444
