MutationType	ID1	ID2	ID4	ID5	ID8	ID9	ID13
1:Ins:T:5	0.89090647	0.00313258	0.00083293	0.00143921	0.02016125	0.00577248	0.01109979
2:Del:R:0	0.00068605	0.00016381	0.07172421	0.02805441	0.00876922	0.01317475	0.02218440
2:Del:R:1	0.00121997	0.00356888	0.23051288	0.02456273	0.01030715	0.00319854	0.00433321
2:Del:R:2	0.00047275	0.00184957	0.05505940	0.00456262	0.00053203	0.00118970	0.00310892
2:Del:R:3	0.00042672	0.00073904	0.01281101	0.00039592	0.00002710	0.00009590	0.00010557
2:Del:R:4	0.00005460	0.00088193	0.00321922	0.00086756	0.00027403	0.00000000	0.00000613
2:Del:R:5	0.00000000	0.00000000	0.00238272	0.02142678	0.00083308	0.00000000	0.00006630
3:Del:R:0	0.00012804	0.00001250	0.00506895	0.01713637	0.01096410	0.00285810	0.00303967
3:Del:R:1	0.00501109	0.00500326	0.09711447	0.00590979	0.00134887	0.00430191	0.00118696
3:Del:R:2	0.00076938	0.00228989	0.02148428	0.00084271	0.00037657	0.00127572	0.00038438
3:Del:R:3	0.00037126	0.00040259	0.00383763	0.00062115	0.00025351	0.00030211	0.00006900
3:Del:R:4	0.00000000	0.00000000	0.00078630	0.00586708	0.00000268	0.00000000	0.00000309
3:Del:R:5	0.00000000	0.00000000	0.00113861	0.00837891	0.00009100	0.00000000	0.00009960
4:Del:R:0	0.00009970	0.00001210	0.00725243	0.01079126	0.00669131	0.00143277	0.00215535
4:Del:R:1	0.00090050	0.00211579	0.06352373	0.00284357	0.00162295	0.00459422	0.00002300
4:Del:R:2	0.00000323	0.00054329	0.01454892	0.00016464	0.00027262	0.00089602	0.00007920
4:Del:R:3	0.00000000	0.00000727	0.00455475	0.00387781	0.00002880	0.00002380	0.00003920
4:Del:R:4	0.00000000	0.00000000	0.00084968	0.00455725	0.00009730	0.00000000	0.00000947
4:Del:R:5	0.00002890	0.00021041	0.00061078	0.00158444	0.00000634	0.00001370	0.00006300
