Samples	SBS1	SBS4	SBS5	SBS9	SBS12	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS22	SBS24	SBS29	SBS30	SBS31	SBS35	SBS40
Liver-HCC::S.65	155	0	5424	0	0	0	0	0	0	0	0	0	0	0	0	2818	0
Liver-HCC::S.66	0	0	7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.67	107	3431	10818	0	2942	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.68	9	1284	2813	0	0	0	0	0	0	0	0	0	1782	0	0	0	0
Liver-HCC::S.69	0	0	2496	0	1280	0	0	0	0	0	0	0	0	0	0	4069	0
Liver-HCC::S.70	174	0	3684	0	4256	0	0	0	0	0	0	0	0	0	0	2542	8857
Liver-HCC::S.71	10	0	10985	0	3025	0	0	0	0	0	0	0	0	0	0	5702	0
Liver-HCC::S.72	64	0	3132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.73	0	0	15295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.74	139	0	20672	0	3578	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.75	231	0	12562	0	0	0	0	0	0	0	0	0	2098	0	0	0	0
Liver-HCC::S.76	233	0	14055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.77	0	0	8764	0	0	0	0	0	0	0	0	0	1205	0	0	0	0
Liver-HCC::S.78	81	0	8340	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.79	0	6920	2063	0	0	0	0	0	0	0	0	0	0	0	0	0	2986
Liver-HCC::S.80	46	0	11474	0	2500	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.81	0	0	11391	0	5415	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.82	150	0	11453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.83	73	3282	5164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.84	57	0	14893	0	3047	0	0	0	0	0	0	0	0	0	0	0	0
