"Mutation type","ID1","ID2","ID4","ID5","ID6","ID8","ID9"
"DEL_repeats_2_3",0.00042672,0.000739044,0.012811006,0.000395919,0.000525746,2.71e-05,9.59e-05
"DEL_repeats_2_4",5.46e-05,0.000881932,0.003219218,0.000867563,0.000232527,0.000274027,5.41e-18
"DEL_repeats_2_5+",3.31e-18,4.67e-18,0.002382721,0.02142678,0.000215685,0.000833079,5.41e-18
"DEL_repeats_3_0",0.000128045,1.25e-05,0.005068954,0.01713637,0.001051047,0.010964101,0.002858095
"DEL_repeats_3_1",0.005011085,0.005003258,0.097114466,0.005909794,0.005413653,0.001348867,0.00430191
"DEL_repeats_3_2",0.000769383,0.002289891,0.021484282,0.00084271,0.000536054,0.000376571,0.001275717
"DEL_repeats_3_3",0.000371256,0.000402587,0.003837627,0.000621155,4.7e-05,0.000253509,0.00030211
"DEL_repeats_3_4",3.31e-18,3.97e-18,0.000786295,0.005867075,7.31e-05,2.68e-06,5.41e-18
"DEL_repeats_3_5+",3.31e-18,3.95e-18,0.001138609,0.008378911,0.000150616,9.1e-05,5.41e-18
"DEL_repeats_4_0",9.97e-05,1.21e-05,0.007252429,0.010791265,0.002315098,0.006691309,0.001432774
"DEL_repeats_4_1",0.000900503,0.002115787,0.06352373,0.002843569,0.002806729,0.001622955,0.004594217
"DEL_repeats_4_2",3.23e-06,0.000543292,0.014548922,0.000164644,0.00047449,0.000272623,0.000896024
"DEL_repeats_4_3",3.31e-18,7.27e-06,0.004554752,0.003877814,0.000291345,2.88e-05,2.38e-05
"DEL_repeats_4_4",3.31e-18,3.95e-18,0.000849679,0.004557254,0.000110576,9.73e-05,5.41e-18
"DEL_repeats_4_5+",2.89e-05,0.000210413,0.00061078,0.001584436,5.68e-05,6.34e-06,1.37e-05
"DEL_repeats_5+_0",8.35e-06,3.85e-05,0.004132826,0.018447949,0.019333291,0.237978862,0.000772052
"DEL_repeats_5+_1",0.000190676,0.002977512,0.015718533,0.000410335,0.007501825,0.000572257,0.000479551
"DEL_repeats_5+_2",0.000126355,0.000397525,0.002343845,0.000470925,0.000370524,0.000516838,0.000264969
