Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Breast-AdenoCA::S.23,deconstruct_0.00,59.5675767244965,0.338452140480094,1,1,1,2.66154785951991,1,0.167457049942958,0.190464655016772,Breast-AdenoCA
Breast-AdenoCA::S.24,deconstruct_0.00,62.1318853606808,0.564835321460735,0.75,1,0.857142857142857,2.18516467853927,1,0.375995750010474,1.89952110922058,Breast-AdenoCA
Breast-AdenoCA::S.25,deconstruct_0.00,63.3753132467525,0.45593750537232,0.75,1,0.857142857142857,2.29406249462768,1,0.288374801677115,1.36194383576695,Breast-AdenoCA
Breast-AdenoCA::S.26,deconstruct_0.00,50,0.381679389312977,0.5,1,0.666666666666667,2.11832061068702,1,0.223413626840818,1.05920158943967,Breast-AdenoCA
Breast-AdenoCA::S.27,deconstruct_0.00,36.7008121309796,0.370715274050299,0.8,1,0.888888888888889,2.4292847259497,1,0.2026637556191,0.921971162055684,Breast-AdenoCA
Breast-AdenoCA::S.28,deconstruct_0.00,92.2219621747334,0.731920334720106,0.6,1,0.75,1.86807966527989,1,0.406380197202972,2.09918275625995,Breast-AdenoCA
Breast-AdenoCA::S.29,deconstruct_0.00,54.9474516973726,0.376352408886114,0.75,1,0.857142857142857,2.37364759111389,1,0.212447194039598,0.717674550440184,Breast-AdenoCA
Breast-AdenoCA::S.30,deconstruct_0.00,37.2044849021461,0.453713230513977,1,1,1,2.54628676948602,1,0.270709668855636,0.167993479437119,Breast-AdenoCA
Breast-AdenoCA::S.31,deconstruct_0.00,96.3723564790975,0.535401980439431,0.6,1,0.75,2.06459801956057,1,0.288843159290561,1.13728188110575,Breast-AdenoCA
Breast-AdenoCA::S.32,deconstruct_0.00,43.8861483900676,0.522454147500805,0.75,1,0.857142857142857,2.22754585249919,1,0.293640913050693,0.722213852276378,Breast-AdenoCA
Breast-AdenoCA::S.33,deconstruct_0.00,49.518162236701,0.707402317667157,0.75,1,0.857142857142857,2.04259768233284,1,0.413394163344015,2.30842175852059,Breast-AdenoCA
Breast-AdenoCA::S.34,deconstruct_0.00,52.53726057449,0.279453513694096,0.8,1,0.888888888888889,2.5205464863059,1,0.148456253464832,0.613478516712616,Breast-AdenoCA
Breast-AdenoCA::S.35,deconstruct_0.00,78,0.582089552238806,0.6,1,0.75,2.01791044776119,1,0.280847072120004,1.74520579173425,Breast-AdenoCA
Breast-AdenoCA::S.36,deconstruct_0.00,27.4398111000101,0.110644399596815,1,1,1,2.88935560040319,1,0.0631529937049712,0.0126345167663864,Breast-AdenoCA
Breast-AdenoCA::S.37,deconstruct_0.00,27.7021176174817,0.174227154826929,1,1,1,2.82577284517307,1,0.0874730449271696,0.0239963752698388,Breast-AdenoCA
Breast-AdenoCA::S.38,deconstruct_0.00,41.560974710302,0.273427465199355,1,1,1,2.72657253480064,1,0.181981279679406,0.0782737506531833,Breast-AdenoCA
Breast-AdenoCA::S.39,deconstruct_0.00,64,0.316831683168317,0.333333333333333,1,0.5,2.01650165016502,1,0.197151561898415,0.801164606040088,Breast-AdenoCA
Breast-AdenoCA::S.40,deconstruct_0.00,79.9999999999999,1.19402985074627,0.666666666666667,0.666666666666667,0.666666666666667,1.13930348258707,0.5,0.753177658444917,5.31085335608838,Breast-AdenoCA
Breast-AdenoCA::S.41,deconstruct_0.00,39.2875259981244,0.714318654511353,1,1,1,2.28568134548865,1,0.452440590329627,0.407988885178864,Breast-AdenoCA
Breast-AdenoCA::S.42,deconstruct_0.00,176.210655325171,0.93729071981474,0.6,1,0.75,1.66270928018526,1,0.530305333187586,3.31708080014879,Breast-AdenoCA
Breast-AdenoCA::S.43,deconstruct_0.00,23.0595582019148,0.247952238730267,0.75,1,0.857142857142857,2.50204776126973,1,0.153515032098176,0.456158064066981,Breast-AdenoCA
Breast-AdenoCA::S.44,deconstruct_0.00,34.5177385743613,0.375192810590884,1,1,1,2.62480718940912,1,0.218181846999103,0.130098339047709,Breast-AdenoCA
Breast-AdenoCA::S.45,deconstruct_0.00,107.076073662521,0.594867075902892,0.8,1,0.888888888888889,2.20513292409711,1,0.319454888324525,1.56771741819463,Breast-AdenoCA
