MutationType	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
CC>TG	0.00023705	0.00002900	0.00000830	0.00687147	0.00023590	0.00420850	0.01549485	0.00000000
CC>TT	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00437844	0.00000000	0.02060089
CG>AT	0.00115024	0.00028388	0.00029013	0.00754162	0.00006210	0.00032189	0.00021893	0.00000000
CG>GC	0.00036908	0.00000000	0.00000510	0.00059013	0.00018692	0.00000000	0.00001200	0.00001900
CG>GT	0.00128027	0.00000000	0.00000000	0.00322069	0.00002070	0.00120957	0.00009940	0.00001020
CG>TA	0.00000000	0.09785873	0.00000000	0.00000000	0.00000000	0.00050582	0.00000000	0.35801552
CG>TC	0.00215045	0.00072170	0.00000000	0.00891191	0.00004870	0.00090468	0.00013296	0.00265012
CG>TT	0.00556118	0.00716698	0.00036116	0.01870401	0.00003130	0.00032888	0.00008290	0.00777034
CT>AA	0.00321068	0.00010296	0.00000000	0.00448096	0.00000000	0.02059268	0.00000000	0.00393017
CT>AC	0.00000000	0.02908773	0.00000000	0.00195042	0.00000000	0.01399502	0.00000000	0.01300056
CT>AG	0.00058712	0.11395194	0.00036316	0.03950848	0.00125946	0.02039275	0.00058181	0.02650115
CT>GA	0.00001810	0.00001720	0.00067330	0.00734158	0.00186919	0.00556802	0.00283906	0.00000000
CT>GC	0.00013403	0.00002690	0.00007220	0.00179038	0.01559325	0.00023692	0.00310897	0.00000000
CT>GG	0.00008980	0.00005990	0.00092641	0.00681146	0.00399827	0.00030589	0.01039654	0.00000000
CT>TA	0.00338071	0.00018392	0.00000000	0.00008840	0.00000000	0.01089612	0.00000000	0.00403018
CT>TC	0.00003840	0.00633733	0.00000000	0.00000000	0.06317264	0.01779367	0.00003000	0.00275012
CT>TG	0.00039008	0.05217799	0.00003080	0.01120240	0.00000000	0.00096566	0.00000000	0.04570198
GC>AA	0.00508108	0.00002160	0.32814716	0.00000000	0.00000000	0.01289541	0.00000000	0.00408018
GC>AG	0.00032507	0.00052178	0.01130507	0.00366079	0.00007300	0.00851697	0.12395876	0.00000000
GC>AT	0.00095320	0.00398832	0.00924415	0.00188040	0.00034985	0.00550804	0.12595809	0.00775034
GC>CA	0.00106022	0.00023690	0.01190534	0.00869187	0.00066971	0.00482828	0.02739089	0.00010501
GC>CG	0.00006690	0.00000000	0.00000098	0.00000000	0.00264885	0.00024191	0.00249917	0.00000000
GC>TA	0.00073616	0.00422822	0.01770794	0.00082918	0.00000624	0.00855696	0.01399534	0.00281012
TA>AT	0.00275058	0.00144939	0.03041364	0.00857184	0.05577585	0.00969655	0.01549485	0.01040045
TA>CG	0.00001890	0.00333859	0.00038918	0.00025906	0.00304868	0.00002090	0.00134955	0.00411018
TA>CT	0.00028006	0.00034386	0.00872391	0.02610560	0.02908740	0.00409854	0.01419528	0.00162007
TA>GC	0.00008220	0.00198916	0.00007020	0.00026406	0.00150935	0.00078872	0.00057881	0.00000000
TA>GG	0.00007890	0.00545770	0.00222100	0.00021805	0.00430813	0.00021692	0.00324892	0.00859037
TA>GT	0.00130028	0.00036185	0.00806362	0.00006250	0.02628862	0.00015295	0.00777741	0.00361016
TC>AA	0.00145031	0.00548769	0.37917005	0.04580983	0.01959152	0.03878620	0.00368877	0.00756033
TC>AG	0.00020004	0.00000614	0.00187084	0.00828178	0.00000400	0.01159588	0.04668447	0.00027101
TC>AT	0.00000000	0.00111953	0.00841377	0.00059413	0.00228901	0.01849342	0.05178277	0.00309013
TC>CA	0.00068214	0.06547239	0.08463796	0.01180253	0.00270883	0.01759374	0.04878377	0.02520109
TC>CG	0.00000389	0.00011595	0.00040018	0.00086219	0.00162929	0.01089612	0.00778741	0.00084204
TC>CT	0.00335071	0.01939182	0.00000828	0.00939202	0.00918602	0.00875689	0.05138290	0.02620114
TC>GA	0.00088519	0.07776720	0.03641633	0.00734158	0.00000000	0.00960658	0.01729425	0.04380190
TC>GG	0.00000987	0.00017693	0.00001040	0.00151032	0.00070569	0.00190932	0.00372876	0.00000000
