Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Liver-HCC::S.69	8737	0.953	2236.744	25.601%	339.585	30.289%	0.05404	0.869
Liver-HCC::S.70	15174	0.972	2908.997	19.171%	449.033	23.646%	0.02778	0.914
Liver-HCC::S.71	15217	0.979	3114.82	20.469%	476.48	20.347%	0.03472	0.962
Liver-HCC::S.72	5655	0.948	1631.049	28.843%	243.001	31.74%	0.06573	0.877
Liver-HCC::S.73	13990	0.973	2979.958	21.301%	457.505	23.117%	0.03614	0.943
Liver-HCC::S.74	7058	0.939	2148.508	30.441%	312.639	34.827%	0.06889	0.825
Liver-HCC::S.75	15154	0.942	4208.298	27.77%	722.509	33.653%	0.05937	0.875
Liver-HCC::S.76	11253	0.951	3112.134	27.656%	477.254	30.952%	0.05927	0.886
Liver-HCC::S.77	15076	0.958	4393.328	29.141%	593.042	28.656%	0.06693	0.904
Liver-HCC::S.78	9629	0.953	2665.406	27.681%	396.817	30.256%	0.05781	0.89
Liver-HCC::S.79	8142	0.939	2379.17	29.221%	391.219	34.503%	0.06986	0.862
Liver-HCC::S.80	23245	0.964	5422.874	23.329%	797.4	26.727%	0.03749	0.899
Liver-HCC::S.81	5551	0.952	1444.421	26.021%	226.895	30.94%	0.05626	0.878
Liver-HCC::S.82	9735	0.935	2727.333	28.016%	480.282	35.347%	0.06147	0.855
Liver-HCC::S.83	8531	0.928	2592.363	30.388%	428.1	37.444%	0.07946	0.824
Liver-HCC::S.84	17004	0.96	3902.52	22.951%	668.816	28.04%	0.03863	0.913
Liver-HCC::S.85	12976	0.961	3200.193	24.662%	492.785	28.557%	0.05876	0.911
Liver-HCC::S.86	8118	0.964	1970.544	24.274%	288.149	27.109%	0.04897	0.912
Liver-HCC::S.87	20801	0.97	4848.97	23.311%	692.172	24.448%	0.03927	0.93
Liver-HCC::S.88	11303	0.953	3012.662	26.654%	468.446	30.404%	0.0545	0.889
Liver-HCC::S.89	7922	0.963	1841.308	23.243%	362.992	27.127%	0.04206	0.941
Liver-HCC::S.90	9420	0.951	2383.237	25.3%	383.484	31.311%	0.05634	0.873
Liver-HCC::S.91	6376	0.975	1393.258	21.852%	229.538	22.325%	0.0379	0.958
Liver-HCC::S.92	6848	0.978	1381.206	20.169%	208.517	20.957%	0.03706	0.956
Liver-HCC::S.93	7725	0.94	1985.862	25.707%	349.885	34.037%	0.05254	0.848
Liver-HCC::S.94	6778	0.979	1289.789	19.029%	199.05	20.536%	0.03322	0.956
Liver-HCC::S.95	7690	0.965	1689.005	21.964%	266.98	26.37%	0.03894	0.91
Liver-HCC::S.96	7342	0.984	1163.33	15.845%	200.866	18.466%	0.02424	0.97
Liver-HCC::S.97	12943	0.979	2577.758	19.916%	355.39	20.633%	0.03596	0.952
Liver-HCC::S.98	16562	0.944	4491.479	27.119%	723.412	33.089%	0.06015	0.854
Liver-HCC::S.99	10803	0.973	2326.046	21.531%	344.93	23.211%	0.03904	0.94
