Sample Names	MutationType	ID1	ID2	ID3	ID5	ID6	ID8	ID9	ID11
Liver-HCC::MSI-H.S.1	1:Del:C:0	0.09121672826191018	0.9087832717380898	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:C:1	0.9906539586382823	0.009346041361717709	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:C:2	3.2231530439253582e-12	0.9999999999967768	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:C:3	0.700321453885229	0.299678546114771	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:C:4	0.3566341569701781	0.6433658430298219	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:C:5	0.4111784364049929	0.5888215635950071	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:T:0	0.3344043503905722	0.665595649609428	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:T:1	0.7173323090436812	0.2826676909563188	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:T:2	0.2872617224697264	0.7127382775302736	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:T:3	0.25573390961971343	0.7442660903802867	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:T:4	0.21618420746235745	0.7838157925376427	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Del:T:5	1.2303964830065638e-17	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:C:0	0.7173323090436812	0.2826676909563188	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:C:1	4.415355935726394e-14	0.9999999999999558	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:C:2	3.825956475815396e-13	0.9999999999996173	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:C:3	0.8562683688055425	0.14373163119445742	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:C:4	0.6499819500143217	0.3500180499856784	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:C:5	0.8908251347849345	0.10917486521506548	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:T:0	0.8388631010624419	0.16113689893755812	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:T:1	0.9999999999999677	3.236523217132058e-14	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:T:2	0.47442927498829507	0.525570725011705	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:T:3	0.9222806192509831	0.07771938074901694	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:T:4	0.9353067959750907	0.06469320402490926	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	1:Ins:T:5	0.9988402791139738	0.0011597208860262592	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	2:Del:R:0	0.9269176737238484	0.07308232627615162	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	2:Del:R:1	0.5086508491250114	0.4913491508749886	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	2:Del:R:2	0.43631984994985024	0.5636801500501498	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	2:Del:R:3	0.6361760473057593	0.3638239526942406	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	2:Del:R:4	0.15788542748952578	0.8421145725104742	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	2:Del:R:5	0.6821833330813728	0.3178166669186271	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	3:Del:R:0	0.9687712007694492	0.03122879923055089	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	3:Del:R:1	0.7520541179151589	0.2479458820848411	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	3:Del:R:2	0.5043408962354217	0.49565910376457845	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	3:Del:R:3	0.7363368312219626	0.2636631687780375	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	3:Del:R:4	0.7163071096679574	0.28369289033204254	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	3:Del:R:5	0.7173323090436812	0.2826676909563188	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	4:Del:R:0	0.9614688383548848	0.03853116164511519	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	4:Del:R:1	0.5631130627809084	0.43688693721909166	0.0	0.0	0.0	0.0	0.0	0.0
Liver-HCC::MSI-H.S.1	4:Del:R:2	0.017686129930262882	0.9823138700697371	0.0	0.0	0.0	0.0	0.0	0.0
