Sample,ID1,ID2,ID5,ID14
ColoRect-AdenoCA::MSI-H.S.1,7882.933905473774,28245.429791382358,2059.4319787151076,0.0
ColoRect-AdenoCA::MSI-H.S.2,14870.70641729829,17982.878043033124,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.3,27380.0118573614,39010.96424551399,2253.477063014299,0.0
ColoRect-AdenoCA::MSI-H.S.4,2806.473829577587,56954.99510206483,3674.925890539397,0.0
ColoRect-AdenoCA::MSI-H.S.5,8307.370198557215,82448.97155683675,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.6,2515.532245793325,127062.16949492296,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.7,21776.48925799676,8165.5938817019005,876.8960123870712,0.0
ColoRect-AdenoCA::MSI-H.S.8,7840.064934885346,21964.51473037544,5292.599030463685,0.0
ColoRect-AdenoCA::MSI-H.S.9,35767.81171687632,62063.09013242663,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.10,3524.166346843798,79699.78270892255,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.11,46447.20687379334,219248.00176594403,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.12,11393.602618024304,34802.79606944125,3830.0906117108116,0.0
ColoRect-AdenoCA::MSI-H.S.13,21118.72605969381,63928.60702541816,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.14,6441.923432841508,34636.53084664338,3541.7975551892573,0.0
ColoRect-AdenoCA::MSI-H.S.15,71848.55527193632,75802.71213692984,0.0,0.0
