Sample,ID1,ID2,ID5,ID14
ColoRect-AdenoCA::MSI-H.S.1,7882.933908221318,28245.42978642167,2059.432004713994,0.0
ColoRect-AdenoCA::MSI-H.S.2,14870.706421983228,17982.878041502277,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.3,27380.011865944532,39010.96423808826,2253.47711018853,0.0
ColoRect-AdenoCA::MSI-H.S.4,2806.473831567613,56954.99509105213,3674.9259553738393,0.0
ColoRect-AdenoCA::MSI-H.S.5,8307.37020311868,82448.9715483144,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.6,2515.5322502729705,127062.16948345401,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.7,21776.48926429497,8165.593880041088,876.8960241227562,0.0
ColoRect-AdenoCA::MSI-H.S.8,7840.064937221728,21964.514723045017,5292.599079691854,0.0
ColoRect-AdenoCA::MSI-H.S.9,35767.81172870448,62063.09012598296,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.10,3524.16635017108,79699.78270084743,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.11,46447.20689367316,219248.00174563794,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.12,11393.602621975435,34802.796063498005,3830.090638101579,0.0
ColoRect-AdenoCA::MSI-H.S.13,21118.726067333475,63928.60701860667,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.14,6441.923435355812,34636.53083977864,3541.7975940916813,0.0
ColoRect-AdenoCA::MSI-H.S.15,71848.55529412818,75802.71212980557,0.0,0.0
