Sample,SBS1,SBS2,SBS3,SBS5,SBS8,SBS13,SBS18,SBS35,SBS39,SBS40,SBS41
Ovary-AdenoCA::S.1,664.1559844259156,0.0,4215.47320774057,608.8141945026979,0.0,0.0,0.0,147.82070048931521,817.5690497387743,0.0,158.20104730427786
Ovary-AdenoCA::S.2,134.66670993264714,588.7637121086893,4893.8938625328055,2707.350208785014,0.0,394.78913764195306,277.18526774631204,121.26637607045068,312.90594531801787,820.3105735281949,0.0
Ovary-AdenoCA::S.3,1015.485622866107,76.26930717185999,2507.7924349318773,281.7935538533171,0.0,91.30077644830199,0.0,210.3603924621435,0.0,9996.01821867956,155.3249215998205
Ovary-AdenoCA::S.4,659.180560554494,0.0,4143.592378344627,5187.379623793723,167.91363445004666,169.44730239213638,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.5,497.50117746323843,597.0672321304471,1435.3206767794882,1714.566425263492,324.6331856127682,1337.5826753724878,0.0,110.11256409679129,329.1392311746139,486.742880652496,208.30078923740095
Ovary-AdenoCA::S.6,736.0065462584167,0.0,10110.546619413437,844.081808689687,1034.7202593910233,1032.9382439958938,1111.352513869187,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.7,307.07414729965996,292.3584062492897,0.0,2038.4169548591983,0.0,0.0,109.6898252379716,163.22390861459533,0.0,2032.1965504573013,0.0
Ovary-AdenoCA::S.8,547.3153477692916,0.0,3575.0127890159324,0.0,172.88036122871117,2165.0115825406997,0.0,0.0,0.0,0.0,884.6792888221715
Ovary-AdenoCA::S.9,1069.1352699064075,13.953559768490427,3555.4941258624544,0.0,0.0,448.93111619155695,0.0,82.4961706804872,710.272240307209,0.0,0.0
Ovary-AdenoCA::S.10,574.3613960146719,41.898189200466014,3521.4037298152257,4668.120321271632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.11,281.51015110606215,74.5474398315552,4013.5140848446767,789.7441022802451,0.0,0.0,779.0014974153557,0.0,369.4827559950294,0.0,0.0
Ovary-AdenoCA::S.12,447.87656201941513,0.0,3302.1259380081924,1423.5964704230576,0.0,692.0329785121918,146.6805928665664,373.12402924056437,203.28596419720753,402.32936025389773,0.0
Ovary-AdenoCA::S.13,217.44453794619113,0.0,3774.7980562539788,1517.138858899063,780.3095107748235,0.0,68.61324155497456,84.92263358635593,0.0,0.0,81.62309538047617
Ovary-AdenoCA::S.14,387.65689358639884,0.0,4587.091969692442,3469.882736014337,0.0,463.6272457664173,0.0,85.43049330519872,707.9696496066805,1779.183453451773,0.0
Ovary-AdenoCA::S.15,628.2373507988743,0.0,6753.085366388695,1372.933222193471,0.0,257.99163113473907,147.99032845161958,0.0,188.80189820240375,638.5975927702034,77.56156022627415
Ovary-AdenoCA::S.16,623.5771987154976,64.14109011036957,6232.634077661064,2208.167602033138,0.0,111.25064840722897,0.0,0.0,0.0,1234.3129579208555,85.77221716972157
Ovary-AdenoCA::S.17,387.80878264431766,0.0,5572.935962043166,3054.2941437792388,0.0,0.0,0.0,169.866474416153,0.0,0.0,0.0
Ovary-AdenoCA::S.18,344.1042239364097,200.80853277615125,2314.646879812431,4895.490593946333,0.0,0.0,1617.6933991393848,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.19,1073.6919529428476,329.0576184645357,2986.3594193442914,1102.6781890592142,103.8832320233656,0.0,0.0,0.0,0.0,3671.8654128762205,233.3359612770255
Ovary-AdenoCA::S.20,396.93654414052264,614.779013778113,9108.548906386506,1358.2165448585642,511.3497737959531,0.0,112.33111295869568,0.0,711.6403722854068,752.8021577095247,353.0391502781415
Ovary-AdenoCA::S.21,486.7842532287083,0.0,3353.669270389528,1439.8814832114379,0.0,21.73724299664216,60.00036609437283,0.0,87.83547773796519,176.1144080700641,0.0
Ovary-AdenoCA::S.22,307.2693379711057,0.0,631.9788190417721,1615.283130200495,0.0,0.0,1342.817883712713,418.9913907430679,683.6705778345261,5308.209372300062,0.0
Ovary-AdenoCA::S.23,532.3066818699536,0.0,7146.381105596715,4183.127150627639,0.0,0.0,123.9379539155417,0.0,0.0,0.0,246.56460464192628
Ovary-AdenoCA::S.24,493.822521607066,63.63353243961648,2486.351818350843,2417.2494897139845,0.0,215.73302129509065,0.0,0.0,102.81731638016565,0.0,0.0
Ovary-AdenoCA::S.25,541.7028766699868,336.2688387020279,5506.015503152027,1902.800240729449,500.65775132782926,154.07496379398748,0.0,0.0,0.0,2840.6315934885984,91.04225704029017
Ovary-AdenoCA::S.26,510.5035601008844,0.0,9204.718926105434,1554.8870675673406,0.0,155.9952787897644,0.0,0.0,0.0,4261.179324364644,0.0
Ovary-AdenoCA::S.27,565.0626497658639,0.0,11048.462752042567,1749.9061232500753,0.0,160.60792791326165,0.0,0.0,450.1198600298635,0.0,0.0
Ovary-AdenoCA::S.28,688.7911483833184,0.0,2130.2992454416153,1852.8182536687807,0.0,1105.7310632033266,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.29,656.4644254671977,253.2651915719451,0.0,2359.8712580514543,0.0,229.23538522918602,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.30,372.76313177020387,0.0,3617.038861873341,1877.0971613854624,0.0,0.0,1020.8127996990224,433.82599518529145,925.2283426268809,0.0,0.0
Ovary-AdenoCA::S.31,843.2052740388733,201.31020161753665,3614.9158822015843,399.53528281087375,0.0,0.0,113.04898576629448,192.31790921221847,0.0,6146.157805770438,0.0
Ovary-AdenoCA::S.32,574.2904593169028,12.177868811523512,2434.161021735061,489.2474470546265,0.0,281.9785277656817,0.0,0.0,166.08890265622125,0.0,0.0
Ovary-AdenoCA::S.33,532.620522024277,258.40908851613733,5577.736786934776,1630.0594855952622,0.0,0.0,116.9443237423093,558.9501030523824,385.7941860684831,0.0,0.0
Ovary-AdenoCA::S.34,235.90565477692908,0.0,5384.273989460636,1715.3465160878952,0.0,0.0,0.0,360.2502915937659,1053.1733841054713,0.0,79.3095022122158
Ovary-AdenoCA::S.35,500.82094842851654,98.23286053688751,5442.331024782951,2500.688313031094,361.4538120264282,0.0,0.0,0.0,0.0,4644.286298570084,291.82351071039324
Ovary-AdenoCA::S.36,469.59163624487996,54.250275336590285,3332.6178214295737,6536.059876122829,1220.9615070883356,661.5999773092933,0.0,0.0,1496.240184940425,4292.674027580967,0.0
Ovary-AdenoCA::S.37,509.1972466906915,430.24737472378405,10857.73719475578,1871.6252875171713,358.7628895962561,0.0,0.0,0.0,0.0,1639.2239286192066,0.0
Ovary-AdenoCA::S.38,447.05136669043225,0.0,5350.104652157818,4388.472002294352,0.0,0.0,0.0,0.0,557.3575004174569,5092.101140634851,172.60781691110722
Ovary-AdenoCA::S.39,540.4065857787056,0.0,3424.2893334585115,579.8933185225906,336.2218919334017,0.0,1228.018216857681,0.0,208.4515360025689,1074.2106292559884,0.0
Ovary-AdenoCA::S.40,186.06920153487027,0.0,5046.499231015459,0.0,0.0,1556.5848490699311,2112.547034777965,178.8616358542711,0.0,1237.4928880027019,0.0
Ovary-AdenoCA::S.41,363.78744215868466,74.6826938974608,4106.334776271461,1022.2864869443307,0.0,920.5690459096099,0.0,0.0,0.0,3600.57114435367,0.0
Ovary-AdenoCA::S.42,334.4868228985787,229.2227270657628,3112.016097792532,2215.5593369108874,0.0,18.032112172944665,760.4371904743347,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.43,840.8919456412405,98.15570732608195,3005.108951420801,2154.1946214067143,0.0,0.0,0.0,85.86637482042693,0.0,0.0,0.0
Ovary-AdenoCA::S.44,747.838267350289,446.40305052864164,2506.3615352607035,6185.326533597919,0.0,0.0,198.15622300321067,0.0,0.0,421.08646965853876,181.1869238579167
